id	genes	chrom	start	end	length	mapq	correct_exact_self_alignment	other_alignment_reported	passes_remap_proxy
89	ANO2/NTF3	NC_051831.1	39728749	39728999	250	60	True	False	True
90	ANO2/NTF3	NC_051831.1	39728774	39729024	250	60	True	False	True
91	ANO2/NTF3	NC_051831.1	39728799	39729049	250	60	True	False	True
92	ANO2/NTF3	NC_051831.1	39728824	39729074	250	60	True	False	True
93	ANO2/NTF3	NC_051831.1	39728849	39729099	250	60	True	False	True
94	ANO2/NTF3	NC_051831.1	39728874	39729124	250	60	True	False	True
95	ANO2/NTF3	NC_051831.1	39728899	39729149	250	60	True	False	True
96	ANO2/NTF3	NC_051831.1	39728924	39729174	250	60	True	False	True
97	ANO2/NTF3	NC_051831.1	39728949	39729199	250	60	True	False	True
98	ANO2/NTF3	NC_051831.1	39728974	39729224	250	60	True	False	True
99	ANO2/NTF3	NC_051831.1	39728999	39729249	250	60	True	False	True
100	ANO2/NTF3	NC_051831.1	39729024	39729274	250	60	True	False	True
101	ANO2/NTF3	NC_051831.1	39729049	39729299	250	60	True	False	True
102	ANO2/NTF3	NC_051831.1	39729074	39729324	250	60	True	False	True
103	LOC119876429/LOC119872513	NC_051811.1	17235706	17235806	100	60	True	False	True
104	LOC119876429/LOC119872513	NC_051811.1	17235731	17235831	100	60	True	False	True
105	LOC119876429/LOC119872513	NC_051811.1	17235756	17235856	100	60	True	False	True
106	LOC119876429/LOC119872513	NC_051811.1	17235781	17235881	100	60	True	False	True
107	LOC119876429/LOC119872513	NC_051811.1	17235806	17235906	100	60	True	False	True
108	LOC119876429/LOC119872513	NC_051811.1	17235831	17235931	100	60	True	False	True
109	LOC119876429/LOC119872513	NC_051811.1	17235856	17235956	100	60	True	False	True
110	LOC119876429/LOC119872513	NC_051811.1	17235881	17235981	100	60	True	False	True
111	LOC119876429/LOC119872513	NC_051811.1	17235906	17236006	100	60	True	False	True
112	LOC119876429/LOC119872513	NC_051811.1	17235931	17236031	100	60	True	False	True
113	LOC119876429/LOC119872513	NC_051811.1	17235956	17236056	100	60	True	False	True
114	LOC119876429/LOC119872513	NC_051811.1	17235981	17236081	100	60	True	False	True
115	LOC119876429/LOC119872513	NC_051811.1	17236006	17236106	100	60	True	False	True
116	LOC119876429/LOC119872513	NC_051811.1	17236031	17236131	100	60	True	False	True
117	LOC119876429/LOC119872513	NC_051811.1	17236056	17236156	100	60	True	False	True
118	LOC119876429/LOC119872513	NC_051811.1	17236081	17236181	100	60	True	False	True
119	LOC119876429/LOC119872513	NC_051811.1	17236106	17236206	100	60	True	False	True
120	LOC119876429/LOC119872513	NC_051811.1	17236131	17236231	100	60	True	False	True
121	LOC119876429/LOC119872513	NC_051811.1	17236156	17236256	100	60	True	False	True
122	LOC119876429/LOC119872513	NC_051811.1	17236181	17236281	100	60	True	False	True
123	LOC119876429/LOC119872513	NC_051811.1	17236206	17236306	100	60	True	False	True
124	LOC119876429/LOC119872513	NC_051811.1	17236231	17236331	100	60	True	False	True
125	LOC119876429/LOC119872513	NC_051811.1	17236256	17236356	100	60	True	False	True
126	LOC119876429/LOC119872513	NC_051811.1	17236281	17236381	100	60	True	False	True
127	LOC119876429/LOC119872513	NC_051811.1	17236306	17236406	100	60	True	False	True
128	LOC119876429/LOC119872513	NC_051811.1	17236331	17236431	100	60	True	False	True
129	LOC119876429/LOC119872513	NC_051811.1	17236356	17236456	100	60	True	False	True
130	LOC119876429/LOC119872513	NC_051811.1	17236381	17236481	100	60	True	False	True
131	LOC119876429/LOC119872513	NC_051811.1	17236406	17236506	100	60	True	False	True
132	LOC119876429/LOC119872513	NC_051811.1	17236431	17236531	100	60	True	False	True
133	LOC119876429/LOC119872513	NC_051811.1	17236456	17236556	100	60	True	False	True
134	LOC119876429/LOC119872513	NC_051811.1	17236481	17236581	100	60	True	False	True
135	LOC119876429/LOC119872513	NC_051811.1	17236506	17236606	100	60	True	False	True
136	LOC119876429/LOC119872513	NC_051811.1	17236531	17236631	100	60	True	False	True
137	LOC119876429/LOC119872513	NC_051811.1	17236556	17236656	100	60	True	False	True
138	LOC119876429/LOC119872513	NC_051811.1	17236581	17236681	100	60	True	False	True
139	LOC119876429/LOC119872513	NC_051811.1	17236606	17236706	100	60	True	True	False
140	LOC119876429/LOC119872513	NC_051811.1	17235706	17235856	150	60	True	False	True
141	LOC119876429/LOC119872513	NC_051811.1	17235731	17235881	150	60	True	False	True
142	LOC119876429/LOC119872513	NC_051811.1	17235756	17235906	150	60	True	False	True
143	LOC119876429/LOC119872513	NC_051811.1	17235781	17235931	150	60	True	False	True
144	LOC119876429/LOC119872513	NC_051811.1	17235806	17235956	150	60	True	False	True
145	LOC119876429/LOC119872513	NC_051811.1	17235831	17235981	150	60	True	False	True
146	LOC119876429/LOC119872513	NC_051811.1	17235856	17236006	150	60	True	False	True
147	LOC119876429/LOC119872513	NC_051811.1	17235881	17236031	150	60	True	False	True
148	LOC119876429/LOC119872513	NC_051811.1	17235906	17236056	150	60	True	False	True
149	LOC119876429/LOC119872513	NC_051811.1	17235931	17236081	150	60	True	False	True
150	LOC119876429/LOC119872513	NC_051811.1	17235956	17236106	150	60	True	False	True
151	LOC119876429/LOC119872513	NC_051811.1	17235981	17236131	150	60	True	False	True
152	LOC119876429/LOC119872513	NC_051811.1	17236006	17236156	150	60	True	False	True
153	LOC119876429/LOC119872513	NC_051811.1	17236031	17236181	150	60	True	False	True
154	LOC119876429/LOC119872513	NC_051811.1	17236056	17236206	150	60	True	False	True
155	LOC119876429/LOC119872513	NC_051811.1	17236081	17236231	150	60	True	False	True
156	LOC119876429/LOC119872513	NC_051811.1	17236106	17236256	150	60	True	False	True
157	LOC119876429/LOC119872513	NC_051811.1	17236131	17236281	150	60	True	False	True
158	LOC119876429/LOC119872513	NC_051811.1	17236156	17236306	150	60	True	False	True
159	LOC119876429/LOC119872513	NC_051811.1	17236181	17236331	150	60	True	False	True
160	LOC119876429/LOC119872513	NC_051811.1	17236206	17236356	150	60	True	False	True
161	LOC119876429/LOC119872513	NC_051811.1	17236231	17236381	150	60	True	False	True
162	LOC119876429/LOC119872513	NC_051811.1	17236256	17236406	150	60	True	False	True
163	LOC119876429/LOC119872513	NC_051811.1	17236281	17236431	150	60	True	False	True
164	LOC119876429/LOC119872513	NC_051811.1	17236306	17236456	150	60	True	False	True
165	LOC119876429/LOC119872513	NC_051811.1	17236331	17236481	150	60	True	False	True
166	LOC119876429/LOC119872513	NC_051811.1	17236356	17236506	150	60	True	False	True
167	LOC119876429/LOC119872513	NC_051811.1	17236381	17236531	150	60	True	False	True
168	LOC119876429/LOC119872513	NC_051811.1	17236406	17236556	150	60	True	False	True
169	LOC119876429/LOC119872513	NC_051811.1	17236431	17236581	150	60	True	False	True
170	LOC119876429/LOC119872513	NC_051811.1	17236456	17236606	150	60	True	False	True
171	LOC119876429/LOC119872513	NC_051811.1	17236481	17236631	150	60	True	False	True
172	LOC119876429/LOC119872513	NC_051811.1	17236506	17236656	150	60	True	False	True
173	LOC119876429/LOC119872513	NC_051811.1	17236531	17236681	150	60	True	False	True
174	LOC119876429/LOC119872513	NC_051811.1	17236556	17236706	150	60	True	False	True
175	LOC119876429/LOC119872513	NC_051811.1	17235706	17235956	250	60	True	False	True
176	LOC119876429/LOC119872513	NC_051811.1	17235731	17235981	250	60	True	False	True
177	LOC119876429/LOC119872513	NC_051811.1	17235756	17236006	250	60	True	False	True
178	LOC119876429/LOC119872513	NC_051811.1	17235781	17236031	250	60	True	False	True
179	LOC119876429/LOC119872513	NC_051811.1	17235806	17236056	250	60	True	False	True
180	LOC119876429/LOC119872513	NC_051811.1	17235831	17236081	250	60	True	False	True
181	LOC119876429/LOC119872513	NC_051811.1	17235856	17236106	250	60	True	False	True
182	LOC119876429/LOC119872513	NC_051811.1	17235881	17236131	250	60	True	False	True
183	LOC119876429/LOC119872513	NC_051811.1	17235906	17236156	250	60	True	False	True
184	LOC119876429/LOC119872513	NC_051811.1	17235931	17236181	250	60	True	False	True
185	LOC119876429/LOC119872513	NC_051811.1	17235956	17236206	250	60	True	False	True
186	LOC119876429/LOC119872513	NC_051811.1	17235981	17236231	250	60	True	False	True
187	LOC119876429/LOC119872513	NC_051811.1	17236006	17236256	250	60	True	False	True
188	LOC119876429/LOC119872513	NC_051811.1	17236031	17236281	250	60	True	False	True
189	LOC119876429/LOC119872513	NC_051811.1	17236056	17236306	250	60	True	False	True
190	LOC119876429/LOC119872513	NC_051811.1	17236081	17236331	250	60	True	False	True
191	LOC119876429/LOC119872513	NC_051811.1	17236106	17236356	250	60	True	False	True
192	LOC119876429/LOC119872513	NC_051811.1	17236131	17236381	250	60	True	False	True
193	LOC119876429/LOC119872513	NC_051811.1	17236156	17236406	250	60	True	False	True
194	LOC119876429/LOC119872513	NC_051811.1	17236181	17236431	250	60	True	False	True
195	LOC119876429/LOC119872513	NC_051811.1	17236206	17236456	250	60	True	False	True
196	LOC119876429/LOC119872513	NC_051811.1	17236231	17236481	250	60	True	False	True
197	LOC119876429/LOC119872513	NC_051811.1	17236256	17236506	250	60	True	False	True
198	LOC119876429/LOC119872513	NC_051811.1	17236281	17236531	250	60	True	False	True
199	LOC119876429/LOC119872513	NC_051811.1	17236306	17236556	250	60	True	False	True
200	LOC119876429/LOC119872513	NC_051811.1	17236331	17236581	250	60	True	False	True
201	LOC119876429/LOC119872513	NC_051811.1	17236356	17236606	250	60	True	False	True
202	LOC119876429/LOC119872513	NC_051811.1	17236381	17236631	250	60	True	False	True
203	LOC119876429/LOC119872513	NC_051811.1	17236406	17236656	250	60	True	False	True
204	LOC119876429/LOC119872513	NC_051811.1	17236431	17236681	250	60	True	False	True
205	LOC119876429/LOC119872513	NC_051811.1	17236456	17236706	250	60	True	False	True
206	NPNT/TBCK	NC_051836.1	27057411	27057511	100	60	True	False	True
207	NPNT/TBCK	NC_051836.1	27057436	27057536	100	60	True	False	True
208	NPNT/TBCK	NC_051836.1	27057461	27057561	100	60	True	False	True
209	NPNT/TBCK	NC_051836.1	27057486	27057586	100	60	True	False	True
210	NPNT/TBCK	NC_051836.1	27057511	27057611	100	60	True	False	True
211	NPNT/TBCK	NC_051836.1	27057536	27057636	100	60	True	False	True
212	NPNT/TBCK	NC_051836.1	27057561	27057661	100	60	True	False	True
213	NPNT/TBCK	NC_051836.1	27057586	27057686	100	60	True	False	True
214	NPNT/TBCK	NC_051836.1	27057611	27057711	100	60	True	False	True
215	NPNT/TBCK	NC_051836.1	27057636	27057736	100	60	True	False	True
216	NPNT/TBCK	NC_051836.1	27057661	27057761	100	60	True	False	True
217	NPNT/TBCK	NC_051836.1	27057686	27057786	100	60	True	False	True
218	NPNT/TBCK	NC_051836.1	27057711	27057811	100	60	True	False	True
219	NPNT/TBCK	NC_051836.1	27057736	27057836	100	60	True	False	True
220	NPNT/TBCK	NC_051836.1	27057761	27057861	100	60	True	False	True
221	NPNT/TBCK	NC_051836.1	27057786	27057886	100	60	True	False	True
222	NPNT/TBCK	NC_051836.1	27057811	27057911	100	60	True	False	True
223	NPNT/TBCK	NC_051836.1	27057836	27057936	100	60	True	False	True
224	NPNT/TBCK	NC_051836.1	27057861	27057961	100	60	True	False	True
225	NPNT/TBCK	NC_051836.1	27057886	27057986	100	60	True	False	True
226	NPNT/TBCK	NC_051836.1	27057911	27058011	100	60	True	False	True
227	NPNT/TBCK	NC_051836.1	27057936	27058036	100	60	True	False	True
228	NPNT/TBCK	NC_051836.1	27057961	27058061	100	60	True	False	True
229	NPNT/TBCK	NC_051836.1	27057986	27058086	100	60	True	False	True
230	NPNT/TBCK	NC_051836.1	27058011	27058111	100	60	True	False	True
231	NPNT/TBCK	NC_051836.1	27058036	27058136	100	60	True	False	True
232	NPNT/TBCK	NC_051836.1	27058061	27058161	100	60	True	False	True
233	NPNT/TBCK	NC_051836.1	27058086	27058186	100	60	True	False	True
234	NPNT/TBCK	NC_051836.1	27058111	27058211	100	60	True	False	True
235	NPNT/TBCK	NC_051836.1	27058136	27058236	100	60	True	False	True
236	NPNT/TBCK	NC_051836.1	27058161	27058261	100	60	True	False	True
237	NPNT/TBCK	NC_051836.1	27058186	27058286	100	60	True	False	True
238	NPNT/TBCK	NC_051836.1	27058211	27058311	100	60	True	False	True
239	NPNT/TBCK	NC_051836.1	27058236	27058336	100	60	True	False	True
240	NPNT/TBCK	NC_051836.1	27058261	27058361	100	60	True	False	True
241	NPNT/TBCK	NC_051836.1	27058286	27058386	100	60	True	False	True
242	NPNT/TBCK	NC_051836.1	27058311	27058411	100	60	True	False	True
243	NPNT/TBCK	NC_051836.1	27057411	27057561	150	60	True	False	True
244	NPNT/TBCK	NC_051836.1	27057436	27057586	150	60	True	False	True
245	NPNT/TBCK	NC_051836.1	27057461	27057611	150	60	True	False	True
246	NPNT/TBCK	NC_051836.1	27057486	27057636	150	60	True	False	True
247	NPNT/TBCK	NC_051836.1	27057511	27057661	150	60	True	False	True
248	NPNT/TBCK	NC_051836.1	27057536	27057686	150	60	True	False	True
249	NPNT/TBCK	NC_051836.1	27057561	27057711	150	60	True	False	True
250	NPNT/TBCK	NC_051836.1	27057586	27057736	150	60	True	False	True
251	NPNT/TBCK	NC_051836.1	27057611	27057761	150	60	True	False	True
252	NPNT/TBCK	NC_051836.1	27057636	27057786	150	60	True	False	True
253	NPNT/TBCK	NC_051836.1	27057661	27057811	150	60	True	False	True
254	NPNT/TBCK	NC_051836.1	27057686	27057836	150	60	True	False	True
255	NPNT/TBCK	NC_051836.1	27057711	27057861	150	60	True	False	True
256	NPNT/TBCK	NC_051836.1	27057736	27057886	150	60	True	False	True
257	NPNT/TBCK	NC_051836.1	27057761	27057911	150	60	True	False	True
258	NPNT/TBCK	NC_051836.1	27057786	27057936	150	60	True	False	True
259	NPNT/TBCK	NC_051836.1	27057811	27057961	150	60	True	False	True
260	NPNT/TBCK	NC_051836.1	27057836	27057986	150	60	True	False	True
261	NPNT/TBCK	NC_051836.1	27057861	27058011	150	60	True	False	True
262	NPNT/TBCK	NC_051836.1	27057886	27058036	150	60	True	False	True
263	NPNT/TBCK	NC_051836.1	27057911	27058061	150	60	True	False	True
264	NPNT/TBCK	NC_051836.1	27057936	27058086	150	60	True	False	True
265	NPNT/TBCK	NC_051836.1	27057961	27058111	150	60	True	False	True
266	NPNT/TBCK	NC_051836.1	27057986	27058136	150	60	True	False	True
267	NPNT/TBCK	NC_051836.1	27058011	27058161	150	60	True	False	True
268	NPNT/TBCK	NC_051836.1	27058036	27058186	150	60	True	False	True
269	NPNT/TBCK	NC_051836.1	27058061	27058211	150	60	True	False	True
270	NPNT/TBCK	NC_051836.1	27058086	27058236	150	60	True	False	True
271	NPNT/TBCK	NC_051836.1	27058111	27058261	150	60	True	False	True
272	NPNT/TBCK	NC_051836.1	27058136	27058286	150	60	True	False	True
273	NPNT/TBCK	NC_051836.1	27058161	27058311	150	60	True	False	True
274	NPNT/TBCK	NC_051836.1	27058186	27058336	150	60	True	False	True
275	NPNT/TBCK	NC_051836.1	27058211	27058361	150	60	True	False	True
276	NPNT/TBCK	NC_051836.1	27058236	27058386	150	60	True	False	True
277	NPNT/TBCK	NC_051836.1	27058261	27058411	150	60	True	False	True
278	NPNT/TBCK	NC_051836.1	27057411	27057661	250	60	True	False	True
279	NPNT/TBCK	NC_051836.1	27057436	27057686	250	60	True	False	True
280	NPNT/TBCK	NC_051836.1	27057461	27057711	250	60	True	False	True
281	NPNT/TBCK	NC_051836.1	27057486	27057736	250	60	True	False	True
282	NPNT/TBCK	NC_051836.1	27057511	27057761	250	60	True	False	True
283	NPNT/TBCK	NC_051836.1	27057536	27057786	250	60	True	False	True
284	NPNT/TBCK	NC_051836.1	27057561	27057811	250	60	True	False	True
285	NPNT/TBCK	NC_051836.1	27057586	27057836	250	60	True	False	True
286	NPNT/TBCK	NC_051836.1	27057611	27057861	250	60	True	False	True
287	NPNT/TBCK	NC_051836.1	27057636	27057886	250	60	True	False	True
288	NPNT/TBCK	NC_051836.1	27057661	27057911	250	60	True	False	True
289	NPNT/TBCK	NC_051836.1	27057686	27057936	250	60	True	False	True
290	NPNT/TBCK	NC_051836.1	27057711	27057961	250	60	True	False	True
291	NPNT/TBCK	NC_051836.1	27057736	27057986	250	60	True	False	True
292	NPNT/TBCK	NC_051836.1	27057761	27058011	250	60	True	False	True
293	NPNT/TBCK	NC_051836.1	27057786	27058036	250	60	True	False	True
294	NPNT/TBCK	NC_051836.1	27057811	27058061	250	60	True	False	True
295	NPNT/TBCK	NC_051836.1	27057836	27058086	250	60	True	False	True
296	NPNT/TBCK	NC_051836.1	27057861	27058111	250	60	True	False	True
297	NPNT/TBCK	NC_051836.1	27057886	27058136	250	60	True	False	True
298	NPNT/TBCK	NC_051836.1	27057911	27058161	250	60	True	False	True
299	NPNT/TBCK	NC_051836.1	27057936	27058186	250	60	True	False	True
300	NPNT/TBCK	NC_051836.1	27057961	27058211	250	60	True	False	True
301	NPNT/TBCK	NC_051836.1	27057986	27058236	250	60	True	False	True
302	NPNT/TBCK	NC_051836.1	27058011	27058261	250	60	True	False	True
303	NPNT/TBCK	NC_051836.1	27058036	27058286	250	60	True	False	True
304	NPNT/TBCK	NC_051836.1	27058061	27058311	250	60	True	False	True
305	NPNT/TBCK	NC_051836.1	27058086	27058336	250	60	True	False	True
306	NPNT/TBCK	NC_051836.1	27058111	27058361	250	60	True	False	True
307	NPNT/TBCK	NC_051836.1	27058136	27058386	250	60	True	False	True
308	NPNT/TBCK	NC_051836.1	27058161	27058411	250	60	True	False	True
