sample	cohort	genes	chrom	start	end	cpm_mean	raw_to_genome_mean_ratio	gate_fraction	has_peak_overlap
SRR27376621	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.020861133040709023	0.8251023540069392	0.280138934948423	False
SRR27376622	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.05751442261785269	2.2984101191862143	0.449	False
SRR27376622	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.1362734144553542	5.445802643996652	0.7	False
SRR27376622	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.07861932031810284	3.1418109259881564	0.475	False
SRR27376622	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.01902691454492754	0.7603597660628928	0.17656896399964792	False
SRR27376622	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.02784630261365299	1.112803029153161	0.25269514793278547	True
SRR27376622	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.020522503772201682	0.820126990658933	0.18850470389052765	False
SRR27376623	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.03601935561560094	1.4246617854596617	0.676	False
SRR27376623	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.0731184686422348	2.89203086245119	0.95	False
SRR27376623	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.04489675508253276	1.7757866614782614	0.736	False
SRR27376623	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.022306586622709162	0.8822851209380037	0.4467036352433765	False
SRR27376623	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.029535224814743292	1.168197081801755	0.5731013824146604	False
SRR27376623	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.0231446794397437	0.9154339318673194	0.4880875499624736	False
SRR27376624	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.02230684980750084	0.8912933257740052	0.175	False
SRR27376624	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.04213516004383564	1.6835540316796405	0.225	False
SRR27376624	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.022306854650378228	0.8912935192761954	0.2	False
SRR27376624	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.019634587473983067	0.78452031196276	0.16107736994982835	False
SRR27376624	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.018461896241315594	0.7376642171806654	0.15017540487289155	False
SRR27376624	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.022625384841789144	0.9040207235256543	0.18370481559701884	False
SRR27376625	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.06817854036390782	2.7237728687672855	0.449	False
SRR27376625	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.038494784757494925	1.537889338079859	0.25	False
SRR27376625	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.06390133471786975	2.5528959824239688	0.536	False
SRR27376625	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.019125219163325102	0.7640637770806518	0.1685591057125253	False
SRR27376625	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.0291189533021496	1.1633193457641604	0.245086260752559	False
SRR27376625	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.024188153452612975	0.9663309857933532	0.21424955928298395	True
SRR27376626	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.01668029958382249	0.6665563084561674	0.3	False
SRR27376626	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.07185359867289662	2.8713195011885606	0.8	False
SRR27376626	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.05132399862632155	2.050942483835809	0.3	False
SRR27376626	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.02556938948217134	1.0217704890171029	0.31379279992958364	False
SRR27376626	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.027932350811832835	1.1161960581148793	0.3379947779005879	False
SRR27376626	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.020952245634242746	0.8372662273627615	0.2568202049115948	False
SRR27376627	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.036772974535822865	1.4695628241740681	0.276	False
SRR27376627	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.06930606327950954	2.7696865801868875	0.45	False
SRR27376627	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.03872985057532787	1.5477656977646201	0.3	False
SRR27376627	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.023863122467895636	0.9536448462544166	0.2081682950444503	False
SRR27376627	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.021289590001010782	0.8507984573539291	0.18381469556441923	False
SRR27376627	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.026612898664423467	1.0635344846158579	0.23388546593824724	False
SRR27376628	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.04885647666454315	1.952558835648929	0.349	False
SRR27376628	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.11826696172356606	4.7265627168381465	0.575	False
SRR27376628	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.06728982552886009	2.6892513000431526	0.475	False
SRR27376628	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.02150184697284737	0.8593256033968837	0.19100431300061615	False
SRR27376628	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.02453030625510304	0.9803585827206418	0.2126483733000144	False
SRR27376628	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.02096279898483064	0.8377824430280415	0.172795978566317	False
SRR27376629	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.03746415302157402	1.4969377782076887	0.3	False
SRR27376629	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.03526038080453873	1.4088826743235854	0.3	False
SRR27376629	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.017630190402269364	0.7044413371617927	0.15	False
SRR27376629	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.021686635405840395	0.8665228279023027	0.2033271719038817	False
SRR27376629	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.02933705109776891	1.1722069377671613	0.24790555368670608	False
SRR27376629	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.020777237570221502	0.8301864405622685	0.18944722740998027	False
SRR27376630	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.05849773702025413	2.3373994984494173	0.375	False
SRR27376630	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.11489243693649769	4.590767748468953	0.65	False
SRR27376630	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.13522256968915464	5.403100746632922	0.361	True
SRR27376630	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.023101232104785804	0.9230580717437699	0.18987765161517473	False
SRR27376630	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.02542285387887282	1.0158233280896924	0.21104650231470357	False
SRR27376630	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.026303357892134397	1.0510057085340456	0.21238196638332782	True
SRR27376631	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.061276051245629785	2.4479642806928807	0.499	False
SRR27376631	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.0324784655123949	1.2975072944461106	0.375	False
SRR27376631	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.008227875992655754	0.32870177053760885	0.1	False
SRR27376631	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.02776181396962933	1.1090781403728287	0.3054308599595106	False
SRR27376631	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.031042363729333826	1.2401353555416172	0.3323882294519999	False
SRR27376631	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.024218528245867527	0.9675246833250145	0.2657392700678966	False
SRR27376632	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.077153729647398	3.0829437441896888	0.475	False
SRR27376632	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.057243074476718905	2.287344748759488	0.3	False
SRR27376632	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.0362373538762331	1.4479886319078092	0.339	False
SRR27376632	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.0242727098698117	0.9698999567442296	0.20288706980019364	False
SRR27376632	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.02966485102512141	1.1853615801618145	0.2303009915581399	False
SRR27376632	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.021372659899563697	0.85401844389354	0.16886879723526435	False
SRR27376633	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.059020735695958136	2.3582706960161626	0.45	False
SRR27376633	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.07277858838438987	2.907988357998096	0.544	False
SRR27376633	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.042739120125770566	1.707711931707108	0.3	False
SRR27376633	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.027746454391478652	1.1086552808635035	0.26689551976058445	False
SRR27376633	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.033257158347728404	1.3288445330170324	0.29556121549970366	False
SRR27376633	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.021420126845921823	0.8558764449482436	0.20028624788368563	False
SRR27376634	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.033632471151649954	1.3302228456727339	0.8	False
SRR27376634	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.032881034761667254	1.3005022269136275	0.719	False
SRR27376634	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.03269886836409569	1.2932972284265714	0.761	False
SRR27376634	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.025262942556191808	0.9991934040658697	0.5947715870081859	False
SRR27376634	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.03084182126282947	1.2198477792779778	0.6756211254745543	False
SRR27376634	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.02576594426324172	1.019087998165517	0.6079102159077026	False
SRR27376635	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.062015524879097936	2.4783998577150896	0.4	False
SRR27376635	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.022325599752366542	0.8922243802264198	0.175	False
SRR27376635	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.06588529667258262	2.633052130368753	0.439	False
SRR27376635	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.02982598156177623	1.1919710202087437	0.19892615086700113	False
SRR27376635	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.03719641154836267	1.4865242416104323	0.2222756179217326	False
SRR27376635	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.02916320859543213	1.165483839318362	0.20533049412668214	False
SRR27376636	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.05787978715822101	2.312623926539867	0.726	False
SRR27376636	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.03546540850400925	1.4170430870223534	0.606	False
SRR27376636	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.03434468973428011	1.3722640515585056	0.5	False
SRR27376636	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.030850854550393447	1.232665631482155	0.5351641580846757	False
SRR27376636	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.03683217757272131	1.4716532196014114	0.5971134284844699	False
SRR27376636	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.025217576005500945	1.0075843831325453	0.4492520901331751	False
SRR27376637	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.03390403985977173	1.3548430395157351	0.4	False
SRR27376637	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.055094030871987346	2.2016185845258045	0.475	False
SRR27376637	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.04873705767095089	1.9475868841905426	0.225	False
SRR27376637	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.02226993718986496	0.8899313921566483	0.1954053340374967	False
SRR27376637	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.02902183907713198	1.1597448808527553	0.24829000272318066	False
SRR27376637	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.022988615992579307	0.9186505942792356	0.21362121027001554	False
SRR27376638	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.02060362510383129	0.8233348168977136	0.175	False
SRR27376638	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.06242905819416046	2.4947074574671744	0.456	False
SRR27376638	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.0566600501537323	2.264173988006787	0.35	False
SRR27376638	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.015188401163112276	0.6069387997296993	0.12014787430683918	False
SRR27376638	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.02104028593234117	0.8407840794170908	0.16138850177006744	False
SRR27376638	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.018545534040981027	0.7410921037901281	0.14991360201071685	False
SRR27376639	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.06192536119371653	2.474322611534872	0.526	False
SRR27376639	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.04811570633202791	1.92253670955396	0.381	False
SRR27376639	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.04360937681049108	1.7424794145260696	0.275	False
SRR27376639	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.027853577458441924	1.1129323299700662	0.2731977818853974	False
SRR27376639	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.031493715013373176	1.2583795988699298	0.2891377128486072	False
SRR27376639	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.020424590284459667	0.8160957739767196	0.20814061054579094	False
SRR27376640	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.06368387047946453	2.545290869849956	0.525	False
SRR27376640	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.16182487476617097	6.467750360584096	0.575	True
SRR27376640	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.21086262688040733	8.427671166191836	0.65	True
SRR27376640	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.016229421742396208	0.6486508855831208	0.1478743068391867	True
SRR27376640	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.019350067820093693	0.7733755907525055	0.19462732471526742	False
SRR27376640	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.01907432988566132	0.7623550098471988	0.17391304347826086	True
SRR27376641	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.05438409554213285	2.15103871501389	0.676	False
SRR27376641	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.03646722619235516	1.442377860419744	0.481	False
SRR27376641	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.046873477481305596	1.8539733678480856	0.586	False
SRR27376641	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.024535909401322217	0.970461869489565	0.3627321538596954	False
SRR27376641	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.03272370259344701	1.2943113326684255	0.4577506527624265	False
SRR27376641	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.02758130305865343	1.0909154615567922	0.3886687727994694	False
SRR27376642	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.0759278766810894	3.034891849108084	0.35	False
SRR27376642	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.01822270043194294	0.7283744446315591	0.1	False
SRR27376642	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.06207866073399782	2.4813287253702363	0.161	False
SRR27376642	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.023792230003332967	0.9509925480005404	0.12939001848428835	False
SRR27376642	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.023400988851384016	0.9353543577206685	0.12814967882486744	False
SRR27376642	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.025877493209995793	1.0343420183897496	0.12966680048173423	False
SRR27376643	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.04572914396598935	1.8082274975605566	0.574	False
SRR27376643	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.027005400555208326	1.0678509071344768	0.6	False
SRR27376643	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.01950390050187707	0.7712256591422122	0.475	False
SRR27376643	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.020043089142189396	0.7925463234107183	0.42943402869465713	False
SRR27376643	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.029848825362321467	1.180285964464476	0.566261393307383	False
SRR27376643	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.02252034311057679	0.8905022078989702	0.4747525875761437	False
SRR27376644	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.035993100702762605	1.4235850961642282	0.15	False
SRR27376644	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.041530500166118145	1.6425981623804349	0.3	False
SRR27376644	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.01539397206157446	0.6088563855223479	0.139	False
SRR27376644	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.01848237032060755	0.7310075102305784	0.12859783469764985	False
SRR27376644	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.030293508587526195	1.1981570493707234	0.1970461499030868	False
SRR27376644	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.022631693073068955	0.8951199071690787	0.1532298884680502	False
SRR27376645	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.04050458972156048	1.6186702682236487	0.351	False
SRR27376645	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.04550335119664669	1.8184339649623629	0.419	False
SRR27376645	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.07615760725736619	3.0434589120386466	0.461	False
SRR27376645	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.021585525738742818	0.8626145574480644	0.2302614206495907	False
SRR27376645	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.032325026201119496	1.291793329866785	0.3051724414115687	False
SRR27376645	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.022605199638273683	0.9033634166711887	0.23114516607613494	False
SRR27376646	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.0002322620004415512	0.009283498228569883	0.001	False
SRR27376646	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.07838842496275902	3.133180644697355	0.4	False
SRR27376646	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.13355067297816275	5.338012389715424	0.3	True
SRR27376646	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.02207930289728941	0.8825084126778013	0.1329108353137928	False
SRR27376646	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.025067122001393365	1.0019313630851214	0.13976324346837105	False
SRR27376646	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.02154462888602522	0.8611375245127243	0.11613984256366397	True
SRR27376647	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.0687522229552269	2.7476617266299854	0.399	False
SRR27376647	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.0430238950997591	1.719436911489189	0.35	False
SRR27376647	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.01720956973731518	0.687775232079178	0.175	False
SRR27376647	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.02597871900585879	1.0382316214816507	0.21653023501452337	False
SRR27376647	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.031083753044835512	1.2422527576589388	0.25110929565732776	False
SRR27376647	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.02444328152540186	0.9768683285240963	0.21119508491438746	False
SRR27376648	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.030470484495162965	1.2175558756261868	0.2	False
SRR27376648	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.06529393345117569	2.609049827509118	0.325	False
SRR27376648	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.046924593657255174	1.8750379478813985	0.364	False
SRR27376648	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.01724159722281598	0.6889489403147564	0.15315553208344335	False
SRR27376648	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.024439767743021257	0.976577278224067	0.21425024428532527	False
SRR27376648	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.019867888427154392	0.7938916853982887	0.18850470389052765	False
SRR27376649	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.04180073980242014	1.6701761973165181	0.375	False
SRR27376649	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.022000379487872125	0.8790397090160397	0.15	False
SRR27376649	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.03300058990716934	1.3185603896217852	0.225	False
SRR27376649	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.0232378028883406	0.9284817791620148	0.1962855382448728	False
SRR27376649	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.02717282509074599	1.0857081930827799	0.20625690806862415	False
SRR27376649	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.02292467244907704	0.9159704454204293	0.19025011781543993	False
SRR27376650	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.0332083348184824	1.326923818732488	0.25	False
SRR27376650	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.05161525872349739	2.062419467420271	0.244	False
SRR27376650	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.15550994247943162	6.213796863154701	0.464	True
SRR27376650	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.01958417782346691	0.7825358352442194	0.1430331836986181	False
SRR27376650	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.029222551066871983	1.1676616508087518	0.2046710557931664	False
SRR27376650	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.022729499504473935	0.9082151949265685	0.14879653709877297	True
SRR27376651	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.04995219931006432	1.996772957874642	0.075	False
SRR27376651	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.04995219931006432	1.996772957874642	0.075	False
SRR27376651	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.05994262397289276	2.396126941882319	0.075	False
SRR27376651	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.016004407519176072	0.6397549774081251	0.030367045154475837	False
SRR27376651	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.022084689050378654	0.8828061724597871	0.03604209716949397	False
SRR27376651	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.02493556698969967	0.9967662393650026	0.047562529453859984	False
SRR27376652	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.051346281758509575	2.030386371885418	1.0	False
SRR27376652	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.03148348637018353	1.2449517175577554	0.9	False
SRR27376652	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.04025776662770659	1.5919131419850578	1.0	False
SRR27376652	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.02398211883157872	0.9483250895086329	0.7922718070592377	False
SRR27376652	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.03753333559488116	1.4841809469605622	0.897480256940106	False
SRR27376652	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.027343227221344368	1.0812334216271298	0.8315675562459637	False
SRR27376653	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.06289273869991302	2.4874158042326577	0.549	False
SRR27376653	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.0768426425755024	3.03913627443243	0.575	False
SRR27376653	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.08953153727948665	3.5409836717215253	0.561	False
SRR27376653	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.026237683187969846	1.0377037028011624	0.24885133350937416	False
SRR27376653	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.04317814210100654	1.7077010045930103	0.3724510227946241	False
