genes	chrom	start	end	window_bp	atac_mean	atac_observed_fraction	atac_length_matched_percentile	atac_peak_frequency_max	rrbs_observed_fraction	rrbs_mean_observed	rrbs_dogs_max	repeat_overlap_bp	phylop_scored_fraction	phylop_mean_observed	phylop_max_observed	atac-peaks-bed_overlap_bp	external-regulatory-bed_overlap_bp	tad-boundaries-bed_overlap_bp	cpg_overlap_bp	epic_nonquiescent_bp_union	epic_promoter_enhancer_bp_union	epic_regulatory_tissues	local_review_status
LOC119876429/LOC119872513	NC_051811.1	17226706	17227206	500	0.8874215377569199	1.0	20.133333333333333	0.0	0.0		0.0	278	1.0	0.16898399999999997	3.688	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17226956	17227456	500	0.9281346287727356	1.0	31.333333333333336	0.0	0.0		0.0	365	1.0	0.201026	3.688	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17227206	17227706	500	1.008008156657219	1.0	54.233333333333334	0.0	0.0		0.0	193	1.0	0.13619	3.434	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17227456	17227956	500	0.9301083688735962	1.0	31.933333333333337	0.0	0.0		0.0	241	1.0	0.223606	4.293	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17227706	17228206	500	0.8723377896547317	1.0	16.7	0.0	0.0		0.0	196	1.0	0.399344	4.293	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17227956	17228456	500	0.9830718867778778	1.0	46.766666666666666	0.0	0.1	100.0	1.0	281	1.0	0.24873200000000004	5.055	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17228206	17228706	500	1.055195266366005	1.0	67.03333333333333	0.0	0.1	100.0	1.0	412	1.0	0.12603799999999998	5.055	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17228456	17228956	500	1.1061903412342071	1.0	76.5	0.0	0.0		0.0	334	1.0	0.13017399999999998	3.883	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17228706	17229206	500	1.144408613204956	1.0	81.53333333333333	0.0	0.112	82.75143023899624	5.0	203	1.0	0.135216	3.883	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17228956	17229456	500	1.0894326570034027	1.0	73.73333333333333	0.0	0.2	79.20431137084961	5.0	33	1.0	0.12163800000000001	3.524	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17229206	17229706	500	1.02360571205616	1.0	58.06666666666666	0.0	0.088	74.6897964477539	2.0	0	1.0	0.36737000000000003	4.875	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17229456	17229956	500	0.9873899528980256	1.0	48.3	0.0	0.0		0.0	0	1.0	0.5793140000000001	5.559	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17229706	17230206	500	1.0254710465669632	1.0	58.733333333333334	0.0	0.0		0.0	27	0.998	0.4368016032064128	5.559	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17229956	17230456	500	1.0362563750743865	1.0	61.86666666666667	0.0	0.0		0.0	127	0.998	0.3206192384769539	4.706	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17230206	17230706	500	1.0262216956615449	1.0	58.96666666666667	0.0	0.212	84.15908856661815	70.0	100	1.0	0.225622	4.131	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17230456	17230956	500	1.0500030214786529	1.0	65.33333333333333	0.0	0.4	87.72701835632324	70.0	0	1.0	1.210158	10.628	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17230706	17231206	500	1.1060038416385651	1.0	76.46666666666667	0.0	0.4	93.97220397949219	67.0	0	1.0	1.7898600000000002	10.784	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17230956	17231456	500	1.0518295377492906	1.0	66.03333333333333	0.0	0.3	97.13267008463542	11.0	143	1.0	0.8286760000000001	10.784	0	0	0	0	116	116	CL	regulatory_annotation_present
LOC119876429/LOC119872513	NC_051811.1	17231206	17231706	500	1.0493777140378953	1.0	65.10000000000001	0.0	0.088	100.0	1.0	217	1.0	0.215462	5.455	0	0	0	0	366	366	CL	regulatory_annotation_present
LOC119876429/LOC119872513	NC_051811.1	17231456	17231956	500	1.1710230255126952	1.0	84.7	0.0	0.0		0.0	74	1.0	0.263884	5.455	0	0	0	0	500	500	CL	regulatory_annotation_present
LOC119876429/LOC119872513	NC_051811.1	17231706	17232206	500	1.046507791519165	1.0	64.60000000000001	0.0	0.1	61.808902740478516	4.0	0	1.0	0.389184	4.823	0	0	0	0	500	500	CL	regulatory_annotation_present
LOC119876429/LOC119872513	NC_051811.1	17231956	17232456	500	0.9610899955034256	1.0	40.06666666666667	0.0	0.1	61.808902740478516	4.0	0	1.0	0.14956999999999995	4.076	0	0	0	0	500	500	CL	regulatory_annotation_present
LOC119876429/LOC119872513	NC_051811.1	17232206	17232706	500	1.0149904705286026	1.0	55.833333333333336	0.0	0.0		0.0	157	1.0	0.11794599999999998	4.129	0	0	0	0	500	500	CL	regulatory_annotation_present
LOC119876429/LOC119872513	NC_051811.1	17232456	17232956	500	0.9842850620746613	1.0	47.16666666666667	0.0	0.2	100.0	1.0	157	1.0	0.558668	4.671	0	0	0	0	500	500	CL	regulatory_annotation_present
LOC119876429/LOC119872513	NC_051811.1	17232706	17233206	500	1.0451568105220794	1.0	64.43333333333334	0.0	0.2	100.0	1.0	0	1.0	0.48030600000000007	4.671	0	0	0	0	500	500	CL	regulatory_annotation_present
LOC119876429/LOC119872513	NC_051811.1	17232956	17233456	500	1.1037747936248778	1.0	76.1	0.0	0.0		0.0	0	1.0	0.24580600000000002	5.746	0	0	0	0	500	500	CL	regulatory_annotation_present
LOC119876429/LOC119872513	NC_051811.1	17233206	17233706	500	1.0573665193319322	1.0	67.53333333333333	0.0	0.0		0.0	0	1.0	0.26926	5.746	0	0	0	0	500	500	CL	regulatory_annotation_present
LOC119876429/LOC119872513	NC_051811.1	17233456	17233956	500	1.135832923054695	1.0	80.23333333333333	0.0	0.0		0.0	0	1.0	0.09615800000000001	3.603	0	0	0	0	500	500	CL;MG	regulatory_annotation_present
LOC119876429/LOC119872513	NC_051811.1	17233706	17234206	500	1.2137343044281006	1.0	88.13333333333333	0.0	0.0		0.0	34	1.0	-0.06404400000000002	3.63	0	0	0	0	500	500	CL;MG	regulatory_annotation_present
LOC119876429/LOC119872513	NC_051811.1	17233956	17234456	500	1.2636916000843048	1.0	91.23333333333333	0.0	0.0		0.0	34	1.0	-0.04477000000000002	3.63	0	0	0	0	500	500	CL;MG	regulatory_annotation_present
LOC119876429/LOC119872513	NC_051811.1	17234206	17234706	500	1.2021179738044738	1.0	87.23333333333333	0.0	0.0		0.0	0	1.0	0.099174	3.982	0	0	0	0	483	483	CL;MG	regulatory_annotation_present
LOC119876429/LOC119872513	NC_051811.1	17234456	17234956	500	1.1443978344202042	1.0	81.53333333333333	0.0	0.0		0.0	196	1.0	0.184044	6.154	0	0	0	0	233	233	CL;MG	regulatory_annotation_present
LOC119876429/LOC119872513	NC_051811.1	17234706	17235206	500	1.2297041000127793	1.0	89.33333333333333	0.0	0.0		0.0	295	1.0	0.208634	6.154	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17234956	17235456	500	1.2145019176006318	1.0	88.26666666666667	0.0	0.0		0.0	99	1.0	0.20583	4.899	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17235206	17235706	500	1.103371733546257	1.0	76.0	0.0	0.0		0.0	105	1.0	0.348952	5.679	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17235456	17235956	500	1.1921181209087373	1.0	86.5	0.0	0.1	33.33333206176758	1.0	105	1.0	0.43975200000000003	5.848	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17235706	17236206	500	1.3572616945505143	1.0	95.33333333333334	3.0	0.112	35.27677304404123	46.0	0	1.0	0.22067400000000004	5.848	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17235956	17236456	500	1.6310728163719177	1.0	98.16666666666667	3.0	0.3	68.2643445332845	60.0	85	1.0	0.203984	4.836	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17236206	17236706	500	1.4731002613306046	1.0	97.06666666666666	3.0	0.288	68.96402078204684	60.0	94	1.0	0.35972400000000004	5.585	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17236456	17236956	500	1.0448740434646606	1.0	64.43333333333334	0.0	0.0		0.0	50	1.0	0.28297200000000006	5.585	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17236706	17237206	500	1.1177590194940568	1.0	78.13333333333333	0.0	0.0		0.0	51	1.0	0.10289000000000001	4.871	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17236956	17237456	500	1.0631791237592698	1.0	68.7	0.0	0.0		0.0	91	1.0	0.13882399999999998	4.871	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17237206	17237706	500	1.0073832174539565	1.0	54.03333333333333	0.0	0.0		0.0	242	1.0	0.231366	3.578	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17237456	17237956	500	1.0371005868911742	1.0	62.06666666666667	0.0	0.0		0.0	338	1.0	0.21727	3.694	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17237706	17238206	500	1.0323898686170578	1.0	60.73333333333333	0.0	0.0		0.0	259	1.0	0.10689799999999998	3.694	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17237956	17238456	500	0.9958655418157577	1.0	50.63333333333333	0.0	0.0		0.0	82	1.0	0.04712600000000001	2.036	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17238206	17238706	500	0.9262501933574676	1.0	30.966666666666665	0.0	0.0		0.0	80	1.0	0.06683599999999999	2.675	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17238456	17238956	500	0.9165229897499084	1.0	27.833333333333332	0.0	0.0		0.0	267	1.0	0.143342	3.794	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17238706	17239206	500	0.9258234077692031	1.0	30.866666666666664	0.0	0.0		0.0	370	1.0	0.164294	3.828	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17238956	17239456	500	1.040493248820305	1.0	63.5	0.0	0.0		0.0	183	1.0	0.34864999999999996	5.411	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17239206	17239706	500	1.0239963330030442	1.0	58.13333333333334	0.0	0.0		0.0	0	1.0	0.51609	7.169	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17239456	17239956	500	0.925710611820221	1.0	30.833333333333336	0.0	0.0		0.0	27	0.996	0.3547389558232932	7.169	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17239706	17240206	500	0.9893949410915375	1.0	48.93333333333334	0.0	0.0		0.0	27	0.996	0.26706224899598396	4.507	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17239956	17240456	500	0.9849728560447693	1.0	47.4	0.0	0.0		0.0	234	0.998	1.1728677354709418	10.452	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17240206	17240706	500	0.9570179089307785	1.0	39.166666666666664	0.0	0.0		0.0	273	0.998	1.702625250501002	10.452	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17240456	17240956	500	1.0325555753707887	1.0	60.9	0.0	0.1	100.0	2.0	39	1.0	0.626324	8.46	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17240706	17241206	500	1.0387121965885162	1.0	62.73333333333333	0.0	0.1	100.0	2.0	0	1.0	0.09237999999999999	4.737	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17240956	17241456	500	1.0874588141441346	1.0	73.56666666666666	0.0	0.0		0.0	0	1.0	0.205454	4.737	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17241206	17241706	500	1.082187752366066	1.0	72.73333333333333	0.0	0.3	97.27003479003906	67.0	43	1.0	0.33257400000000004	4.637	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17241456	17241956	500	1.0084548223018646	1.0	54.400000000000006	0.0	0.3	97.27003479003906	67.0	47	1.0	0.410326	4.222	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17241706	17242206	500	1.0216982810497284	1.0	57.733333333333334	0.0	0.0		0.0	131	1.0	0.28107800000000005	4.021	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17241956	17242456	500	1.0436233687400818	1.0	64.23333333333333	0.0	0.0		0.0	127	1.0	0.203076	3.862	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17242206	17242706	500	1.0232895092964172	1.0	58.03333333333334	0.0	0.0		0.0	0	1.0	0.17572000000000002	3.75	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17242456	17242956	500	0.8836518002450466	1.0	19.233333333333334	0.0	0.012	100.0	1.0	148	0.972	0.11452674897119342	3.823	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17242706	17243206	500	0.9667367278039456	1.0	41.8	1.0	0.212	100.0	1.0	148	0.972	0.023991769547325095	6.575	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17242956	17243456	500	1.221498914361	1.0	88.83333333333333	1.0	0.288	100.0	1.0	0	1.0	0.13070199999999998	6.575	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17243206	17243706	500	1.2784551203250885	1.0	92.03333333333333	1.0	0.088	100.0	1.0	0	1.0	0.20986600000000002	10.183	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17243456	17243956	500	1.2783953013420104	1.0	92.03333333333333	0.0	0.0		0.0	87	1.0	0.079646	10.183	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17243706	17244206	500	1.2136498132944107	1.0	88.13333333333333	0.0	0.0		0.0	101	1.0	-0.04949800000000001	5.61	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17243956	17244456	500	1.100886424779892	1.0	75.8	0.0	0.0		0.0	106	1.0	-0.011453999999999994	3.661	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17244206	17244706	500	1.0216071021556854	1.0	57.699999999999996	0.0	0.0		0.0	92	1.0	0.018417999999999997	3.661	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17244456	17244956	500	1.035096932888031	1.0	61.633333333333326	0.0	0.1	100.0	1.0	159	1.0	-0.182326	3.603	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17244706	17245206	500	0.9916392450332642	1.0	49.53333333333333	0.0	0.1	100.0	1.0	210	1.0	-0.10178000000000001	3.895	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17244956	17245456	500	0.9723220423460007	1.0	43.1	0.0	0.0		0.0	51	1.0	0.11116000000000001	4.752	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17245206	17245706	500	1.0205206204652786	1.0	57.43333333333334	0.0	0.1	100.0	1.0	0	1.0	0.346162	7.313	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17245456	17245956	500	1.1244184980392455	1.0	78.96666666666667	0.0	0.1	100.0	1.0	62	1.0	0.390104	7.313	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17245706	17246206	500	1.241697210907936	1.0	90.03333333333333	0.0	0.0		0.0	62	1.0	0.7128880000000001	7.339	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17245956	17246456	500	1.1755034128427506	1.0	85.0	0.0	0.0		0.0	0	1.0	0.73067	7.339	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17246206	17246706	500	0.9880416664481163	1.0	48.63333333333333	0.0	0.0		0.0	133	0.98	0.03667551020408164	7.044	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
