id	chrom	start0	end0	atac_mean	atac_percentile	GC	GC_distance_w01	coding_TSS_distance	miRNA_distance	risk_gene_distance	screen_flags	stage	pending
bg1k_0018	NC_051829.1	13101906	13102906	0.9581126352548599	37.26018175698418	0.438	0.027000000000000024	24233	3195454	76418	gene_overlap;coding_5prime_under_50kb;risk_gene_under_300kb;lnc_smallRNA_overlap	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0019	NC_051812.1	16495748	16496748	0.8972518821954727	17.13227869404241	0.318	0.09299999999999997	191376	12722825	293979	risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0020	NC_051827.1	3755816	3756816	0.9352653220295906	28.6098956580276	0.31	0.10099999999999998	55335	1282893	884038	gene_overlap	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0021	NC_051805.1	58366974	58367974	1.0113565712571144	56.24368899360485	0.393	0.01799999999999996	171803	9151586	287464	gene_overlap;risk_gene_under_300kb;lnc_smallRNA_overlap	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0022	NC_051811.1	54761613	54762613	1.0047348320484162	53.71928643554359	0.373	0.03799999999999998	31664	528769	88202	coding_5prime_under_50kb;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0023	NC_051830.1	35042788	35043788	0.6268493895523647	0.4039044092898014	0.416	0.0050000000000000044	336819	2712563	1028947		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0024	NC_051829.1	39980825	39981825	1.337333333492279	93.80679905755638	0.397	0.013999999999999957	13077	4752621	44539	gene_overlap;coding_5prime_under_50kb;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0025	NC_051805.1	45326952	45327952	0.9746020694971085	43.41972399865365	0.35	0.061	42479	698065	1223719	gene_overlap;coding_5prime_under_50kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0026	NC_051843.1	89422841	89423841	0.9007630219161511	18.108381016492764	0.377	0.033999999999999975	116570	151861	1919458	miRNA_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0027	NC_051811.1	774994	775994	1.3185073130726814	92.96533153820262	0.636	0.22500000000000003	47246	2933040	0	gene_overlap;coding_5prime_under_50kb;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0028	NC_051833.1	11531417	11532417	1.0256683205366135	59.84516997643891	0.481	0.07	130669	2829772	1604654		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0029	NC_051808.1	50157501	50158501	0.9292426318526268	26.725008414675195	0.312	0.09899999999999998	132677	525584	578880		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0030	NC_051830.1	26868152	26869152	0.7416156629275849	1.5483002356109055	0.42	0.009000000000000008	1011535	3459733	1685045	gene_overlap	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0031	NC_051805.1	78133014	78134014	1.1123039295077324	78.22282059912487	0.46	0.049000000000000044	242485	2321933	156202	risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0032	NC_051822.1	31499321	31500321	1.0642509586811066	69.6398519017166	0.384	0.02699999999999997	636971	2100689	781230		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0033	NC_051813.1	5348773	5349773	1.0205806999206544	58.397845843150456	0.389	0.021999999999999964	3683	300226	27080	gene_overlap;coding_5prime_under_50kb;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0034	NC_051808.1	78000517	78001517	0.9564311566352844	36.351396836082124	0.386	0.024999999999999967	969844	1650472	2156850	gene_overlap;lnc_smallRNA_overlap	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0035	NC_051815.1	33013805	33014805	0.9214041525125504	24.267923258162234	0.312	0.09899999999999998	104978	6814747	849313		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0036	NC_051809.1	76017296	76018296	1.1185575518608093	79.03062941770447	0.373	0.03799999999999998	36438	4226226	704478	gene_overlap;coding_5prime_under_50kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0037	NC_051834.1	37059279	37060279	0.9862662798762322	47.72803769774487	0.398	0.012999999999999956	63443	1361629	109528	gene_overlap;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0038	NC_051819.1	5155278	5156278	1.33259092181921	93.57118815213732	0.535	0.12400000000000005	38506	2782572	210948	coding_5prime_under_50kb;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0039	NC_051806.1	58637903	58638903	0.9655775972604752	40.15483002356109	0.332	0.07899999999999996	42815	696141	44042	gene_overlap;coding_5prime_under_50kb;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0040	NC_051832.1	28377866	28378866	0.9914384913444519	49.10804442948502	0.354	0.056999999999999995	4678	12135683	153751	gene_overlap;coding_5prime_under_50kb;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0041	NC_051836.1	29063493	29064493	1.0457247230410576	65.49983170649612	0.476	0.065	153832	3590257	200897	risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0042	NC_051826.1	60942253	60943253	1.3174815181195736	92.89801413665433	0.596	0.185	12494	18062232	76871	gene_overlap;coding_5prime_under_50kb;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0043	NC_051831.1	3300973	3301973	1.0652200664281846	69.8418041063615	0.422	0.01100000000000001	44818	2026532	334034	gene_overlap;coding_5prime_under_50kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0044	NC_051840.1	15710969	15711969	0.906381903231144	19.65668125210367	0.325	0.08599999999999997	86922	4387875	512379	gene_overlap	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0045	NC_051825.1	9610913	9611913	0.9134818447263617	21.743520700100976	0.373	0.03799999999999998	245325	3146107	3150415		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0046	NC_051810.1	69153074	69154074	0.8678329681158066	10.568832043083138	0.336	0.07499999999999996	67363	6318109	309773		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0047	NC_051819.1	63311667	63312667	0.8413963854312897	6.395153147088522	0.289	0.122	350030	23470609	10411414	gene_overlap	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0048	NC_051809.1	65371636	65372636	1.144743094265461	82.09357118815214	0.488	0.07700000000000001	103845	2659544	511143	gene_overlap	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0049	NC_051810.1	10364978	10365978	0.8917122958898545	15.718613261528105	0.353	0.057999999999999996	18741	928926	18741	gene_overlap;coding_5prime_under_50kb;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0050	NC_051817.1	62630216	62631216	0.8393429939746857	6.193200942443622	0.297	0.11399999999999999	66294	21884277	361188		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0051	NC_051809.1	82027916	82028916	1.0139759650230409	56.8832043083137	0.451	0.040000000000000036	2813	572459	21340	gene_overlap;coding_5prime_under_50kb;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0052	NC_051816.1	24361367	24362367	0.8768480082750321	12.352743184113093	0.317	0.09399999999999997	260303	4052602	3217565	gene_overlap;lnc_smallRNA_overlap	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0053	NC_051824.1	19947156	19948156	1.1079081658124923	77.48232918209357	0.385	0.025999999999999968	258391	11948664	523952	gene_overlap;lnc_smallRNA_overlap	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0054	NC_051843.1	117286198	117287198	0.9686990179419518	41.164591046785596	0.426	0.015000000000000013	90077	419929	4085044		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0055	NC_051826.1	22689824	22690824	0.8535542277693748	8.145405587344328	0.254	0.15699999999999997	224358	12629794	224358	risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0056	NC_051813.1	43396092	43397092	1.017688593029976	57.623695725345	0.404	0.006999999999999951	4293	451522	19992	gene_overlap;coding_5prime_under_50kb;risk_gene_under_300kb;regulatory_overlap	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0057	NC_051836.1	34905750	34906750	0.8328366853296757	5.520026926960619	0.32	0.09099999999999997	77947	2250380	2240516		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0058	NC_051807.1	20226765	20227765	0.9247956675291061	25.345001682935038	0.319	0.09199999999999997	17352	320239	369872	coding_5prime_under_50kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0059	NC_051843.1	19428703	19429703	0.9636434124112129	39.24604510265904	0.442	0.031000000000000028	12514	20226137	188061	coding_5prime_under_50kb;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0060	NC_051813.1	53577716	53578716	1.0066181728839874	54.32514304947829	0.416	0.0050000000000000044	42660	1945069	162674	gene_overlap;coding_5prime_under_50kb;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0061	NC_051826.1	44798988	44799988	0.8537114593982696	8.21272298889263	0.323	0.08799999999999997	215051	1918967	496341	gene_overlap	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0062	NC_051813.1	28955742	28956742	0.8216491205692291	4.240996297542915	0.27	0.14099999999999996	287218	3265532	1156147		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0063	NC_051812.1	43817999	43818999	1.060568731546402	68.73106698081455	0.472	0.061	16725	10235451	362594	coding_5prime_under_50kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0064	NC_051821.1	8905791	8906791	1.0751479236483574	71.6593739481656	0.434	0.02300000000000002	424522	1654828	424522		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0065	NC_051817.1	41211923	41212923			0.0	0.411	129914	465984	1360100	missing_ATAC;noncanonical_reference	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0066	NC_051810.1	40087385	40088385	1.441294782459736	96.29754291484349	0.708	0.297	54909	7342	101534	gene_overlap;miRNA_under_300kb;risk_gene_under_300kb;regulatory_overlap	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0067	NC_051842.1	18152698	18153698	1.0389225151538848	63.48030966004712	0.423	0.01200000000000001	114156	517983	0	gene_overlap;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0068	NC_051839.1	17204457	17205457	0.9099068836569786	20.733759676876474	0.428	0.017000000000000015	52848		52848	risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0069	NC_051807.1	58905457	58906457	1.284114320397377	91.38337260181757	0.606	0.195	4717	52358	16924	coding_5prime_under_50kb;miRNA_under_300kb;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0070	NC_051836.1	24305346	24306346	0.8659580738544465	10.198586334567485	0.398	0.012999999999999956	80569	8348404	45458	gene_overlap;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0071	NC_051814.1	33551739	33552739	0.9824150786995888	46.415348367553015	0.403	0.007999999999999952	246686	4905602	172986	risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0072	NC_051811.1	15814100	15815100	1.0372864112257958	62.94177044766072	0.432	0.02100000000000002	3833	6529536	147708	coding_5prime_under_50kb;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0073	NC_051812.1	11411957	11412957	1.0401438072919846	63.78323796701447	0.358	0.05299999999999999	2715	7639034	40331	coding_5prime_under_50kb;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0074	NC_051813.1	27726914	27727914	1.0247397295832634	59.575900370245705	0.424	0.013000000000000012	32102	2036704	56261	gene_overlap;coding_5prime_under_50kb;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0075	NC_051812.1	52972209	52973209	0.9566846715211869	36.45237293840458	0.359	0.05199999999999999	47526	1081241	583716	coding_5prime_under_50kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0076	NC_051806.1	55893207	55894207	0.9782238525748252	44.867048131942106	0.364	0.046999999999999986	25236	2047530	552707	gene_overlap;coding_5prime_under_50kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0077	NC_051814.1	4646974	4647974	0.888305026292801	14.776169639851902	0.341	0.06999999999999995	599412	2757423	896415		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0078	NC_051809.1	61782743	61783743	1.101078713953495	76.50622685964322	0.402	0.008999999999999952	4388	928327	8240	gene_overlap;coding_5prime_under_50kb;risk_gene_under_300kb;lnc_smallRNA_overlap	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0079	NC_051810.1	42824931	42825931	1.0636388041973115	69.53887579939415	0.417	0.006000000000000005	28330	221996	44879	gene_overlap;coding_5prime_under_50kb;miRNA_under_300kb;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0080	NC_051805.1	24744791	24745791	0.8880683301687241	14.742510939077752	0.362	0.04899999999999999	90207	7270601	184222	gene_overlap;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0081	NC_051818.1	26492271	26493271	1.0519831976890563	66.91349713901043	0.379	0.03199999999999997	83576	4354265	2082180	gene_overlap	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0082	NC_051812.1	2932019	2933019	0.9761303600668907	44.09289801413665	0.454	0.04300000000000004	21279	811637	138104	gene_overlap;coding_5prime_under_50kb;risk_gene_under_300kb;lnc_smallRNA_overlap	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0083	NC_051843.1	87885793	87886793	0.9042307337522507	18.916189835072366	0.444	0.03300000000000003	382410	1215391	382410	gene_overlap	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0084	NC_051810.1	71880278	71881278	1.1102762887477875	77.88623359138337	0.374	0.03699999999999998	65922	3590905	452224	gene_overlap	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0085	NC_051813.1	52624854	52625854	1.1022719848155975	76.74183776506227	0.482	0.07100000000000001	20060	2867996	122794	gene_overlap;coding_5prime_under_50kb;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0086	NC_051835.1	18324647	18325647	1.0773886731863023	72.1305957590037	0.603	0.192	134422	2807195	2944093	gene_overlap	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0087	NC_051833.1	19016199	19017199	0.8745850622653961	11.814203971726691	0.429	0.018000000000000016	104314	4653989	38794	gene_overlap;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0088	NC_051807.1	11723946	11724946	0.9016089752912522	18.276674520363514	0.36	0.05099999999999999	406612	8181557	473526		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0089	NC_051816.1	58174481	58175481	1.1059732514023781	77.21305957590037	0.496	0.08500000000000002	135272	16690694	242117	risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0090	NC_051838.1	36772730	36773730	1.0499373060464858	66.57691013126893	0.38	0.030999999999999972	5276	3402547	47388	coding_5prime_under_50kb;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0091	NC_051807.1	92269188	92270188	1.1348500400781631	81.01649276337933	0.624	0.21300000000000002	48893	2240097	5987	gene_overlap;coding_5prime_under_50kb;risk_gene_under_300kb;regulatory_overlap	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0092	NC_051808.1	51116286	51117286	1.047694899380207	65.90373611578593	0.394	0.01699999999999996	31015	206635	31015	gene_overlap;coding_5prime_under_50kb;miRNA_under_300kb;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0093	NC_051827.1	43782461	43783461	1.0207482855319976	58.498821945472905	0.364	0.046999999999999986	28262	6036688	624104	gene_overlap;coding_5prime_under_50kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0094	NC_051818.1	55940977	55941977	0.9437703703641891	31.57186132615281	0.315	0.09599999999999997	47207	15658258	174877	gene_overlap;coding_5prime_under_50kb;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0095	NC_051806.1	37736936	37737936	0.9668437710404396	40.592393133625045	0.444	0.03300000000000003	26073	5266099	67329	gene_overlap;coding_5prime_under_50kb;risk_gene_under_300kb;lnc_smallRNA_overlap;regulatory_overlap	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0096	NC_051816.1	42573037	42574037	0.8511168342530727	7.707842477280377	0.386	0.024999999999999967	400396	1089250	851593		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0097	NC_051833.1	39462318	39463318	0.9849825842380524	47.39145069000337	0.393	0.01799999999999996	11651	10063719	0	gene_overlap;coding_5prime_under_50kb;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0098	NC_051837.1	10771250	10772250	0.9139451452663967	21.945472904745877	0.367	0.043999999999999984	369521	7980094	645794		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
