#chrom	start	end	type	length	gc_frac	obs_exp	n_cpg
NC_051805.1	55788375	55790245	CGI_GGF+CGI_TJ	1870	0.6353	0.6071	114
NC_051805.1	55792870	55795099	CGI_GGF+CGI_TJ	2229	0.6236	0.6189	134
NC_051805.1	55907277	55908554	CGI_GGF+CGI_TJ	1277	0.6085	0.6433	76
NC_051805.1	55940138	55940788	CGI_GGF+CGI_TJ	650	0.5508	0.6065	29
NC_051805.1	55953990	55955610	CGI_GGF+CGI_TJ	1620	0.5605	0.6453	82
NC_051805.1	56159475	56160681	CGI_GGF+CGI_TJ	1206	0.5481	0.7406	67
NC_051805.1	56182767	56183314	CGI_GGF+CGI_TJ	547	0.5759	0.6457	29
NC_051805.1	56278586	56279486	CGI_GGF+CGI_TJ	900	0.5456	0.6167	40
NC_051805.1	56338565	56339660	CGI_GGF+CGI_TJ	1095	0.5489	0.6920	57
NC_051805.1	56603391	56604562	CGI_GGF+CGI_TJ	1171	0.6610	0.6082	77
NC_051805.1	56647868	56648622	CGI_GGF+CGI_TJ	754	0.6048	0.6494	44
NC_051805.1	57047767	57048544	CGI_GGF+CGI_TJ	777	0.5431	0.6812	39
NC_051805.1	57964250	57965742	CGI_GGF+CGI_TJ	1492	0.7105	0.6362	112
NC_051805.1	59565102	59565655	CGI_GGF+CGI_TJ	553	0.5931	0.6082	29
NC_051805.1	60449477	60450168	CGI_GGF+CGI_TJ	691	0.6802	0.6390	50
NC_051805.1	64356075	64357518	CGI_GGF+CGI_TJ	1443	0.5343	0.7707	79
NC_051805.1	64360857	64362608	CGI_GGF+CGI_TJ	1751	0.6225	0.6498	110
NC_051805.1	64461975	64462576	CGI_GGF+CGI_TJ	601	0.5691	0.6377	31
NC_051805.1	64463357	64464738	CGI_GGF+CGI_TJ	1381	0.6669	0.6254	96
NC_051805.1	64958606	64961097	CGI_GGF+CGI_TJ	2491	0.5917	0.6350	138
NC_051805.1	66212109	66213346	CGI_GGF+CGI_TJ	1237	0.5206	0.6873	57
NC_051805.1	66427699	66428337	CGI_GGF+CGI_TJ	638	0.5423	0.7036	33
NC_051805.1	66976000	66976577	CGI_GGF+CGI_TJ	577	0.6239	0.6414	36
NC_051805.1	68079659	68080822	CGI_GGF+CGI_TJ	1163	0.5408	0.7879	67
NC_051805.1	68428713	68431870	CGI_GGF+CGI_TJ	3157	0.6101	0.6434	189
NC_051805.1	68438165	68439799	CGI_GGF+CGI_TJ	1634	0.5936	0.6239	88
NC_051805.1	68522312	68525543	CGI_GGF+CGI_TJ	3231	0.6753	0.6315	230
NC_051805.1	68611028	68612147	CGI_GGF+CGI_TJ	1119	0.5576	0.6123	53
NC_051805.1	68616341	68617169	CGI_GGF+CGI_TJ	828	0.5386	0.6828	41
NC_051805.1	68630112	68634344	CGI_GGF+CGI_TJ	4232	0.5955	0.6448	241
NC_051805.1	68780350	68781497	CGI_GGF+CGI_TJ	1147	0.5458	0.7227	61
NC_051805.1	68809853	68814232	CGI_GGF+CGI_TJ	4379	0.5481	0.6581	216
NC_051805.1	68922182	68923498	CGI_GGF+CGI_TJ	1316	0.5486	0.6381	63
NC_051805.1	68975405	68976080	CGI_GGF+CGI_TJ	675	0.5496	0.6687	34
NC_051805.1	69011635	69015181	CGI_GGF+CGI_TJ	3546	0.6046	0.6259	200
NC_051805.1	69051297	69052175	CGI_GGF+CGI_TJ	878	0.5695	0.6336	45
NC_051805.1	69059975	69060907	CGI_GGF+CGI_TJ	932	0.5247	0.6409	41
NC_051805.1	69082953	69085184	CGI_GGF+CGI_TJ	2231	0.6777	0.6057	155
NC_051805.1	69096987	69097808	CGI_GGF+CGI_TJ	821	0.5457	0.6709	41
NC_051805.1	69133248	69134402	CGI_GGF+CGI_TJ	1154	0.6334	0.6134	69
NC_051805.1	69140244	69142203	CGI_GGF+CGI_TJ	1959	0.5738	0.6337	102
NC_051805.1	69161482	69164520	CGI_GGF+CGI_TJ	3038	0.6577	0.6061	199
NC_051805.1	69310527	69311720	CGI_GGF+CGI_TJ	1193	0.6094	0.6348	69
NC_051805.1	69329602	69331195	CGI_GGF+CGI_TJ	1593	0.5888	0.6274	86
NC_051805.1	69342062	69342844	CGI_GGF+CGI_TJ	782	0.5486	0.8166	48
NC_051805.1	69342962	69346172	CGI_GGF+CGI_TJ	3210	0.6947	0.6497	251
NC_051805.1	69359110	69361691	CGI_GGF+CGI_TJ	2581	0.6273	0.6302	160
NC_051805.1	69486070	69486919	CGI_GGF+CGI_TJ	849	0.5442	0.6374	40
NC_051805.1	69786865	69788894	CGI_GGF+CGI_TJ	2029	0.5175	0.6193	84
NC_051805.1	69950390	69951045	CGI_GGF+CGI_TJ	655	0.6580	0.6376	45
NC_051805.1	70696010	70696614	CGI_GGF+CGI_TJ	604	0.5414	0.9515	42
NC_051805.1	71981232	71982994	CGI_GGF+CGI_TJ	1762	0.5829	0.6435	96
NC_051805.1	72613619	72614713	CGI_GGF+CGI_TJ	1094	0.6316	0.6066	66
NC_051805.1	73558431	73560652	CGI_GGF+CGI_TJ	2221	0.6709	0.6090	152
NC_051805.1	73919245	73920282	CGI_GGF+CGI_TJ	1037	0.5892	0.6471	58
NC_051805.1	79067357	79069756	CGI_GGF+CGI_TJ	2399	0.6861	0.6232	171
NC_051805.1	80564049	80565179	CGI_GGF+CGI_TJ	1130	0.5664	0.6296	57
NC_051805.1	81847555	81848884	CGI_GGF+CGI_TJ	1329	0.6050	0.6295	76
NC_051805.1	81961257	81962150	CGI_GGF+CGI_TJ	893	0.5969	0.6414	51
NC_051805.1	82625258	82625865	CGI_GGF+CGI_TJ	607	0.6639	0.6467	43
NC_051805.1	88526903	88528059	CGI_GGF+CGI_TJ	1156	0.6384	0.6234	73
NC_051805.1	88528887	88529466	CGI_GGF+CGI_TJ	579	0.6598	0.6128	38
NC_051805.1	89288569	89289402	CGI_GGF+CGI_TJ	833	0.5438	0.7045	43
NC_051805.1	90303658	90305206	CGI_GGF+CGI_TJ	1548	0.5336	0.7552	83
NC_051805.1	95014523	95015973	CGI_GGF+CGI_TJ	1450	0.5186	0.8254	79
NC_051805.1	95020581	95022697	CGI_GGF+CGI_TJ	2116	0.5255	0.8022	117
NC_051805.1	95840396	95841597	CGI_GGF+CGI_TJ	1201	0.5412	0.6172	53
NC_051805.1	96331126	96332591	CGI_GGF+CGI_TJ	1465	0.6137	0.6401	88
NC_051805.1	96464497	96465704	CGI_GGF+CGI_TJ	1207	0.5957	0.6072	65
NC_051805.1	96466927	96468126	CGI_GGF+CGI_TJ	1199	0.5371	0.7306	63
NC_051805.1	96477132	96479803	CGI_GGF+CGI_TJ	2671	0.5387	0.6400	124
NC_051805.1	96489698	96491210	CGI_GGF+CGI_TJ	1512	0.5734	0.6261	77
NC_051805.1	97452403	97452979	CGI_GGF+CGI_TJ	576	0.5486	0.6273	26
NC_051805.1	97474782	97476134	CGI_GGF+CGI_TJ	1352	0.6376	0.6425	88
NC_051805.1	97716511	97717793	CGI_GGF+CGI_TJ	1282	0.6264	0.6384	79
NC_051805.1	97815773	97816477	CGI_GGF+CGI_TJ	704	0.5682	0.6064	34
NC_051805.1	97890130	97891218	CGI_GGF+CGI_TJ	1088	0.5570	0.6116	51
NC_051805.1	97895017	97895975	CGI_GGF+CGI_TJ	958	0.5251	0.6404	42
NC_051805.1	98639871	98640685	CGI_GGF+CGI_TJ	814	0.5491	0.6530	40
NC_051805.1	98668722	98669695	CGI_GGF+CGI_TJ	973	0.6403	0.6217	62
NC_051805.1	99991425	99992876	CGI_GGF+CGI_TJ	1451	0.5782	0.6390	77
NC_051805.1	100121125	100121942	CGI_GGF+CGI_TJ	817	0.6022	0.6348	47
NC_051805.1	100842134	100842680	CGI_GGF+CGI_TJ	546	0.6484	0.6277	36
NC_051805.1	101217938	101218830	CGI_GGF+CGI_TJ	892	0.5919	0.6442	49
NC_051805.1	101740675	101742529	CGI_GGF+CGI_TJ	1854	0.6456	0.6079	115
NC_051805.1	102036529	102038105	CGI_GGF+CGI_TJ	1576	0.6618	0.6274	96
NC_051805.1	102051324	102052747	CGI_GGF+CGI_TJ	1423	0.6008	0.6465	83
NC_051805.1	102211257	102212465	CGI_GGF+CGI_TJ	1208	0.5430	0.9587	85
NC_051805.1	102879945	102881973	CGI_GGF+CGI_TJ	2028	0.7032	0.6393	155
NC_051805.1	102980640	102982469	CGI_GGF+CGI_TJ	1829	0.6966	0.6240	134
NC_051805.1	103042148	103043179	CGI_GGF+CGI_TJ	1031	0.6596	0.6139	63
NC_051805.1	103134652	103135508	CGI_GGF+CGI_TJ	856	0.6916	0.6363	64
NC_051805.1	103947572	103948613	CGI_GGF+CGI_TJ	1041	0.7032	0.6276	77
NC_051805.1	104593039	104593825	CGI_GGF+CGI_TJ	786	0.5471	0.8333	49
NC_051805.1	105820372	105822178	CGI_GGF+CGI_TJ	1806	0.5399	0.7434	96
NC_051805.1	105837004	105838237	CGI_GGF+CGI_TJ	1233	0.5669	0.6152	60
NC_051805.1	105894864	105895447	CGI_GGF+CGI_TJ	583	0.6621	0.6289	40
NC_051805.1	105913084	105914738	CGI_GGF+CGI_TJ	1654	0.7316	0.6440	137
NC_051805.1	106369401	106370807	CGI_GGF+CGI_TJ	1406	0.6963	0.6488	108
NC_051805.1	106657202	106658304	CGI_GGF+CGI_TJ	1102	0.6770	0.6416	81
NC_051805.1	106752591	106753792	CGI_GGF+CGI_TJ	1201	0.6961	0.6408	89
NC_051805.1	106775635	106776766	CGI_GGF+CGI_TJ	1131	0.6101	0.6434	63
NC_051805.1	106804090	106805219	CGI_GGF+CGI_TJ	1129	0.6900	0.6098	78
NC_051805.1	107061514	107062193	CGI_GGF+CGI_TJ	679	0.5685	0.6388	35
NC_051805.1	107323814	107324572	CGI_GGF+CGI_TJ	758	0.6280	0.6220	44
NC_051805.1	107458020	107459126	CGI_GGF+CGI_TJ	1106	0.5606	0.6343	54
NC_051805.1	107501159	107502381	CGI_GGF+CGI_TJ	1222	0.6047	0.6271	70
NC_051805.1	107572329	107573227	CGI_GGF+CGI_TJ	898	0.6292	0.6414	57
NC_051805.1	107832589	107836180	CGI_GGF+CGI_TJ	3591	0.6316	0.6340	227
NC_051805.1	108103221	108104547	CGI_GGF+CGI_TJ	1326	0.5468	0.7132	70
NC_051805.1	108150818	108151364	CGI_GGF+CGI_TJ	546	0.7198	0.6427	45
NC_051805.1	108164570	108165433	CGI_GGF+CGI_TJ	863	0.6524	0.6463	59
NC_051805.1	108211058	108211661	CGI_GGF+CGI_TJ	603	0.6484	0.6474	41
NC_051805.1	108229320	108229922	CGI_GGF+CGI_TJ	602	0.7176	0.6353	49
NC_051805.1	108368123	108369686	CGI_GGF+CGI_TJ	1563	0.6417	0.6324	101
NC_051805.1	108829143	108830443	CGI_GGF+CGI_TJ	1300	0.5854	0.6289	70
NC_051805.1	108861694	108862643	CGI_GGF+CGI_TJ	949	0.6565	0.6464	66
NC_051805.1	108904297	108905573	CGI_GGF+CGI_TJ	1276	0.5400	0.6346	59
NC_051805.1	109186839	109187893	CGI_GGF+CGI_TJ	1054	0.6233	0.6358	65
NC_051805.1	109766936	109767860	CGI_GGF+CGI_TJ	924	0.6288	0.6224	56
NC_051805.1	109868964	109869531	CGI_GGF+CGI_TJ	567	0.6349	0.6357	36
NC_051805.1	109880080	109881575	CGI_GGF+CGI_TJ	1495	0.5940	0.6298	83
NC_051805.1	110228665	110229514	CGI_GGF+CGI_TJ	849	0.5972	0.6492	49
NC_051805.1	110410427	110411110	CGI_GGF+CGI_TJ	683	0.6486	0.6267	45
NC_051805.1	110632968	110633816	CGI_GGF+CGI_TJ	848	0.7347	0.6396	73
NC_051805.1	110748406	110749844	CGI_GGF+CGI_TJ	1438	0.6370	0.6251	91
NC_051805.1	110883875	110884897	CGI_GGF+CGI_TJ	1022	0.6830	0.6478	77
NC_051805.1	111130328	111130985	CGI_GGF+CGI_TJ	657	0.6484	0.6300	43
NC_051805.1	111169398	111171239	CGI_GGF+CGI_TJ	1841	0.6518	0.6497	125
NC_051805.1	112719841	112721617	CGI_GGF+CGI_TJ	1776	0.6166	0.6426	108
NC_051805.1	112754228	112755662	CGI_GGF+CGI_TJ	1434	0.6736	0.6430	104
NC_051805.1	112963831	112964469	CGI_GGF+CGI_TJ	638	0.6787	0.6312	46
NC_051805.1	113006399	113007518	CGI_GGF+CGI_TJ	1119	0.6756	0.6096	70
NC_051805.1	113165678	113166855	CGI_GGF+CGI_TJ	1177	0.5472	0.7506	60
NC_051805.1	113735728	113737497	CGI_GGF+CGI_TJ	1769	0.6959	0.6406	137
NC_051805.1	113745549	113746226	CGI_GGF+CGI_TJ	677	0.7179	0.6198	54
NC_051805.1	113895517	113896057	CGI_GGF+CGI_TJ	540	0.6296	0.6355	34
NC_051805.1	114403846	114405275	CGI_GGF+CGI_TJ	1429	0.6522	0.6186	94
NC_051805.1	114877949	114878824	CGI_GGF+CGI_TJ	875	0.5463	0.6316	41
NC_051805.1	114897187	114897769	CGI_GGF+CGI_TJ	582	0.6134	0.6330	34
NC_051805.1	114950406	114951827	CGI_GGF+CGI_TJ	1421	0.7755	0.6098	128
NC_051805.1	115096699	115097707	CGI_GGF+CGI_TJ	1008	0.6022	0.6172	56
NC_051805.1	115875885	115877263	CGI_GGF+CGI_TJ	1378	0.5885	0.6036	72
NC_051805.1	116307234	116308202	CGI_GGF+CGI_TJ	968	0.5424	0.7451	51
NC_051805.1	117909135	117909932	CGI_GGF+CGI_TJ	797	0.6361	0.6078	49
NC_051805.1	118032700	118033990	CGI_GGF+CGI_TJ	1290	0.6667	0.6220	88
NC_051805.1	118034136	118036382	CGI_GGF+CGI_TJ	2246	0.6429	0.6386	139
NC_051805.1	118048651	118050523	CGI_GGF+CGI_TJ	1872	0.6533	0.6232	122
NC_051805.1	118080864	118081956	CGI_GGF+CGI_TJ	1092	0.5403	0.6662	53
NC_051805.1	118086224	118087159	CGI_GGF+CGI_TJ	935	0.5348	0.6951	46
NC_051805.1	118398906	118399660	CGI_GGF+CGI_TJ	754	0.6618	0.6487	53
NC_051805.1	118428649	118430391	CGI_GGF+CGI_TJ	1742	0.6493	0.6211	114
NC_051805.1	118636429	118637212	CGI_GGF+CGI_TJ	783	0.6322	0.6285	49
NC_051805.1	118979728	118980612	CGI_GGF+CGI_TJ	884	0.5543	0.6058	41
NC_051805.1	119068059	119069079	CGI_GGF+CGI_TJ	1020	0.6225	0.6407	63
NC_051805.1	119072438	119073670	CGI_GGF+CGI_TJ	1232	0.5763	0.6094	62
NC_051805.1	119075648	119076272	CGI_GGF+CGI_TJ	624	0.5465	0.8482	39
NC_051805.1	119148371	119148999	CGI_GGF+CGI_TJ	628	0.6433	0.6318	41
NC_051805.1	119177749	119179027	CGI_GGF+CGI_TJ	1278	0.5352	0.7565	69
NC_051805.1	119229503	119230455	CGI_GGF+CGI_TJ	952	0.6113	0.6356	55
NC_051805.1	119364264	119365800	CGI_GGF+CGI_TJ	1536	0.7402	0.6473	135
NC_051805.1	119455318	119456201	CGI_GGF+CGI_TJ	883	0.6874	0.6235	64
NC_051805.1	119476902	119477739	CGI_GGF+CGI_TJ	837	0.6523	0.6178	55
NC_051805.1	119486253	119488107	CGI_GGF+CGI_TJ	1854	0.7249	0.6284	153
NC_051805.1	119497498	119498179	CGI_GGF+CGI_TJ	681	0.6740	0.6481	50
NC_051805.1	119522530	119524193	CGI_GGF+CGI_TJ	1663	0.7691	0.6136	150
NC_051805.1	119584352	119585277	CGI_GGF+CGI_TJ	925	0.5578	0.6118	44
NC_051805.1	119801664	119802643	CGI_GGF+CGI_TJ	979	0.6088	0.6386	55
NC_051805.1	119828108	119828979	CGI_GGF+CGI_TJ	871	0.5454	0.7599	49
NC_051805.1	119888354	119889802	CGI_GGF+CGI_TJ	1448	0.5939	0.6281	80
NC_051805.1	120024627	120025735	CGI_GGF+CGI_TJ	1108	0.5578	0.6318	54
NC_051805.1	120037420	120038340	CGI_GGF+CGI_TJ	920	0.5946	0.6061	49
NC_051805.1	120052018	120052822	CGI_GGF+CGI_TJ	804	0.5348	0.6262	36
NC_051805.1	120063821	120065020	CGI_GGF+CGI_TJ	1199	0.6756	0.6419	87
NC_051805.1	120065383	120068193	CGI_GGF+CGI_TJ	2810	0.5655	0.6456	145
NC_051805.1	120207136	120208010	CGI_GGF+CGI_TJ	874	0.5481	0.6505	42
NC_051805.1	120294070	120295841	CGI_GGF+CGI_TJ	1771	0.6375	0.6016	108
NC_051805.1	120455392	120458394	CGI_GGF+CGI_TJ	3002	0.6369	0.6187	187
NC_051805.1	120463674	120464862	CGI_GGF+CGI_TJ	1188	0.5210	0.7071	57
NC_051805.1	120593955	120594536	CGI_GGF+CGI_TJ	581	0.5353	0.6736	28
NC_051805.1	120625537	120626260	CGI_GGF+CGI_TJ	723	0.5837	0.6087	37
NC_051805.1	120692209	120692876	CGI_GGF+CGI_TJ	667	0.5232	0.6825	31
NC_051805.1	120696102	120697347	CGI_GGF+CGI_TJ	1245	0.6185	0.6229	74
NC_051805.1	120747709	120749317	CGI_GGF+CGI_TJ	1608	0.5547	0.6452	79
NC_051805.1	120832518	120833955	CGI_GGF+CGI_TJ	1437	0.5866	0.6398	79
NC_051805.1	120834739	120835761	CGI_GGF+CGI_TJ	1022	0.5235	0.6589	46
NC_051805.1	120956925	120958128	CGI_GGF+CGI_TJ	1203	0.5137	0.6555	52
NC_051805.1	121009738	121012559	CGI_GGF+CGI_TJ	2821	0.5179	0.7722	146
NC_051805.1	121030241	121030959	CGI_GGF+CGI_TJ	718	0.5557	0.6316	35
NC_051805.1	121050265	121053159	CGI_GGF+CGI_TJ	2894	0.6261	0.6065	172
NC_051805.1	121064780	121067386	CGI_GGF+CGI_TJ	2606	0.6765	0.6047	180
NC_051805.1	121129731	121130749	CGI_GGF+CGI_TJ	1018	0.5403	0.6327	47
NC_051805.1	121166982	121167758	CGI_GGF+CGI_TJ	776	0.6327	0.6452	50
NC_051805.1	121168450	121169097	CGI_GGF+CGI_TJ	647	0.6491	0.6456	44
NC_051805.1	121170134	121172443	CGI_GGF+CGI_TJ	2309	0.6202	0.6444	143
NC_051805.1	121184553	121189610	CGI_GGF+CGI_TJ	5057	0.6316	0.6486	327
NC_051805.1	121191077	121192049	CGI_GGF+CGI_TJ	972	0.5926	0.6459	54
NC_051805.1	121222010	121223100	CGI_GGF+CGI_TJ	1090	0.5385	0.7880	62
NC_051805.1	121231721	121233296	CGI_GGF+CGI_TJ	1575	0.6298	0.6245	97
NC_051805.1	121445217	121445975	CGI_GGF+CGI_TJ	758	0.6266	0.6350	47
NC_051805.1	121449224	121450489	CGI_GGF+CGI_TJ	1265	0.5810	0.6463	69
NC_051805.1	121506059	121509270	CGI_GGF+CGI_TJ	3211	0.6649	0.6377	226
NC_051805.1	121556217	121557561	CGI_GGF+CGI_TJ	1344	0.6458	0.6370	89
NC_051805.1	121573762	121574495	CGI_GGF+CGI_TJ	733	0.5375	0.8332	44
NC_051805.1	121584359	121585091	CGI_GGF+CGI_TJ	732	0.5751	0.6293	38
NC_051805.1	121586840	121589383	CGI_GGF+CGI_TJ	2543	0.6245	0.6111	150
NC_051805.1	121613081	121613686	CGI_GGF+CGI_TJ	605	0.5322	0.7002	30
NC_051805.1	121623924	121628474	CGI_GGF+CGI_TJ	4550	0.6226	0.6463	285
NC_051805.1	121637244	121638935	CGI_GGF+CGI_TJ	1691	0.5387	0.6498	79
NC_051805.1	121646188	121649035	CGI_GGF+CGI_TJ	2847	0.6466	0.6354	189
NC_051805.1	121672907	121674294	CGI_GGF+CGI_TJ	1387	0.5890	0.6420	77
NC_051805.1	121698723	121699831	CGI_GGF+CGI_TJ	1108	0.6083	0.6255	64
NC_051805.1	121703599	121705328	CGI_GGF+CGI_TJ	1729	0.6536	0.6371	117
NC_051805.1	121789775	121791827	CGI_GGF+CGI_TJ	2052	0.6637	0.6285	142
