chrom	start0	end0	bases	relation_to_catalogued_span	GC_fraction_canonical	canonical_fraction	N_bases	MAPQ_min	exclude_marked_duplicates	aligned_read_bases	mean_read_base_depth
NC_049253.1	8000000	8100000	100000	inside	0.34919	1.0	0	20	False	2354169	23.54169
NC_049253.1	8100000	8200000	100000	inside	0.34656	1.0	0	20	False	2287312	22.87312
NC_049253.1	8200000	8300000	100000	inside	0.3548	1.0	0	20	False	2254045	22.54045
NC_049253.1	8300000	8400000	100000	inside	0.3514	1.0	0	20	False	2303451	23.03451
NC_049253.1	8400000	8500000	100000	inside	0.34497	1.0	0	20	False	2249908	22.49908
NC_049253.1	8500000	8600000	100000	inside	0.33842	1.0	0	20	False	2242580	22.4258
NC_049253.1	8600000	8700000	100000	inside	0.34704	1.0	0	20	False	1769217	17.69217
NC_049253.1	8700000	8800000	100000	inside	0.35095	1.0	0	20	False	1648505	16.48505
NC_049253.1	8800000	8900000	100000	inside	0.35219	1.0	0	20	False	2271770	22.7177
NC_049253.1	8900000	9000000	100000	inside	0.3703	1.0	0	20	False	2332945	23.32945
NC_049253.1	9000000	9100000	100000	inside	0.36734	1.0	0	20	False	2329837	23.29837
NC_049253.1	9100000	9200000	100000	inside	0.42965	1.0	0	20	False	2241037	22.41037
NC_049253.1	9200000	9300000	100000	inside	0.37001	1.0	0	20	False	2325215	23.25215
NC_049253.1	9300000	9400000	100000	inside	0.38431	1.0	0	20	False	2271443	22.71443
NC_049253.1	9400000	9500000	100000	inside	0.38754	1.0	0	20	False	2244272	22.44272
NC_049253.1	9500000	9600000	100000	inside	0.39532	1.0	0	20	False	2258780	22.5878
NC_049253.1	9600000	9700000	100000	inside	0.38649	1.0	0	20	False	2280559	22.80559
NC_049253.1	9700000	9800000	100000	inside	0.38067	1.0	0	20	False	2322673	23.22673
NC_049253.1	9800000	9900000	100000	inside	0.37217	1.0	0	20	False	2345350	23.4535
NC_049253.1	9900000	10000000	100000	inside	0.3897	1.0	0	20	False	2307396	23.07396
NC_049253.1	10000000	10100000	100000	inside	0.40155	1.0	0	20	False	2250664	22.50664
NC_049253.1	10100000	10200000	100000	inside	0.35972	1.0	0	20	False	2353246	23.53246
NC_049253.1	10200000	10300000	100000	inside	0.39708	1.0	0	20	False	2088354	20.88354
NC_049253.1	10300000	10400000	100000	inside	0.35703	1.0	0	20	False	2380869	23.80869
NC_049253.1	10400000	10500000	100000	inside	0.35174	1.0	0	20	False	2349256	23.49256
NC_049253.1	10500000	10600000	100000	inside	0.35629	1.0	0	20	False	2398627	23.98627
NC_049253.1	10600000	10700000	100000	inside	0.35842	1.0	0	20	False	2429900	24.299
NC_049253.1	10700000	10800000	100000	inside	0.37385	1.0	0	20	False	2424698	24.24698
NC_049253.1	10800000	10900000	100000	inside	0.39952	1.0	0	20	False	2314175	23.14175
NC_049253.1	10900000	11000000	100000	inside	0.39162	1.0	0	20	False	2364890	23.6489
NC_049253.1	11000000	11100000	100000	inside	0.41378	1.0	0	20	False	2256486	22.56486
NC_049253.1	11100000	11200000	100000	inside	0.39431	1.0	0	20	False	1984245	19.84245
NC_049253.1	11200000	11300000	100000	inside	0.40214	1.0	0	20	False	2331349	23.31349
NC_049253.1	11300000	11400000	100000	inside	0.41818	1.0	0	20	False	2335432	23.35432
NC_049253.1	11400000	11500000	100000	inside	0.4122	1.0	0	20	False	2312545	23.12545
NC_049253.1	11500000	11600000	100000	inside	0.39621	1.0	0	20	False	2304804	23.04804
NC_049253.1	11600000	11700000	100000	inside	0.38832	1.0	0	20	False	2272050	22.7205
NC_049253.1	11700000	11800000	100000	inside	0.38337	1.0	0	20	False	2375858	23.75858
NC_049253.1	11800000	11900000	100000	inside	0.37784	1.0	0	20	False	2358611	23.58611
NC_049253.1	11900000	12000000	100000	inside	0.35919	1.0	0	20	False	2349809	23.49809
NC_049253.1	12000000	12100000	100000	inside	0.36853	1.0	0	20	False	2181111	21.81111
NC_049253.1	12100000	12200000	100000	inside	0.36103	1.0	0	20	False	2350747	23.50747
NC_049253.1	12200000	12300000	100000	inside	0.36067	1.0	0	20	False	2275862	22.75862
NC_049253.1	12300000	12400000	100000	inside	0.36242	1.0	0	20	False	2283204	22.83204
NC_049253.1	12400000	12500000	100000	inside	0.3438	1.0	0	20	False	2291531	22.91531
NC_049253.1	12500000	12600000	100000	inside	0.35321	1.0	0	20	False	2303797	23.03797
NC_049253.1	12600000	12700000	100000	inside	0.35927	1.0	0	20	False	2256780	22.5678
NC_049253.1	12700000	12800000	100000	inside	0.35816	1.0	0	20	False	2343799	23.43799
NC_049253.1	12800000	12900000	100000	inside	0.34823	1.0	0	20	False	2318964	23.18964
NC_049253.1	12900000	13000000	100000	inside	0.34351	1.0	0	20	False	2374321	23.74321
NC_049253.1	13000000	13100000	100000	inside	0.38806	1.0	0	20	False	2349473	23.49473
NC_049253.1	13100000	13200000	100000	inside	0.39013	1.0	0	20	False	2303394	23.03394
NC_049253.1	13200000	13300000	100000	inside	0.35933	1.0	0	20	False	2388671	23.88671
NC_049253.1	13300000	13400000	100000	inside	0.35447	1.0	0	20	False	2286431	22.86431
NC_049253.1	13400000	13500000	100000	inside	0.37917	1.0	0	20	False	2303008	23.03008
NC_049253.1	13500000	13600000	100000	inside	0.38358	1.0	0	20	False	2220483	22.20483
NC_049253.1	13600000	13700000	100000	inside	0.35527	1.0	0	20	False	2339137	23.39137
NC_049253.1	13700000	13800000	100000	inside	0.36775	1.0	0	20	False	2339262	23.39262
NC_049253.1	13800000	13900000	100000	inside	0.35757	1.0	0	20	False	2305692	23.05692
NC_049253.1	13900000	14000000	100000	inside	0.38156	1.0	0	20	False	2377127	23.77127
NC_049253.1	14000000	14100000	100000	inside	0.36638	1.0	0	20	False	2363765	23.63765
NC_049253.1	14100000	14200000	100000	inside	0.36974	1.0	0	20	False	2388445	23.88445
NC_049253.1	14200000	14300000	100000	inside	0.36678	1.0	0	20	False	2352355	23.52355
NC_049253.1	14300000	14400000	100000	inside	0.38092	1.0	0	20	False	2279247	22.79247
NC_049253.1	14400000	14500000	100000	inside	0.35849	1.0	0	20	False	2298304	22.98304
NC_049253.1	14500000	14600000	100000	inside	0.35075	1.0	0	20	False	2231540	22.3154
NC_049253.1	14600000	14700000	100000	inside	0.35141	1.0	0	20	False	2347121	23.47121
NC_049253.1	14700000	14800000	100000	inside	0.35815	1.0	0	20	False	2286723	22.86723
NC_049253.1	14800000	14900000	100000	inside	0.35503	1.0	0	20	False	2260925	22.60925
NC_049253.1	14900000	15000000	100000	inside	0.35255	1.0	0	20	False	2239958	22.39958
NC_049253.1	15000000	15100000	100000	inside	0.35286	1.0	0	20	False	2246392	22.46392
NC_049253.1	15100000	15200000	100000	inside	0.35974	1.0	0	20	False	2330954	23.30954
NC_049253.1	15200000	15300000	100000	inside	0.36447	1.0	0	20	False	2317559	23.17559
NC_049253.1	15300000	15400000	100000	inside	0.36308	1.0	0	20	False	2359141	23.59141
NC_049253.1	15400000	15500000	100000	inside	0.37344	1.0	0	20	False	2310497	23.10497
NC_049253.1	15500000	15600000	100000	inside	0.36106	1.0	0	20	False	2341051	23.41051
NC_049253.1	15600000	15700000	100000	inside	0.37461	1.0	0	20	False	2282625	22.82625
NC_049253.1	15700000	15800000	100000	inside	0.3777	1.0	0	20	False	2288589	22.88589
NC_049253.1	15800000	15900000	100000	inside	0.40277	1.0	0	20	False	2299961	22.99961
NC_049253.1	15900000	16000000	100000	inside	0.38435	1.0	0	20	False	2334454	23.34454
NC_049253.1	16000000	16100000	100000	inside	0.38303	1.0	0	20	False	2369398	23.69398
NC_049253.1	16100000	16200000	100000	inside	0.37794	1.0	0	20	False	2398052	23.98052
NC_049253.1	16200000	16300000	100000	inside	0.37964	1.0	0	20	False	2330835	23.30835
NC_049253.1	16300000	16400000	100000	inside	0.35057	1.0	0	20	False	2344231	23.44231
NC_049253.1	16400000	16500000	100000	inside	0.34938	1.0	0	20	False	2414100	24.141
NC_049253.1	16500000	16600000	100000	inside	0.35255	1.0	0	20	False	2354666	23.54666
NC_049253.1	16600000	16700000	100000	inside	0.35992	1.0	0	20	False	2325464	23.25464
NC_049253.1	16700000	16800000	100000	inside	0.35266	1.0	0	20	False	2418644	24.18644
NC_049253.1	16800000	16900000	100000	inside	0.36801	1.0	0	20	False	2225946	22.25946
NC_049253.1	16900000	17000000	100000	inside	0.35546	1.0	0	20	False	2303653	23.03653
NC_049253.1	17000000	17100000	100000	inside	0.36405	1.0	0	20	False	2382729	23.82729
NC_049253.1	17100000	17200000	100000	inside	0.36306	1.0	0	20	False	2313416	23.13416
NC_049253.1	17200000	17300000	100000	inside	0.37452	1.0	0	20	False	2277339	22.77339
NC_049253.1	17300000	17400000	100000	inside	0.37601	1.0	0	20	False	2249066	22.49066
NC_049253.1	17400000	17500000	100000	inside	0.35909	1.0	0	20	False	2280388	22.80388
NC_049253.1	17500000	17600000	100000	inside	0.36421	1.0	0	20	False	2318363	23.18363
NC_049253.1	17600000	17700000	100000	inside	0.3672	1.0	0	20	False	2371809	23.71809
NC_049253.1	17700000	17800000	100000	inside	0.38799	1.0	0	20	False	2363722	23.63722
NC_049253.1	17800000	17900000	100000	inside	0.39619	1.0	0	20	False	2299908	22.99908
NC_049253.1	17900000	18000000	100000	inside	0.39156	1.0	0	20	False	2286515	22.86515
NC_049253.1	18000000	18100000	100000	inside	0.36992	1.0	0	20	False	2337827	23.37827
NC_049253.1	18100000	18200000	100000	inside	0.39789	1.0	0	20	False	2333025	23.33025
NC_049253.1	18200000	18300000	100000	inside	0.40035	1.0	0	20	False	2361697	23.61697
NC_049253.1	18300000	18400000	100000	inside	0.36868	1.0	0	20	False	2187036	21.87036
NC_049253.1	18400000	18500000	100000	inside	0.38381	1.0	0	20	False	2064236	20.64236
NC_049253.1	18500000	18600000	100000	inside	0.37419	1.0	0	20	False	2358651	23.58651
NC_049253.1	18600000	18700000	100000	inside	0.3754	1.0	0	20	False	2307877	23.07877
NC_049253.1	18700000	18800000	100000	inside	0.3884	1.0	0	20	False	2271091	22.71091
NC_049253.1	18800000	18900000	100000	inside	0.36946	1.0	0	20	False	2343652	23.43652
NC_049253.1	18900000	19000000	100000	inside	0.40089	1.0	0	20	False	2289647	22.89647
NC_049253.1	19000000	19100000	100000	inside	0.41288	1.0	0	20	False	2226084	22.26084
NC_049253.1	19100000	19200000	100000	inside	0.42907	1.0	0	20	False	2285615	22.85615
NC_049253.1	19200000	19300000	100000	inside	0.36691	1.0	0	20	False	2353913	23.53913
NC_049253.1	19300000	19400000	100000	inside	0.3512	1.0	0	20	False	2337948	23.37948
NC_049253.1	19400000	19500000	100000	inside	0.36513	1.0	0	20	False	2367698	23.67698
NC_049253.1	19500000	19600000	100000	inside	0.35203	1.0	0	20	False	2279900	22.799
NC_049253.1	19600000	19700000	100000	inside	0.34536	1.0	0	20	False	2268934	22.68934
NC_049253.1	19700000	19800000	100000	inside	0.34074	1.0	0	20	False	2215834	22.15834
NC_049253.1	19800000	19900000	100000	inside	0.33486	1.0	0	20	False	2250699	22.50699
NC_049253.1	19900000	20000000	100000	inside	0.33891	1.0	0	20	False	2332517	23.32517
NC_049253.1	20000000	20100000	100000	inside	0.36021	1.0	0	20	False	2263656	22.63656
NC_049253.1	20100000	20200000	100000	inside	0.35506	1.0	0	20	False	2331735	23.31735
NC_049253.1	20200000	20300000	100000	inside	0.35357	1.0	0	20	False	2324229	23.24229
NC_049253.1	20300000	20400000	100000	inside	0.34871	1.0	0	20	False	2273682	22.73682
NC_049253.1	20400000	20500000	100000	inside	0.35759	1.0	0	20	False	2169687	21.69687
NC_049253.1	20500000	20600000	100000	inside	0.33779	1.0	0	20	False	2232649	22.32649
NC_049253.1	20600000	20700000	100000	inside	0.34164	1.0	0	20	False	2262973	22.62973
NC_049253.1	20700000	20800000	100000	inside	0.34857	1.0	0	20	False	2263141	22.63141
NC_049253.1	20800000	20900000	100000	inside	0.33898	1.0	0	20	False	2203252	22.03252
NC_049253.1	20900000	21000000	100000	inside	0.34999	1.0	0	20	False	2195148	21.95148
NC_049253.1	21000000	21100000	100000	inside	0.35476	1.0	0	20	False	2226833	22.26833
NC_049253.1	21100000	21200000	100000	inside	0.35198	1.0	0	20	False	2235484	22.35484
NC_049253.1	21200000	21300000	100000	inside	0.3517	1.0	0	20	False	2250480	22.5048
NC_049253.1	21300000	21400000	100000	inside	0.35298	1.0	0	20	False	2292524	22.92524
NC_049253.1	21400000	21500000	100000	inside	0.35107	1.0	0	20	False	2325477	23.25477
NC_049253.1	21500000	21600000	100000	inside	0.36823	1.0	0	20	False	2293816	22.93816
NC_049253.1	21600000	21700000	100000	inside	0.35498	1.0	0	20	False	2263903	22.63903
NC_049253.1	21700000	21800000	100000	inside	0.36473	1.0	0	20	False	2305769	23.05769
NC_049253.1	21800000	21900000	100000	inside	0.37904	1.0	0	20	False	2367338	23.67338
NC_049253.1	21900000	22000000	100000	inside	0.40795	1.0	0	20	False	2256992	22.56992
NC_049253.1	22000000	22100000	100000	inside	0.35902	1.0	0	20	False	2269280	22.6928
NC_049253.1	22100000	22200000	100000	inside	0.36145	1.0	0	20	False	2292055	22.92055
NC_049253.1	22200000	22300000	100000	inside	0.36088	1.0	0	20	False	2283179	22.83179
NC_049253.1	22300000	22400000	100000	inside	0.38833	1.0	0	20	False	2285743	22.85743
NC_049253.1	22400000	22500000	100000	inside	0.35592	1.0	0	20	False	2353931	23.53931
NC_049253.1	22500000	22600000	100000	inside	0.35164	1.0	0	20	False	2337228	23.37228
NC_049253.1	22600000	22700000	100000	inside	0.3732	1.0	0	20	False	2127316	21.27316
NC_049253.1	22700000	22800000	100000	inside	0.35685	1.0	0	20	False	2378904	23.78904
NC_049253.1	22800000	22900000	100000	inside	0.3593	1.0	0	20	False	2378008	23.78008
NC_049253.1	22900000	23000000	100000	inside	0.35926	1.0	0	20	False	2302748	23.02748
NC_049253.1	23000000	23100000	100000	inside	0.36858	1.0	0	20	False	2327685	23.27685
NC_049253.1	23100000	23200000	100000	inside	0.3941	1.0	0	20	False	2208604	22.08604
NC_049253.1	23200000	23300000	100000	inside	0.36303	1.0	0	20	False	2315324	23.15324
NC_049253.1	23300000	23400000	100000	inside	0.35441	1.0	0	20	False	2278902	22.78902
NC_049253.1	23400000	23500000	100000	inside	0.34199	1.0	0	20	False	2159548	21.59548
NC_049253.1	23500000	23600000	100000	inside	0.3469	1.0	0	20	False	2297201	22.97201
NC_049253.1	23600000	23700000	100000	inside	0.34901	1.0	0	20	False	2285413	22.85413
NC_049253.1	23700000	23800000	100000	inside	0.34875	1.0	0	20	False	2252068	22.52068
NC_049253.1	23800000	23900000	100000	inside	0.336	1.0	0	20	False	2238947	22.38947
NC_049253.1	23900000	24000000	100000	inside	0.33685	1.0	0	20	False	2250388	22.50388
NC_049253.1	24000000	24100000	100000	inside	0.33935	1.0	0	20	False	2201051	22.01051
NC_049253.1	24100000	24200000	100000	inside	0.33673	1.0	0	20	False	2272582	22.72582
NC_049253.1	24200000	24300000	100000	inside	0.33382	1.0	0	20	False	2250597	22.50597
NC_049253.1	24300000	24400000	100000	inside	0.33764	1.0	0	20	False	2178343	21.78343
NC_049253.1	24400000	24500000	100000	inside	0.34343	1.0	0	20	False	2199543	21.99543
NC_049253.1	24500000	24600000	100000	inside	0.338	1.0	0	20	False	2217697	22.17697
NC_049253.1	24600000	24700000	100000	inside	0.34616	1.0	0	20	False	2219325	22.19325
NC_049253.1	24700000	24800000	100000	inside	0.35405	1.0	0	20	False	2128324	21.28324
NC_049253.1	24800000	24900000	100000	inside	0.35889	1.0	0	20	False	2209884	22.09884
NC_049253.1	24900000	25000000	100000	inside	0.34516	1.0	0	20	False	2326944	23.26944
NC_049253.1	25000000	25100000	100000	inside	0.33566	1.0	0	20	False	2193216	21.93216
NC_049253.1	25100000	25200000	100000	inside	0.34405	1.0	0	20	False	2187776	21.87776
NC_049253.1	25200000	25300000	100000	inside	0.34399	1.0	0	20	False	2273201	22.73201
NC_049253.1	25300000	25400000	100000	inside	0.34301	1.0	0	20	False	2250690	22.5069
NC_049253.1	25400000	25500000	100000	inside	0.34593	1.0	0	20	False	2063260	20.6326
NC_049253.1	25500000	25600000	100000	inside	0.34453	1.0	0	20	False	2249685	22.49685
NC_049253.1	25600000	25700000	100000	inside	0.3334	1.0	0	20	False	2267093	22.67093
NC_049253.1	25700000	25800000	100000	inside	0.34247	1.0	0	20	False	2236403	22.36403
NC_049253.1	25800000	25900000	100000	inside	0.34724	1.0	0	20	False	2249972	22.49972
NC_049253.1	25900000	26000000	100000	inside	0.34119	1.0	0	20	False	2267853	22.67853
NC_049253.1	26000000	26100000	100000	inside	0.33892	1.0	0	20	False	2265866	22.65866
NC_049253.1	26100000	26200000	100000	inside	0.33726	1.0	0	20	False	2256946	22.56946
NC_049253.1	26200000	26300000	100000	inside	0.3439	1.0	0	20	False	2259817	22.59817
NC_049253.1	26300000	26400000	100000	inside	0.33851	1.0	0	20	False	2296810	22.9681
NC_049253.1	26400000	26500000	100000	inside	0.35292	1.0	0	20	False	2361764	23.61764
NC_049253.1	26500000	26600000	100000	inside	0.35546	1.0	0	20	False	2252380	22.5238
NC_049253.1	26600000	26700000	100000	inside	0.35634	1.0	0	20	False	2353605	23.53605
NC_049253.1	26700000	26800000	100000	inside	0.35419	1.0	0	20	False	2339670	23.3967
NC_049253.1	26800000	26900000	100000	inside	0.35981	1.0	0	20	False	2242501	22.42501
NC_049253.1	26900000	27000000	100000	inside	0.34481	1.0	0	20	False	2357787	23.57787
NC_049253.1	27000000	27100000	100000	inside	0.35222	1.0	0	20	False	2301143	23.01143
NC_049253.1	27100000	27200000	100000	inside	0.3688	1.0	0	20	False	2388563	23.88563
NC_049253.1	27200000	27300000	100000	inside	0.3603	1.0	0	20	False	2377023	23.77023
NC_049253.1	27300000	27400000	100000	inside	0.38629	1.0	0	20	False	2395837	23.95837
NC_049253.1	27400000	27500000	100000	inside	0.39005	1.0	0	20	False	2324132	23.24132
NC_049253.1	27500000	27600000	100000	inside	0.38223	1.0	0	20	False	2123517	21.23517
NC_049253.1	27600000	27700000	100000	inside	0.36869	1.0	0	20	False	2334569	23.34569
NC_049253.1	27700000	27800000	100000	inside	0.34575	1.0	0	20	False	2346422	23.46422
NC_049253.1	27800000	27900000	100000	inside	0.36939	1.0	0	20	False	2363561	23.63561
NC_049253.1	27900000	28000000	100000	inside	0.3991	1.0	0	20	False	2407816	24.07816
NC_049253.1	28000000	28100000	100000	inside	0.3924	1.0	0	20	False	2300852	23.00852
NC_049253.1	28100000	28200000	100000	inside	0.39665	1.0	0	20	False	2302041	23.02041
NC_049253.1	28200000	28300000	100000	inside	0.40183	1.0	0	20	False	2255463	22.55463
NC_049253.1	28300000	28400000	100000	inside	0.40124	1.0	0	20	False	2245463	22.45463
NC_049253.1	28400000	28500000	100000	inside	0.39518	1.0	0	20	False	1778079	17.78079
NC_049253.1	28500000	28600000	100000	inside	0.3837037037037037	0.999	100	20	False	1574356	15.74356
NC_049253.1	28600000	28700000	100000	inside	0.37635	1.0	0	20	False	2347177	23.47177
NC_049253.1	28700000	28800000	100000	inside	0.36799	1.0	0	20	False	2350019	23.50019
NC_049253.1	28800000	28900000	100000	inside	0.37031	1.0	0	20	False	2378581	23.78581
NC_049253.1	28900000	29000000	100000	inside	0.37347	1.0	0	20	False	2295107	22.95107
NC_049253.1	29000000	29100000	100000	inside	0.37671	1.0	0	20	False	2302551	23.02551
NC_049253.1	29100000	29200000	100000	inside	0.37777	1.0	0	20	False	2334705	23.34705
NC_049253.1	29200000	29300000	100000	inside	0.38556	1.0	0	20	False	2311373	23.11373
NC_049253.1	29300000	29400000	100000	inside	0.38009	1.0	0	20	False	2320728	23.20728
NC_049253.1	29400000	29500000	100000	inside	0.40917	1.0	0	20	False	2298657	22.98657
NC_049253.1	29500000	29600000	100000	inside	0.41921	1.0	0	20	False	2209270	22.0927
NC_049253.1	29600000	29700000	100000	inside	0.39439	1.0	0	20	False	2252997	22.52997
NC_049253.1	29700000	29800000	100000	inside	0.34731	1.0	0	20	False	2406955	24.06955
NC_049253.1	29800000	29900000	100000	inside	0.36619	1.0	0	20	False	2276200	22.762
NC_049253.1	29900000	30000000	100000	inside	0.37662	1.0	0	20	False	2231556	22.31556
