# ucsc	assembly	genbank	refseq
chr1	1	CM000001.4	NC_006583.4
chrUn_NW_023329751v1	chrUn59	AAEX04000050.1	NW_023329751.1
chrUn_NW_023329752v1	chrUn6	AAEX04000039.1	NW_023329752.1
chrUn_NW_023329753v1	chrUn62	AAEX04000051.1	NW_023329753.1
chrUn_NW_023329754v1	chrUn67	AAEX04000052.1	NW_023329754.1
chrUn_NW_023329755v1	chrUn70	AAEX04000053.1	NW_023329755.1
chrUn_NW_023329756v1	chrUn73	AAEX04000054.1	NW_023329756.1
chrUn_NW_023329757v1	chrUn74	AAEX04000055.1	NW_023329757.1
chrUn_NW_023329758v1	chrUn75	AAEX04000056.1	NW_023329758.1
chrUn_NW_023329759v1	chrUn76	AAEX04000057.1	NW_023329759.1
chrUn_NW_023329760v1	chrUn79	AAEX04000058.1	NW_023329760.1
chrUn_NW_023329761v1	chrUn80	AAEX04000059.1	NW_023329761.1
chrUn_NW_023329762v1	chrUn81	AAEX04000060.1	NW_023329762.1
chrUn_NW_023329763v1	chrUn86	AAEX04000061.1	NW_023329763.1
chrUn_NW_023329764v1	chrUn87	AAEX04000062.1	NW_023329764.1
chrUn_NW_023329765v1	chrUn88	AAEX04000063.1	NW_023329765.1
chrUn_NW_023329766v1	chrUn89	AAEX04000064.1	NW_023329766.1
chrUn_NW_023329767v1	chrUn92	AAEX04000065.1	NW_023329767.1
chrUn_NW_023329768v1	chrUn94	AAEX04000066.1	NW_023329768.1
chrUn_NW_023329769v1	chrUn95	AAEX04000067.1	NW_023329769.1
chrUn_NW_023329770v1	chrUn96	AAEX04000068.1	NW_023329770.1
chrUn_NW_023329771v1	chrUn97	AAEX04000069.1	NW_023329771.1
chrUn_NW_023329772v1	chrUn98	AAEX04000070.1	NW_023329772.1
chrUn_NW_023329773v1	chrUn99	AAEX04000071.1	NW_023329773.1
chrX	X	CM000039.4	NC_006621.4
