window_id	chrom	feature	transcript_id	gene	strand	annotated_5prime0	gap_bp	window_overlap
w01	NC_051811.1	mRNA	rna-XM_038671087.1	SMG7	+	16553249	702456	False
w01	NC_051811.1	mRNA	rna-XM_038671086.1	SMG7	+	16552606	703099	False
w01	NC_051811.1	mRNA	rna-XM_038671088.1	SMG7	+	16552572	703133	False
w01	NC_051811.1	mRNA	rna-XM_038671094.1	SMG7	+	16552547	703158	False
w01	NC_051811.1	mRNA	rna-XM_038671095.1	SMG7	+	16552547	703158	False
w01	NC_051811.1	mRNA	rna-XM_038671105.1	NMNAT2	-	16552071	703634	False
w01	NC_051811.1	mRNA	rna-XM_038671104.1	NMNAT2	-	16552070	703635	False
w01	NC_051811.1	mRNA	rna-XM_038671103.1	NMNAT2	-	16552070	703635	False
w01	NC_051811.1	mRNA	rna-XM_038671100.1	NMNAT2	-	16552070	703635	False
w01	NC_051811.1	mRNA	rna-XM_038671102.1	NMNAT2	-	16552070	703635	False
w01	NC_051811.1	mRNA	rna-XM_038671101.1	NMNAT2	-	16552070	703635	False
w01	NC_051811.1	mRNA	rna-XM_038671098.1	NMNAT2	-	16552070	703635	False
w01	NC_051811.1	mRNA	rna-XM_038671127.1	RNF2	+	17967437	710731	False
w01	NC_051811.1	mRNA	rna-XM_038671122.1	NIBAN1	-	17967534	710828	False
w01	NC_051811.1	mRNA	rna-XM_038671125.1	RNF2	+	17967839	711133	False
w01	NC_051811.1	mRNA	rna-XM_038671128.1	RNF2	+	17967839	711133	False
w01	NC_051811.1	mRNA	rna-XM_038671126.1	RNF2	+	17973430	716724	False
w01	NC_051811.1	mRNA	rna-XM_038671099.1	NMNAT2	-	16536191	719514	False
w01	NC_051811.1	lnc_RNA	rna-XR_005429699.1	LOC119872511	+	16533004	722701	False
w01	NC_051811.1	mRNA	rna-XM_038671097.1	NMNAT2	-	16513647	742058	False
w01	NC_051811.1	mRNA	rna-XM_038671096.1	NMNAT2	-	16513647	742058	False
w01	NC_051811.1	mRNA	rna-XM_038671138.1	TRMT1L	-	18053171	796465	False
w01	NC_051811.1	mRNA	rna-XM_038671137.1	TRMT1L	-	18053290	796584	False
w01	NC_051811.1	mRNA	rna-XM_038671135.1	TRMT1L	-	18062474	805768	False
w01	NC_051811.1	mRNA	rna-XM_038671131.1	SWT1	+	18062668	805962	False
w01	NC_051811.1	mRNA	rna-XM_038671132.1	SWT1	+	18062668	805962	False
w01	NC_051811.1	transcript	rna-XR_005429717.1	SWT1	+	18062669	805963	False
w01	NC_051811.1	transcript	rna-XR_005429719.1	SWT1	+	18062669	805963	False
w01	NC_051811.1	transcript	rna-XR_005429718.1	SWT1	+	18062669	805963	False
w01	NC_051811.1	mRNA	rna-XM_038671133.1	SWT1	+	18062671	805965	False
w01	NC_051811.1	mRNA	rna-XM_038671129.1	SWT1	+	18062672	805966	False
w01	NC_051811.1	mRNA	rna-XM_038671134.1	SWT1	+	18062672	805966	False
w01	NC_051811.1	mRNA	rna-XM_038671136.1	TRMT1L	-	18063130	806424	False
w01	NC_051811.1	mRNA	rna-XM_038671130.1	SWT1	+	18064418	807712	False
w01	NC_051811.1	lnc_RNA	rna-XR_005429698.1	LOC119872510	+	16380349	875356	False
w01	NC_051811.1	mRNA	rna-XM_038671139.1	LOC480043	-	18184138	927432	False
w01	NC_051811.1	mRNA	rna-XM_038671140.1	LOC480043	-	18184747	928041	False
w01	NC_051811.1	lnc_RNA	rna-XR_005429349.1	LOC111096644	+	18203822	947116	False
w01	NC_051811.1	mRNA	rna-NM_001003351.1	LAMC2	+	16300285	955420	False
w01	NC_051811.1	mRNA	rna-XM_038670502.1	LAMC2	+	16299652	956053	False
w01	NC_051811.1	lnc_RNA	rna-XR_005429700.1	LOC111096641	-	16295749	959956	False
w01	NC_051811.1	mRNA	rna-XM_038670501.1	LAMC2	+	16274542	981163	False
w11	NC_051836.1	lnc_RNA	rna-XR_005305849.1	LOC102156669	+	27073049	30888	False
w11	NC_051836.1	mRNA	rna-XM_038444295.1	NPNT	+	26938243	102917	False
w11	NC_051836.1	mRNA	rna-XM_038444297.1	NPNT	+	26938243	102917	False
w11	NC_051836.1	mRNA	rna-XM_038444296.1	NPNT	+	26938243	102917	False
w11	NC_051836.1	mRNA	rna-XM_038444298.1	NPNT	+	26938243	102917	False
w11	NC_051836.1	mRNA	rna-XM_038444303.1	TBCK	-	27238006	195845	False
w11	NC_051836.1	mRNA	rna-XM_038444294.1	LOC119867197	-	26819974	221186	False
w11	NC_051836.1	mRNA	rna-XM_038444302.1	TBCK	-	27287223	245062	False
w11	NC_051836.1	mRNA	rna-XM_038444301.1	TBCK	-	27293870	251709	False
w11	NC_051836.1	transcript	rna-XR_005305848.1	TBCK	-	27294355	252194	False
w11	NC_051836.1	transcript	rna-XR_005305847.1	TBCK	-	27294355	252194	False
w11	NC_051836.1	mRNA	rna-XM_038444299.1	TBCK	-	27294355	252194	False
w11	NC_051836.1	mRNA	rna-XM_038444300.1	TBCK	-	27294355	252194	False
w11	NC_051836.1	mRNA	rna-XM_038444307.1	AIMP1	+	27294549	252388	False
w11	NC_051836.1	mRNA	rna-XM_038444305.1	AIMP1	+	27294571	252410	False
w11	NC_051836.1	mRNA	rna-XM_038444306.1	AIMP1	+	27294701	252540	False
w11	NC_051836.1	mRNA	rna-XM_038444293.1	INTS12	-	26771350	269810	False
w11	NC_051836.1	mRNA	rna-XM_038444291.1	INTS12	-	26771338	269822	False
w11	NC_051836.1	mRNA	rna-XM_038444290.1	INTS12	-	26771338	269822	False
w11	NC_051836.1	mRNA	rna-XM_038444289.1	INTS12	-	26771338	269822	False
w11	NC_051836.1	mRNA	rna-XM_038444283.1	GSTCD	+	26771036	270124	False
w11	NC_051836.1	mRNA	rna-XM_038444284.1	GSTCD	+	26771036	270124	False
w11	NC_051836.1	mRNA	rna-XM_038444285.1	GSTCD	+	26771036	270124	False
w11	NC_051836.1	mRNA	rna-XM_038444287.1	GSTCD	+	26771036	270124	False
w11	NC_051836.1	mRNA	rna-XM_038444286.1	GSTCD	+	26771036	270124	False
w11	NC_051836.1	mRNA	rna-XM_038444288.1	GSTCD	+	26771036	270124	False
w11	NC_051836.1	mRNA	rna-XM_038444292.1	INTS12	-	26766866	274294	False
w11	NC_051836.1	mRNA	rna-XM_038444308.1	GIMD1	-	27354853	312692	False
w11	NC_051836.1	lnc_RNA	rna-XR_005305846.1	LOC111093661	-	26656918	384242	False
w11	NC_051836.1	mRNA	rna-XM_038444282.1	ARHGEF38	+	26595763	445397	False
w11	NC_051836.1	mRNA	rna-XM_038444281.1	PPA2	-	26526296	514864	False
w11	NC_051836.1	mRNA	rna-XM_038444280.1	PPA2	-	26526296	514864	False
w11	NC_051836.1	lnc_RNA	rna-XR_005305845.1	LOC119867196	+	26434276	606884	False
w11	NC_051836.1	lnc_RNA	rna-XR_005305842.1	LOC111093580	-	26434208	606952	False
w11	NC_051836.1	lnc_RNA	rna-XR_005305840.1	LOC111093645	+	26387519	653641	False
w11	NC_051836.1	lnc_RNA	rna-XR_005305841.1	LOC111093645	+	26387518	653642	False
w11	NC_051836.1	lnc_RNA	rna-XR_005305851.1	LOC119867198	+	27749063	706902	False
w11	NC_051836.1	lnc_RNA	rna-XR_005305850.1	LOC102157046	-	27749190	707029	False
w11	NC_051836.1	lnc_RNA	rna-XR_005305844.1	LOC111093640	-	26234896	806264	False
w11	NC_051836.1	lnc_RNA	rna-XR_005305843.1	LOC111093640	-	26234896	806264	False
w11	NC_051836.1	mRNA	rna-XM_038444279.1	TET2	+	26234033	807127	False
w11	NC_051836.1	transcript	rna-XR_005305839.1	TET2	+	26234027	807133	False
w11	NC_051836.1	mRNA	rna-XM_038444309.1	DKK2	-	27877745	835584	False
w11	NC_051836.1	lnc_RNA	rna-XR_005305855.1	LOC111093659	-	27994082	951921	False
w11	NC_051836.1	lnc_RNA	rna-XR_005305853.1	LOC111093659	-	27994082	951921	False
w11	NC_051836.1	lnc_RNA	rna-XR_005305854.1	LOC111093659	-	27994083	951922	False
w11	NC_051836.1	lnc_RNA	rna-XR_005305852.1	LOC111093659	-	27994083	951922	False
w11	NC_051836.1	lnc_RNA	rna-XR_005305856.1	LOC111093660	+	27994157	951996	False
w11	NC_051836.1	lnc_RNA	rna-XR_005305857.1	LOC111093660	+	27994159	951998	False
