genes	chrom	start	end	window_bp	atac_mean	atac_observed_fraction	atac_length_matched_percentile	atac_peak_frequency_max	rrbs_observed_fraction	rrbs_mean_observed	rrbs_dogs_max	repeat_overlap_bp	phylop_scored_fraction	phylop_mean_observed	phylop_max_observed	atac-peaks-bed_overlap_bp	external-regulatory-bed_overlap_bp	tad-boundaries-bed_overlap_bp	cpg_overlap_bp	epic_nonquiescent_bp_union	epic_promoter_enhancer_bp_union	epic_regulatory_tissues	local_review_status	selected_1kb_previously	small_variant_review	small_variant_PASS_SNP_records	small_variant_PASS_nonSNP_records	SV_review	conservation_status	T_cell_accessibility_status	CAR_T_functional_safety_status	decision_status	previous_atac_mean	previous_atac_length_matched_percentile	gate_evidence_dogs_min	gate_evidence_dogs_median	gate_evidence_dogs_max	exploratory_Pareto_front	pilot_phyloP_observed_fraction	pilot_phyloP_max50bp_mean	pilot_phyloP_mean	published_phyloP_observed_fraction	published_phyloP_max50bp_mean	published_phyloP_mean	legacy_phylop_columns_model	NPNT_regional_SV_context	previous_SV_review
ANO2/NTF3	NC_051831.1	39685574	39686574	1000	1.1897621017098428	1.0	85.93066307640525	0.0	0.276	70.02213234832321	58.0	208	0.999	0.027259259259259257	4.195	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.1897701194286348	86.2	19	27.0	39	True	0.999	0.31389999999999996	0.027259259259259257	0.999	0.10382	-0.24177577577577578	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
ANO2/NTF3	NC_051831.1	39686074	39687074	1000	1.1623149703145028	1.0	84.04577583305284	0.0	0.424	80.33208422390919	67.0	208	0.999	0.06049749749749749	4.195	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.1623227869272232	84.3	19	26.0	37	True	0.999	0.37460000000000004	0.06049749749749749	0.999	0.14329999999999998	-0.21007707707707707	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
ANO2/NTF3	NC_051831.1	39686324	39687324	1000	1.1698682801127434	1.0	84.58431504543925	0.0	0.5	91.99571914672852	67.0	215	0.999	0.10419019019019019	5.745	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.1698761568069458	84.86666666666667	19	26.0	37	True	0.999	0.41794	0.10419019019019019	0.999	0.15786000000000003	-0.14454054054054055	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
ANO2/NTF3	NC_051831.1	39686574	39687574	1000	1.1668390691876411	1.0	84.34870414002019	0.0	0.4	91.920729637146	67.0	82	1.0	0.19238799999999998	8.126	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.166846923649311	84.6	17	27.5	38	True	1.0	1.00108	0.19238799999999998	1.0	0.5887800000000001	-0.118462	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
ANO2/NTF3	NC_051831.1	39707824	39708824	1000	1.2305474768280984	1.0	89.29653315382026	1.0	0.126	40.60024079822359	2.0	97	1.0	-0.03409	4.045	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.23055576056242	89.5	16	31.5	43	True	1.0	0.45804000000000006	-0.03409	1.0	0.127	-0.284767	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
ANO2/NTF3	NC_051831.1	39708074	39709074	1000	1.2570947512984276	1.0	90.37361157859307	1.0	0.15	48.72968037923177	12.0	0	1.0	0.18462199999999998	7.874	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.2571032155752182	90.56666666666666	21	35.0	43	True	1.0	2.03954	0.18462199999999998	1.0	1.5642600000000004	-0.13265000000000005	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
ANO2/NTF3	NC_051831.1	39708324	39709324	1000	1.2618632763624191	1.0	90.54190508246381	1.0	0.25	69.23780822753906	12.0	81	1.0	0.23652299999999998	7.874	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.2618717719316483	90.76666666666667	23	35.0	43	True	1.0	2.03954	0.23652299999999998	1.0	1.5642600000000004	-0.11682300000000004	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
ANO2/NTF3	NC_051831.1	39709574	39710574	1000	1.1984931824803353	1.0	86.53651969033996	0.0	0.274	72.350438946355	42.0	555	0.999	0.07760360360360365	5.924	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.1985012496709824	86.83333333333333	21	28.0	39	True	0.999	1.0385000000000002	0.07760360360360365	0.999	0.6756	-0.23110410410410412	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
ANO2/NTF3	NC_051831.1	39709824	39710824	1000	1.2174676079750062	1.0	88.35408953214406	0.0	0.374	79.05569113257097	68.0	565	0.997	0.032613841524573736	7.36	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.217475793838501	88.6	21	27.5	39	True	0.997	0.73538	0.03261384152457373	0.997	0.2547399999999999	-0.2907823470411234	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
ANO2/NTF3	NC_051831.1	39710074	39711074	1000	1.1974564841389657	1.0	86.5028609895658	0.0	0.4	72.16023921966553	68.0	520	0.998	0.26256312625250494	10.827	0	0	0	0	106	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.1974645456671715	86.8	7	26.0	35	True	0.998	3.50328	0.262563126252505	0.998	2.6894000000000005	-0.09758016032064133	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
ANO2/NTF3	NC_051831.1	39710324	39711324	1000	1.1854764267802238	1.0	85.79602827330865	0.0	0.3	67.99555079142253	68.0	270	0.998	0.5026182364729459	10.827	0	0	0	0	356	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.1854844123721122	86.03333333333333	7	28.0	35	True	0.998	3.9833400000000005	0.5026182364729459	0.998	3.1736000000000004	0.07851503006012021	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
ANO2/NTF3	NC_051831.1	39710574	39711574	1000	1.1906539134979248	1.0	85.99798047795355	0.0	0.276	75.62365780705991	68.0	256	0.998	0.4994498997995992	10.827	0	0	0	0	606	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.1906619356870651	86.26666666666667	7	27.5	35	True	0.998	3.9833400000000005	0.49944989979959914	0.998	3.1736000000000004	0.0576312625250501	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
ANO2/NTF3	NC_051831.1	39713074	39714074	1000	1.2730091723799706	1.0	90.94580949175362	0.0	0.1	88.27061080932617	18.0	208	0.998	0.2697985971943888	5.545	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.2730177615284919	91.16666666666666	23	31.0	39	True	0.998	1.6412200000000001	0.2697985971943888	0.998	1.17262	-0.01934068136272548	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
ANO2/NTF3	NC_051831.1	39714074	39715074	1000	1.012198033094406	1.0	56.47929989902389	0.0	0.274	77.73440980563198	7.0	121	1.0	0.6017830000000002	8.428	0	0	0	0	600	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.012204854130745	57.43333333333334	13	22.5	34	True	1.0	2.8103799999999994	0.6017830000000002	1.0	2.2994800000000004	0.286993	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
ANO2/NTF3	NC_051831.1	39714824	39715824	1000	0.9477739344239235	1.0	33.052844160215415	0.0	0.174	50.449042484678074	4.0	302	1.0	0.07694000000000001	4.817	0	0	0	0	147	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	0.9477803318500518	34.5	6	17.0	45	True	1.0	0.6008800000000001	0.07694000000000001	1.0	0.47758000000000006	-0.09656900000000002	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
ANO2/NTF3	NC_051831.1	39715074	39716074	1000	0.9184123861193657	1.0	23.291820935711883	0.0	0.226	65.04330761664737	5.0	315	1.0	0.09814799999999999	4.817	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	0.9184185872673989	24.933333333333334	6	16.0	45	True	1.0	0.6008800000000001	0.09814799999999999	1.0	0.47758000000000006	-0.061845	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
ANO2/NTF3	NC_051831.1	39729824	39730824	1000	1.324535159945488	1.0	93.23460114439582	1.0	0.25	32.882861328125	3.0	374	1.0	0.43123500000000003	6.716	0	0	0	0	249	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.3245440834760667	93.36666666666666	21	31.5	52	True	1.0	2.07036	0.43123500000000003	1.0	1.3596000000000001	0.12553399999999998	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
ANO2/NTF3	NC_051831.1	39730074	39731074	1000	1.1928093338012695	1.0	86.13261528105015	1.0	0.15	21.471435546875	3.0	172	1.0	0.577735	6.716	0	0	0	0	499	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.1928173773288726	86.4	17	27.0	45	True	1.0	2.07036	0.577735	1.0	1.3596000000000001	0.23795799999999998	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
ANO2/NTF3	NC_051831.1	39730324	39731324	1000	1.1476348626613617	1.0	82.39649949511949	0.0	0.1	0.0	1.0	204	1.0	0.691784	6.716	0	0	0	0	749	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.1476425998806954	82.66666666666667	17	25.0	42	True	1.0	2.07036	0.691784	1.0	1.3596000000000001	0.31827099999999997	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
ANO2/NTF3	NC_051831.1	39735074	39736074	1000	1.141154140174389	1.0	81.65600807808818	0.0	0.3	94.52927525838216	11.0	54	1.0	0.7446200000000001	10.696	0	0	0	0	600	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.1411618270277977	81.96666666666667	13	26.5	34	True	1.0	2.92878	0.7446200000000001	1.0	2.2321000000000004	0.34770999999999996	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
NPNT/TBCK	NC_051836.1	27016161	27017161	1000	0.9617452344298363	1.0	38.60652978795018	0.0	0.1	35.057735443115234	43.0	923	0.995	0.04524020100502512	1.264	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	0.9617517110407352	39.900000000000006	6	11.5	26	True	0.995	0.2459	0.04524020100502512	0.995	0.14982	0.01962613065326634	pilot; use published_phyloP_* for updated calibration	catalogue_DEL_challenged_by_distributed_heterozygosity; unresolved_read_level	not_assessed
NPNT/TBCK	NC_051836.1	27016411	27017411	1000	0.9526897039413452	1.0	35.17334230898687	0.0	0.15	48.443077087402344	49.0	923	0.995	0.0635748743718593	1.264	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	0.9526961232125759	36.56666666666666	6	13.0	26	True	0.995	0.37576	0.06357487437185928	0.995	0.28374	0.02378090452261307	pilot; use published_phyloP_* for updated calibration	catalogue_DEL_challenged_by_distributed_heterozygosity; unresolved_read_level	not_assessed
NPNT/TBCK	NC_051836.1	27016661	27017661	1000	0.9733010759949684	1.0	42.982160888589696	0.0	0.2	52.99897384643555	49.0	943	0.995	0.07533366834170856	2.724	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	0.9733076305091382	44.06666666666666	6	14.5	26	True	0.995	0.37576	0.07533366834170854	0.995	0.28374	0.019283417085427138	pilot; use published_phyloP_* for updated calibration	catalogue_DEL_challenged_by_distributed_heterozygosity; unresolved_read_level	not_assessed
NPNT/TBCK	NC_051836.1	27016911	27017911	1000	0.9985153687596321	1.0	51.73342308986874	0.0	0.189	56.083570207868306	49.0	996	0.995	0.06804422110552764	2.724	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	0.9985220956802369	52.733333333333334	6	14.0	23	True	0.995	0.37576	0.06804422110552764	0.995	0.28374	-0.008012060301507539	pilot; use published_phyloP_* for updated calibration	catalogue_DEL_challenged_by_distributed_heterozygosity; unresolved_read_level	not_assessed
NPNT/TBCK	NC_051836.1	27017411	27018411	1000	0.9350153440535068	1.0	28.441602154156847	0.0	0.25	87.92436218261719	70.0	803	0.998	0.023317635270541082	2.724	0	0	0	232	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	0.9350216415822505	29.96666666666667	8	15.0	22	True	0.998	0.2557	0.023317635270541082	0.998	0.17774	-0.05327254509018036	pilot; use published_phyloP_* for updated calibration	catalogue_DEL_challenged_by_distributed_heterozygosity; unresolved_read_level	not_assessed
NPNT/TBCK	NC_051836.1	27017911	27018911	1000	0.8333489530980587	1.0	5.52002692696062	0.0	0.25	74.59102935791016	70.0	620	0.998	0.08578256513026053	3.731	0	0	0	232	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	0.8333545611202717	7.6	7	15.5	22	True	0.998	0.67152	0.08578256513026053	0.998	0.5561	0.014142284569138281	pilot; use published_phyloP_* for updated calibration	catalogue_DEL_challenged_by_distributed_heterozygosity; unresolved_read_level	not_assessed
NPNT/TBCK	NC_051836.1	27018911	27019911	1000	0.9586165809035301	1.0	37.49579266240323	0.0	0.061	59.01639344262295	1.0	464	0.98	0.1528061224489796	5.175	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	0.9586230404376984	38.800000000000004	2	18.0	26	True	0.98	0.7223400000000001	0.15280612244897962	0.98	0.42291999999999996	-0.04622755102040816	pilot; use published_phyloP_* for updated calibration	catalogue_DEL_challenged_by_distributed_heterozygosity; unresolved_read_level	not_assessed
NPNT/TBCK	NC_051836.1	27019911	27020911	1000	1.0268423160910607	1.0	60.215415684954564	0.0	0.139	98.47372590209083	6.0	3	1.0	-0.046729000000000014	3.59	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.0268492362499237	61.0	10	20.0	33	True	1.0	0.47832	-0.046729000000000014	1.0	0.34146	-0.195265	pilot; use published_phyloP_* for updated calibration	catalogue_DEL_challenged_by_distributed_heterozygosity; unresolved_read_level	not_assessed
