chrom	start	end	length	orientation	left_gene	right_gene	hard_veto	veto_tad_boundary	veto_atac_peak	veto_risk_gene	veto_low_mappability	veto_mirna_nearby	veto_risk_gene_radius	veto_gene_dense_neighborhood	veto_lncrna_smallrna	veto_tad_risk_gene	veto_high_repeat_content	pct_repeat	veto_ultraconserved_element	max_50bp_rolling_phyloP	veto_external_regulatory_element	veto_low_atac_accessibility	no_rrbs_coverage	atac_mean	atac_mean_percentile	atac_mean_narrow	atac_mean_narrow_percentile	atac_variability	atac_peak_frequency	rrbs_mean	rrbs_variability	tad_boundary_distance	mirna_distance	risk_gene_radius_distance	gene_dense_clearance	score_stability_atac	score_low_peak_frequency	score_low_methylation	score_stability_rrbs	score_tad_distance	final_score	final_score_percentile
NC_051806.1	37763146	37815322	52176	convergent	LOC102153902	LOC111094200	True	False	False	False	False	False	True	False	False	True	False		False		True	False	False	1.0686572427342278	0.887	1.0552108010371526	0.853	0.05341605151042252	1.0	5.682034090173168	0.7370547258144203	135766	5214801	119627	52283	0.3927	0.0193	0.8712	0.6027	0.6759	0.5124	71.8
NC_051806.1	38503041	38573083	70042	convergent	ARHGAP26	NR3C1	True	True	False	True	False	False	True	False	False	True	False		False		True	False	False	0.9589639682299941	0.7666666666666667	0.9782160316705704	0.8086666666666666	0.04964941257811554	11.0	8.682231542431095	1.0283057865011898	11938	4465973	35021	132269	0.4768	0.0094	0.864	0.5954	0.1534	0.4198	31.0
NC_051806.1	39071176	39129828	58652	convergent	LOC119879638	LOC111092064	True	True	False	False	False	False	False	True	False	False	False		False		False	False	False	1.042189339663913	0.8653333333333333	1.0386519867738089	0.846	0.053521704283546974	19.0	4.9015990903759885	0.837957465229727	0	3903533	408039	14974	0.391	0.0062	0.8736	0.6002	0.0901	0.3922	13.7
NC_051806.1	39159547	39230847	71300	convergent	LOC111094604	LOC119870003	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	1.0032850767084793	0.822	0.9929028418540955	0.817	0.05137137225043166	1.0	3.2169757585443346	0.2431911071445467	70197	3808838	502734	14836	0.4378	0.0193	0.8799	0.608	0.4441	0.4778	57.5
NC_051806.1	55898984	55971473	72489	convergent	PTCD2	ZNF366	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	1.0750254963846386	0.8926666666666667	1.0334619563261669	0.8416666666666667	0.05516299811139579	1.0	15.065078585232126	1.888533385328489	139772	2006509	594728	31063	0.3585	0.0193	0.8534	0.5798	0.6865	0.4995	67.7
NC_051806.1	61050066	61110203	60137	convergent	LOC119870018	LOC102154386	True	True	False	False	False	False	True	True	False	False	False		False		False	False	False	1.1205152338005764	0.9206666666666666	1.105803634436925	0.8733333333333333	0.057512976984817	28.0	13.639989476533266	2.188821877817609	5134	1086768	38918	8850	0.3174	0.004	0.8553	0.5758	0.1189	0.3743	7.4
NC_051806.1	62723085	62783656	60571	convergent	RPGRIP1L	LOC119870323	True	True	False	False	False	False	True	True	False	False	False		False		True	False	False	1.0705418010736085	0.8886666666666667	1.1106820581475894	0.8743333333333333	0.05543822223212881	1.0	16.443140223708202	2.5737327160184544	0	2760004	52350	11086	0.3531	0.0193	0.8515	0.571	0.0901	0.377	8.0
NC_051806.1	63630965	63704659	73694	convergent	TOX3	LOC100687235	True	True	False	False	False	False	False	True	False	False	False		False		True	False	False	1.01286168353862	0.833	1.0198756242394447	0.8316666666666667	0.05180576020036296	1.0	6.06642535525253	0.9934735739643036	7188	3674446	810677	44696	0.4269	0.0193	0.8703	0.5962	0.1304	0.4086	23.9
NC_051806.1	77425724	77486897	61173	convergent	LOC102153519	LOC119870436	True	True	False	False	False	False	True	True	False	False	False		False		False	False	False	1.1672355149380897	0.9406666666666667	1.1698406967202823	0.887	0.05887034721608592	1.0	20.91465546910531	3.9743614905444726	6310	847142	158053	4814	0.2959	0.0193	0.8449	0.5504	0.1247	0.367	5.0
NC_051806.1	80612441	80666392	53951	convergent	LOC119870059	KLHDC7A	True	True	False	False	False	False	False	True	False	False	False		False		True	False	False	1.1605122921736442	0.938	1.0817272837956746	0.8623333333333333	0.05823783946115143	1.0	19.68487957366253	3.423068670896653	0	4030248	871943	13440	0.3053	0.0193	0.8465	0.5592	0.0901	0.3641	4.1
NC_051806.1	84152591	84202660	50069	convergent	LOC119870024	PDPN	True	False	False	False	False	False	True	True	False	True	False		False		True	False	False	1.106832519356257	0.9136666666666666	1.1160706926981607	0.8753333333333333	0.056948708034038203	8.0	20.197176196110966	3.0571462003063656	47375	959073	26810	1776	0.3266	0.0111	0.8457	0.5646	0.3378	0.4171	28.9
NC_051806.1	84303869	84363723	59854	convergent	LRRC38	C2H1orf158	True	False	False	False	False	False	True	True	False	False	False		False		True	False	False	1.1569780030544095	0.936	1.105573324461778	0.8733333333333333	0.05878329002918684	4.0	33.08578231351509	4.926058766673488	66204	802902	182981	20937	0.2972	0.0143	0.8286	0.5329	0.4265	0.4199	31.2
NC_051807.1	9691905	9747134	55229	convergent	ST8SIA4	LOC106558558	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	0.9892747528647823	0.8063333333333333	1.0423166785240174	0.8486666666666667	0.051951783443440216	37.0	2.535161892254615	0.20490392035210322	169519	10186984	1457004	1328	0.4235	0.0024	0.8833	0.608	0.7547	0.5344	77.2
NC_051807.1	10779807	10837318	57511	convergent	LOC100685686	LOC119871165	False	False	False	False	False	False	False	False	False	False	False	38.03	False	4.32784	False	False	False	0.9381547504917834	0.7256666666666667	0.9414552786191305	0.7736666666666666	0.049536361495460327	1.0	3.2247474162948735	0.4302419573337714	216438	9097941	367961	59955	0.4793	0.0193	0.8798	0.6076	0.8308	0.5634	88.3
NC_051807.1	21623166	21678171	55005	convergent	LOC119871170	LOC111095350	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	0.9369027127368023	0.7216666666666667	0.937698283235232	0.7693333333333333	0.04972913093185171	0.0	3.292680464196761	0.3732461496442044	200668	1744142	565092	9181	0.4747	0.0287	0.8795	0.6078	0.8086	0.5599	86.8
NC_051807.1	22304729	22367018	62289	convergent	LOC111095151	LOC119871362	False	False	False	False	False	False	False	False	False	False	False	32.58	False	4.00506	False	False	False	0.9130512081665204	0.6826666666666666	0.882510517946879	0.726	0.04757943282984538	1.0	1.6083525605311033	0.13162193889086796	139127	2429347	1250297	105411	0.5276	0.0193	0.8903	0.608	0.6865	0.5463	81.8
NC_051807.1	25390804	25445201	54397	convergent	LOC119871164	LOC111095157	True	False	True	False	False	False	True	True	False	True	False		False		True	False	False	1.0149008211510493	0.8333333333333334	0.9264787002722422	0.7583333333333333	0.05375542531709806	39.0	3.5163172186333473	0.8968138470687808	268002	5511476	112640	40503	0.3862	0.0021	0.8785	0.5987	0.8848	0.5501	83.1
NC_051807.1	31153307	31211185	57878	convergent	GCNT4	MIR8901	True	False	False	False	False	True	True	True	False	False	False		False		True	True	False	0.6754123646026314	0.5783333333333334	0.15562085159420966	0.228	0.03380456932624272	25.0	7.82748898209977	1.1168696079974942	207246	28959	261615	16870	0.8318	0.0046	0.866	0.5933	0.8186	0.6229	98.5
NC_051807.1	32087727	32156058	68331	convergent	TUBGCP5	LOC100688323	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	0.965466322504379	0.779	1.0051135806639988	0.8253333333333334	0.050893365809012624	18.0	8.048569160391967	1.1144800283458116	96892	904072	1201261	6828	0.4483	0.0066	0.8656	0.5933	0.5502	0.4928	64.2
NC_051807.1	34846149	34921008	74859	convergent	LOC119871185	LOC106558580	True	False	False	False	False	False	False	True	False	False	False		False		False	False	False	0.9821404249922904	0.798	1.0375486907362939	0.846	0.051210755648884734	30.0	2.4046834874359266	0.6111229469606306	141422	1857590	1919698	449	0.4412	0.0036	0.8841	0.6054	0.6915	0.5252	74.8
NC_051807.1	35803900	35876584	72684	convergent	UBE3A	LOC100685501	True	True	False	False	False	False	False	True	False	False	False		False		False	False	False	0.9297049957022979	0.7103333333333334	0.934370875008901	0.7663333333333333	0.049259819474013936	1.0	3.2951991373609486	0.5168394326734458	0	2416216	963034	29968	0.4862	0.0193	0.8795	0.6069	0.0901	0.4164	27.5
NC_051807.1	44207725	44265967	58242	convergent	LOC119870785	LOC111095367	True	False	False	False	False	False	False	False	False	False	False	27.34	True	7.80566	False	False	False	0.9779395063697692	0.7936666666666666	0.9824686593612034	0.812	0.05052748381553899	1.0	2.317920363944221	0.2863463847369635	111846	5980366	311387	102576	0.4566	0.0193	0.8846	0.6079	0.6034	0.5144	72.2
NC_051807.1	50781019	50831091	50072	convergent	AGBL1	LOC102152355	True	False	False	False	False	False	False	False	False	True	False		False		False	False	False	0.9585278513123384	0.765	0.9619861881931624	0.7906666666666666	0.049692651425456695	1.0	2.7729579274855287	0.26245898392668837	281055	1416138	742330	122480	0.4755	0.0193	0.882	0.6079	0.8949	0.5759	90.7
NC_051807.1	56269278	56323122	53844	convergent	EFL1	LOC106558624	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	1.1836140648431275	0.9446666666666667	1.1911725438078244	0.8903333333333333	0.06035611581878233	1.0	22.64588809053598	3.1152421737800933	178800	1218670	852591	3932	0.2754	0.0193	0.843	0.5638	0.772	0.4947	65.7
NC_051807.1	60928139	60979861	51722	convergent	LOC119871320	HMX1	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	1.2324750791248054	0.96	1.2310517077763876	0.8973333333333333	0.0636577256617468	10.0	17.294789262978725	4.163380428134758	46000	614422	652918	9581	0.2353	0.0099	0.8492	0.5471	0.3328	0.3949	15.0
NC_051807.1	67665045	67732484	67439	convergent	LOC111095269	LOC111095270	True	True	False	False	False	False	False	True	False	False	False		False		False	False	False	0.9830160576448606	0.7983333333333333	1.004439312795798	0.825	0.05004238339292764	2.0	2.355427204937038	0.3003948364226136	26236	6576141	2858148	29449	0.4676	0.017	0.8844	0.6079	0.2325	0.4419	43.6
NC_051807.1	72901974	72956918	54944	convergent	RBM47	CHRNA9	True	False	True	True	False	False	True	True	False	True	False		False		True	False	False	1.077976808871859	0.8966666666666666	1.029795533879598	0.8393333333333334	0.05602488640248862	57.0	5.2362850705033965	0.5694141295939178	245554	1345459	27472	31393	0.3421	0.0005	0.8725	0.6062	0.8637	0.537	78.7
NC_051807.1	73210443	73261055	50612	convergent	LOC119871251	TRNAK-CUU-6	True	False	False	False	False	False	True	True	False	False	False		False		False	False	False	0.9074317523195099	0.6753333333333333	0.8856660192171733	0.727	0.04593885428558731	5.0	6.3482379952923145	0.6062696535047787	35749	1039156	192116	0	0.5671	0.0133	0.8695	0.6055	0.2784	0.4668	52.5
NC_051807.1	74470819	74522415	51596	convergent	LOC106558641	LOC111095389	True	False	True	False	False	True	True	True	False	True	False		False		True	False	False	1.0886281443189938	0.9006666666666666	1.0858760620276136	0.864	0.05662989816545245	42.0	5.258209540655805	0.49093534528390304	96617	221690	53300	27502	0.3319	0.0018	0.8725	0.6072	0.5502	0.4727	55.1
NC_051807.1	76113264	76180116	66852	convergent	LOC111095297	LOC102153709	True	False	False	False	False	False	False	True	False	False	False		False		False	False	False	0.9174345849876988	0.689	0.9284148159583409	0.7603333333333333	0.04823183055470996	1.0	2.9230235757015466	0.3695637307475484	53310	1871763	1703373	1875	0.5127	0.0193	0.8812	0.6078	0.3666	0.4775	57.0
NC_051807.1	76613649	76664485	50836	convergent	ARAP2	LOC100688576	True	True	False	False	False	False	False	True	False	False	False		False		False	False	False	0.9283955753620294	0.707	0.9450847132802009	0.7766666666666666	0.048747128827746664	1.0	3.0400885371065405	0.3060579590122063	14067	2364140	2195750	45500	0.4991	0.0193	0.8807	0.6079	0.1696	0.4353	40.3
NC_051807.1	77813684	77865855	52171	convergent	LOC111095391	LOC111095392	False	False	False	False	False	False	False	False	False	False	False	38.77	False	6.1870400000000005	False	False	False	0.891147664302045	0.6606666666666666	0.8616723373095194	0.7126666666666667	0.04652607525892331	1.0	1.670917203019068	0.2294506935723005	214769	3564842	3396452	329130	0.5526	0.0193	0.8897	0.608	0.8283	0.5796	93.1
NC_051807.1	81859047	81912809	53762	convergent	LOC119872911	LOC119871343	True	False	False	False	False	False	False	True	False	False	False		False		False	False	False	0.9133665572023668	0.683	0.9448633133331934	0.7756666666666666	0.048696972147963834	0.0	2.6521818917185405	0.2527344989789137	385928	7611001	3966029	44557	0.5	0.0287	0.8827	0.608	0.9476	0.5934	96.3
NC_051807.1	85288823	85342443	53620	convergent	LOC111095403	LOC100686918	True	False	False	False	False	False	False	True	False	False	False		False		False	False	False	1.136845786096029	0.9286666666666666	1.065978914340337	0.858	0.05986852762018968	38.0	6.735849310253068	0.8586294400618393	159367	4713437	536324	33294	0.2818	0.0023	0.8685	0.5997	0.734	0.4972	66.2
NC_051808.1	1943254	2003893	60639	convergent	LOC102151881	LOC111095689	True	False	False	False	False	False	False	True	False	False	False		False		False	False	False	0.9464291037873721	0.741	0.9108350653648376	0.7446666666666667	0.0506243390451075	1.0	2.09437925052961	0.2492187948000918	476427	6753568	1548021	34553	0.4545	0.0193	0.8862	0.608	0.97	0.5876	94.8
NC_051808.1	4984288	5034699	50411	convergent	LOC111095431	LOC111095433	True	False	False	False	False	False	True	True	False	False	False		False		True	False	False	1.2174680088704812	0.9566666666666667	1.181224018828074	0.8893333333333333	0.06311228764744671	28.0	8.890361328309824	1.3333018419059595	134493	3717648	235220	16052	0.2419	0.004	0.8636	0.5887	0.6731	0.4743	55.5
