chrom	start	end	length	orientation	left_gene	right_gene	hard_veto	veto_tad_boundary	veto_atac_peak	veto_risk_gene	veto_low_mappability	veto_mirna_nearby	veto_risk_gene_radius	veto_gene_dense_neighborhood	veto_lncrna_smallrna	veto_tad_risk_gene	veto_high_repeat_content	pct_repeat	veto_ultraconserved_element	max_50bp_rolling_phyloP	veto_external_regulatory_element	veto_low_atac_accessibility	no_rrbs_coverage	atac_mean	atac_mean_percentile	atac_mean_narrow	atac_mean_narrow_percentile	atac_variability	atac_peak_frequency	rrbs_mean	rrbs_variability	tad_boundary_distance	mirna_distance	risk_gene_radius_distance	gene_5prime_clearance	gene_dense_clearance_old_bodydist	score_stability_atac	score_low_peak_frequency	score_low_methylation	score_stability_rrbs	score_tad_distance	final_score	final_score_percentile
NC_051805.1	48451052	48513492	62440	convergent	LOC111095873	RSPH3	True	False	False	False	False	False	True	True	False	True	False		False		True	False	False	1.1188058083777928	0.772	1.0410192410841583	0.6403333333333333	0.05876710642610687	27.0	8.052642870071528	16.63738420365871	42728	733093	84534	20864	12483	0.2257	0.219	0.2747	0.4173	0.3132	0.29	11.9
NC_051805.1	54446758	54504939	58181	convergent	LOC119869870	PRR18	True	True	True	False	False	False	True	True	False	True	False		False		True	False	False	1.233036049310045	0.8813333333333333	1.5134219624504448	0.9586666666666667	0.06493227496012698	43.0	18.506951485063983	17.540817072343778	25848	5260460	116958	669	3885	0.115	0.1383	0.0813	0.332	0.2274	0.1788	1.1
NC_051805.1	55288363	55358132	69769	convergent	LOC102153253	LOC111090695	True	True	False	False	False	False	True	True	False	True	False		False		True	False	False	1.1078271191953173	0.7543333333333333	1.1578466733932495	0.81	0.05676123567218814	2.0	18.15972535969592	17.702007427403593	23247	6107859	256635	12490	12490	0.2753	0.4627	0.083	0.3187	0.217	0.2713	8.7
NC_051805.1	55810634	55864353	53719	convergent	LOC119870159	LOC111090696	True	False	False	False	False	False	True	True	False	True	False		False		True	False	False	1.1725609673173232	0.8333333333333334	1.15431078055501	0.8066666666666666	0.060339790574289204	1.0	23.29652586231641	17.417166964402274	37493	6622105	72862	1595	1595	0.189	0.5053	0.053	0.3413	0.2886	0.2754	9.3
NC_051805.1	60400908	60462010	61102	convergent	LOC119869937	LOC111089986	True	False	False	False	False	False	False	False	False	False	False	38.17	False	5.4602200000000005	False	True	False	0.9014754359578095	0.10866666666666666	0.9314316511526703	0.23066666666666666	0.04791870934521868	1.0	3.4845800260245587	17.10731092840433	343541	11216071	698716	329898	70594	0.943	0.5053	0.6797	0.3717	0.9313	0.6862	93.1
NC_051805.1	65127836	65201393	73557	convergent	TRMT11	LOC100682630	True	False	False	False	False	False	False	False	False	True	False		False		True	False	False	1.0535969476516487	0.658	1.0157697320111096	0.5793333333333334	0.05545214256029358	11.0	12.481358750216511	13.651432768718616	39614	6817352	884788	55951	4557	0.3183	0.3303	0.1513	0.6993	0.2984	0.3596	28.9
NC_051805.1	68528776	68579924	51148	convergent	LOC111090714	TMEM244	True	False	False	False	False	False	False	True	False	False	False		False		True	True	False	1.0063366854090374	0.5273333333333333	0.9750699210911989	0.43433333333333335	0.05230873215785089	1.0	18.733429082761745	13.561201597662533	29350	3427616	1197047	16225	46339	0.4807	0.5053	0.0787	0.706	0.2478	0.4037	43.0
NC_051805.1	71035668	71094862	59194	convergent	LOC111096339	ERCC6L2	True	False	False	False	False	False	False	False	False	False	False		False		True	False	False	1.1254974131832358	0.7803333333333333	1.1691268627792597	0.8226666666666667	0.05771910486004093	3.0	10.713479112852996	16.46639594968581	140265	916701	477694	121269	35792	0.247	0.4403	0.185	0.4377	0.6889	0.3998	41.9
NC_051805.1	75730614	75782632	52018	convergent	LOC100684008	RMI1	True	True	False	False	False	True	True	True	False	True	False		False		False	True	False	0.9362977120335381	0.24866666666666667	0.9638355813719333	0.3873333333333333	0.05062792231821131	1.0	3.8769010643337722	14.073790724460896	6623	54435	44011	18002	2984	0.635	0.5053	0.6217	0.6647	0.1247	0.5103	66.2
NC_051805.1	76492055	76558248	66193	convergent	FRMD3	LOC111096570	True	False	False	False	False	False	False	True	False	False	False		False		False	True	False	0.9608979339885003	0.36633333333333334	0.9423659930177033	0.28633333333333333	0.05055685151478188	0.0	3.3058743091251475	18.966725836408898	224849	714070	712332	7637	7637	0.6437	0.885	0.7093	0.2173	0.8409	0.6592	90.0
NC_051805.1	78699957	78766843	66886	convergent	LOC100685388	LOC476315	True	False	False	False	False	False	False	True	False	False	False		False		False	True	False	0.9061067066138748	0.11833333333333333	0.8536133668012917	0.062	0.04862595702757357	1.0	3.180635073458511	15.613710545204782	266600	2922319	756588	31879	2947	0.8957	0.5053	0.7343	0.5173	0.8832	0.7072	94.6
NC_051805.1	84616059	84680359	64300	convergent	LOC119869841	LOC100686852	True	False	False	False	False	False	False	False	False	False	False		False		False	True	False	0.9359358067256667	0.24766666666666667	0.9246721343189478	0.19766666666666666	0.04979866169127902	1.0	1.6962647860750997	27.062154657700482	501791	2623158	546039	499534	17725	0.7473	0.5053	0.966	0.005	0.9739	0.6395	88.3
NC_051805.1	85740590	85790734	50144	convergent	LOC119869527	LOC102153097	True	False	False	False	False	False	False	False	False	False	False	28.76	False	4.517519999999999	True	False	False	1.1453715373227644	0.7976666666666666	1.1460311657220126	0.7986666666666666	0.06283011997144176	25.0	1.487282076381009	10.623716433842977	90662	1505705	320906	78303	67378	0.1433	0.2273	0.9777	0.908	0.5275	0.5568	74.6
NC_051805.1	86132349	86196873	64524	convergent	LOC102153343	C1H9orf85	True	True	False	False	False	False	False	False	False	False	False		False		True	False	False	1.0186103602928918	0.5613333333333334	1.0129298108063638	0.5716666666666667	0.05271248554341778	15.0	5.4051364867111245	16.96176848321591	0	1106756	719855	60116	60471	0.4503	0.294	0.434	0.3893	0.0901	0.3316	20.6
NC_051805.1	87683331	87744102	60771	convergent	KLF9	SMC5	True	False	True	True	False	False	True	True	False	True	False		False		True	False	False	1.0433526827011002	0.6313333333333333	1.0122798903644086	0.5686666666666667	0.054093999557712776	40.0	5.38183101906489	14.991497535365658	136284	442327	30385	22488	23373	0.3767	0.154	0.4353	0.5773	0.6786	0.4444	51.8
NC_051805.1	91186888	91251253	64365	convergent	LOC119869582	LOC111096818	True	False	False	False	False	False	True	True	False	True	False		False		True	False	False	1.0296915458630898	0.5933333333333334	1.0210045913234354	0.5933333333333334	0.053250571582620275	3.0	7.263347983110259	16.608182894217002	205930	2530495	37266	5083	5083	0.4227	0.4403	0.3113	0.4227	0.8158	0.4826	61.0
NC_051805.1	97204375	97272513	68138	convergent	LOC102156616	LOC111090790	True	False	False	False	False	False	False	False	False	False	False		False		True	False	False	1.214940113888897	0.869	1.2130820134952665	0.8553333333333333	0.0639925735473322	2.0	27.548462574292106	15.602949431674046	111556	1280871	302059	75719	24923	0.1277	0.4627	0.036	0.5177	0.6034	0.3495	26.5
NC_051805.1	102569417	102626167	56750	convergent	LOC119870888	LOC119871020	True	False	False	False	False	False	True	True	False	False	False		False		False	True	False	0.8721620580283556	0.06566666666666666	0.7434149929918349	0.03966666666666667	0.04865422862531329	1.0	6.104648064096594	21.403757284558008	97792	1463935	129894	138	41312	0.892	0.5053	0.374	0.0817	0.554	0.4814	60.5
NC_051805.1	118762948	118834530	71582	convergent	LOC100685960	LOC111098307	True	True	False	False	False	False	False	False	False	False	False		False		False	True	False	0.9831867696219493	0.451	0.9641859852790833	0.3883333333333333	0.05139777413549834	6.0	5.148357352614653	15.507656483814634	0	4248827	647951	50051	3974	0.5563	0.388	0.456	0.5287	0.0901	0.4038	43.2
NC_051805.1	120003827	120058858	55031	convergent	LOC102152107	DPY19L3	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	1.0730155301203232	0.6983333333333334	1.0728837647795677	0.7006666666666667	0.05501071764859962	2.0	23.364789803369373	15.204920069784182	31342	3016224	582029	16890	15969	0.3377	0.4627	0.0523	0.5567	0.258	0.3335	21.3
NC_051806.1	2276949	2331192	54243	convergent	CUL2	LOC111094492	True	True	False	False	False	False	False	False	False	False	False		False		True	True	False	1.023756157085919	0.5746666666666667	0.9908685084953904	0.49	0.052945255072148326	9.0	6.223889957989743	15.104104224255812	4070	40699965	1406095	92822	22196	0.441	0.3503	0.366	0.5657	0.1131	0.3672	32.1
NC_051806.1	5490645	5562196	71551	convergent	LOC119870094	GAD2	True	True	False	False	False	False	True	True	False	False	False		False		False	True	False	0.9619353855068656	0.36933333333333335	0.894000703305006	0.09433333333333334	0.05165762673558479	12.0	5.265203564040834	14.607028278811224	0	37477615	277071	43261	43261	0.533	0.3233	0.446	0.611	0.0901	0.4007	42.1
NC_051806.1	9925163	9998285	73122	convergent	LOC119869979	LOC106560013	True	True	False	False	False	False	False	True	False	False	False		False		True	True	False	0.41126728890832204	0.011	0.3948329461827874	0.02	0.03632579540677788	0.0	3.916353052663632	12.368468523025513	13276	33042311	933384	526	38794	0.9923	0.885	0.615	0.8053	0.1644	0.6924	93.9
NC_051806.1	13354030	13405141	51111	convergent	LOC111091364	LOC106560015	True	False	False	False	False	False	True	True	False	False	False		False		True	False	False	1.1760988272123767	0.836	1.0382986555583775	0.6346666666666667	0.05959634844245408	28.0	11.866093439758565	12.85710725370194	54585	29624450	156901	30296	2688	0.205	0.2137	0.164	0.7707	0.3713	0.3449	25.6
NC_051806.1	17055808	17110317	54509	convergent	PTCHD3	ANKRD26	True	False	False	False	False	False	False	True	False	False	False	32.01	False	1.74708	False	True	False	0.9534177956644931	0.3343333333333333	0.9830500986382366	0.464	0.05017742431229778	2.0	6.846130742143025	18.77389081842021	66938	25920973	2101216	25700	56866	0.6957	0.4627	0.332	0.231	0.4266	0.4296	48.2
NC_051806.1	23362298	23415104	52806	convergent	BEND7	LOC119869987	True	False	False	False	False	False	True	True	False	False	False		False		True	False	False	1.0827978266565266	0.714	1.0908492124155165	0.726	0.05459959959494965	1.0	19.8563444943192	14.607589021141793	36299	19615334	286259	35958	35958	0.355	0.5053	0.0707	0.611	0.2835	0.3651	31.0
NC_051806.1	25264511	25315271	50760	convergent	USP6NL	LOC119869990	True	True	False	False	False	False	True	False	False	False	False		False		True	False	False	1.1780023237292554	0.8366666666666667	1.221487680861354	0.8626666666666667	0.05970784263337536	30.0	25.632949931274915	13.830881854609006	0	17714144	84179	168959	30775	0.203	0.205	0.0427	0.6867	0.0901	0.2455	4.3
NC_051806.1	29613097	29682625	69528	convergent	LOC111091644	LOC111091655	True	False	False	False	False	False	False	True	False	False	False		False		False	True	False	0.996547712626506	0.493	1.0212591368228197	0.594	0.050759229612255666	3.0	3.681788982641106	14.825824342043278	97861	13356174	561955	16953	6493	0.6213	0.4403	0.6507	0.5907	0.554	0.5714	77.0
NC_051806.1	31421264	31473494	52230	convergent	LOC111091701	LOC119870074	True	False	False	False	False	False	False	False	False	True	False		False		True	True	False	0.9825840053146606	0.44666666666666666	0.9556124680951238	0.343	0.051383139660769885	7.0	7.684527217668522	14.340129361223818	322379	11556656	375809	326835	28409	0.5573	0.3723	0.2907	0.636	0.9209	0.5554	74.4
NC_051806.1	37763146	37815322	52176	convergent	LOC102153902	LOC111094200	True	False	False	False	False	False	True	False	False	True	False		False		True	False	False	1.0700082344973185	0.6946666666666667	1.0649450518667698	0.686	0.05301637905053288	1.0	5.368393411083625	17.108464748425714	135766	5214801	119627	52283	52283	0.4363	0.5053	0.4367	0.3717	0.6759	0.4852	61.8
NC_051806.1	38503041	38573083	70042	convergent	ARHGAP26	NR3C1	True	True	False	True	False	False	True	False	False	True	False		False		True	True	False	0.9640688439983517	0.379	0.960158547911793	0.36766666666666664	0.05133069653108902	1.0	9.03604275760698	13.738048814591908	11938	4465973	35021	119380	132269	0.5633	0.5053	0.2337	0.6937	0.1534	0.4299	48.4
NC_051806.1	39071176	39129828	58652	convergent	LOC119879638	LOC111092064	True	True	False	False	False	False	False	False	False	False	False		False		False	False	False	1.040482821891279	0.624	1.0533601249590516	0.6643333333333333	0.0527238645988129	19.0	4.665121028605908	19.925446718931198	0	3903533	408039	230904	14974	0.4497	0.2673	0.5187	0.1517	0.0901	0.2955	12.6
NC_051806.1	39159547	39230847	71300	convergent	LOC111094604	LOC119870003	True	False	False	False	False	False	False	False	False	False	False		False		True	True	False	1.0070826326889544	0.529	0.9856754691258073	0.4706666666666667	0.05121468052394997	1.0	3.3999763665326346	15.003198658978498	70197	3808838	502734	129885	14836	0.5753	0.5053	0.6937	0.5767	0.4441	0.559	75.3
NC_051806.1	55898984	55971473	72489	convergent	PTCD2	ZNF366	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	1.0824164739286781	0.7133333333333334	1.030764341020584	0.6166666666666667	0.055377446966927396	1.0	15.286318270336453	15.525579596092689	139772	2006509	594728	31014	31063	0.3213	0.5053	0.111	0.5257	0.6865	0.43	48.6
NC_051806.1	61050066	61110203	60137	convergent	LOC119870018	LOC102154386	True	True	False	False	False	False	True	True	False	False	False		False		False	False	False	1.0962407594955184	0.7366666666666667	1.116538592582941	0.762	0.05525133776105658	1.0	13.917677463987136	16.63855242577328	5134	1086768	38918	8850	8850	0.3273	0.5053	0.128	0.417	0.1189	0.2993	13.2
NC_051806.1	62723085	62783656	60571	convergent	RPGRIP1L	LOC119870323	True	True	False	False	False	False	True	True	False	False	False		False		True	False	False	1.0613006528730358	0.675	1.1032954145371914	0.7453333333333333	0.05460447247211191	1.0	16.457086151763416	15.86796607393207	0	2760004	52350	11086	11086	0.3547	0.5053	0.0997	0.4953	0.0901	0.309	15.0
NC_051806.1	63630965	63704659	73694	convergent	TOX3	LOC100687235	True	True	False	False	False	False	False	False	False	False	False		False		True	False	False	1.017607696692473	0.5596666666666666	1.0223005322039127	0.5976666666666667	0.05173494563512409	1.0	5.828398208422496	17.909789436393314	7188	3674446	810677	106570	44696	0.5233	0.5053	0.396	0.3	0.1304	0.371	32.8
NC_051806.1	77425724	77486897	61173	convergent	LOC102153519	LOC119870436	True	True	False	False	False	False	True	True	False	False	False		False		False	False	False	1.175757753017509	0.836	1.1623325567245484	0.815	0.05912945157464841	1.0	19.825816212551953	18.66002304515531	6310	847142	158053	26227	4814	0.2143	0.5053	0.0707	0.2387	0.1247	0.2307	3.0
NC_051806.1	80612441	80666392	53951	convergent	LOC119870059	KLHDC7A	True	True	False	False	False	False	False	True	False	False	False		False		True	False	False	1.153686910887025	0.8076666666666666	1.0799781971901654	0.7126666666666667	0.05769738475384081	1.0	19.132483604736464	17.2828676218828	0	4030248	871943	7373	13440	0.2477	0.5053	0.0767	0.3523	0.0901	0.2544	5.6
NC_051806.1	84152591	84202660	50069	convergent	LOC119870024	PDPN	True	False	False	False	False	False	True	True	False	True	False		False		True	False	False	1.110840911718833	0.7593333333333333	1.118836674578488	0.7653333333333333	0.057467262614655255	8.0	21.13883381158077	14.543152867688352	47375	959073	26810	1776	1776	0.2553	0.3613	0.0633	0.615	0.3378	0.3266	19.7
NC_051806.1	84303869	84363723	59854	convergent	LRRC38	C2H1orf158	True	False	False	False	False	False	True	True	False	False	False		False		True	False	False	1.1586988710506076	0.8146666666666667	1.12317390088439	0.771	0.05890034749303129	4.0	33.63236692309993	15.596482058573617	66204	802902	182981	13084	20937	0.2207	0.42	0.022	0.519	0.4265	0.3216	19.1
NC_051807.1	9691905	9747134	55229	convergent	ST8SIA4	LOC106558558	True	False	False	False	False	False	False	False	False	False	False		False		True	True	False	0.9929618364987056	0.482	1.0423700315132738	0.6413333333333333	0.05389943734100855	37.0	2.675331695017338	10.505478005660208	169519	10186984	1457004	93100	1328	0.386	0.1673	0.831	0.9133	0.7547	0.6105	83.1
NC_051807.1	10779807	10837318	57511	convergent	LOC100685686	LOC119871165	True	False	False	False	False	False	False	False	False	False	False	38.03	False	4.32784	False	True	False	0.9317193059915793	0.22666666666666666	0.9419744451984763	0.2836666666666667	0.049374424007107405	1.0	3.321582916037428	19.011245020504656	216438	9097941	367961	339205	59955	0.8063	0.5053	0.7083	0.2137	0.8308	0.6129	83.5
NC_051807.1	21623166	21678171	55005	convergent	LOC119871170	LOC111095350	True	False	False	False	False	False	False	True	False	False	False		False		True	True	False	0.9135366178116423	0.143	0.9408988293483853	0.2776666666666667	0.04854877970098941	0.0	3.0996254875100577	15.181107536606167	200668	1744142	565092	9181	9181	0.903	0.885	0.75	0.559	0.8086	0.7811	98.7
NC_051807.1	22304729	22367018	62289	convergent	LOC111095151	LOC119871362	True	False	False	False	False	False	False	False	False	False	False	32.58	False	4.00506	False	True	False	0.904076081729375	0.11333333333333333	0.8822270643398166	0.079	0.04759483672363512	1.0	1.6423998444138035	12.81789126762977	139127	2429347	1250297	690744	105411	0.9537	0.5053	0.9703	0.772	0.6865	0.7776	98.5
NC_051807.1	25390804	25445201	54397	convergent	LOC119871164	LOC111095157	True	False	True	False	False	False	True	True	False	True	False		False		True	True	False	1.062318049505059	0.677	0.9345898170441389	0.249	0.05716204905212685	39.0	3.9153435400691077	14.232232752405567	268002	5511476	112640	40503	40503	0.263	0.1593	0.6153	0.6483	0.8848	0.5142	66.8
NC_051807.1	31153307	31211185	57878	convergent	GCNT4	MIR8901	True	False	False	False	False	True	True	True	False	False	False		False		True	True	False	0.6458655027170284	0.021333333333333333	0.10588498089462518	0.007	0.05065067031874208	25.0	7.508229737687306	15.59386080801487	207246	28959	261615	17812	16870	0.6313	0.2273	0.2977	0.5193	0.8186	0.4989	63.6
NC_051807.1	32087727	32156058	68331	convergent	TUBGCP5	LOC100688323	True	False	False	False	False	False	False	True	False	False	False		False		True	True	False	0.9723223551172931	0.4103333333333333	1.008553645272553	0.553	0.05330189829089575	18.0	8.310521523778828	12.969255555712659	96892	904072	1201261	6828	6828	0.42	0.2737	0.2617	0.7583	0.5502	0.4528	53.6
NC_051807.1	34846149	34921008	74859	convergent	LOC119871185	LOC106558580	True	False	False	False	False	False	False	False	False	False	False		False		False	True	False	0.9759013175615608	0.4216666666666667	1.0262016402006149	0.6073333333333333	0.05093130173861194	30.0	2.3078859923628263	19.513417308833322	141422	1857590	1919698	278110	449	0.6047	0.205	0.8947	0.1813	0.6915	0.5154	67.0
NC_051807.1	35803900	35876584	72684	convergent	UBE3A	LOC100685501	True	True	False	False	False	False	False	False	False	False	False		False		False	True	False	0.9307596483499765	0.22266666666666668	0.9382420937046408	0.265	0.049469492621123455	1.0	3.235469256228864	15.056945651769638	0	2416216	963034	95766	29968	0.793	0.5053	0.7213	0.5697	0.0901	0.5359	69.6
NC_051807.1	44207725	44265967	58242	convergent	LOC119870785	LOC111095367	True	False	False	False	False	False	False	False	False	False	False	27.34	True	7.80566	False	True	False	0.975126646882277	0.4176666666666667	0.9874016104906798	0.4766666666666667	0.05066384107243135	1.0	2.214627645651123	19.636253055773285	111846	5980366	311387	295840	102576	0.6303	0.5053	0.91	0.1713	0.6034	0.5641	75.7
NC_051807.1	50781019	50831091	50072	convergent	AGBL1	LOC102152355	True	False	False	False	False	False	False	False	False	True	False		False		False	True	False	0.947022159021859	0.30266666666666664	0.9631876698806882	0.38466666666666666	0.049410726033896776	1.0	2.785448891645347	15.339385621687946	281055	1416138	742330	582954	122480	0.802	0.5053	0.8063	0.5463	0.8949	0.711	95.7
NC_051807.1	56269278	56323122	53844	convergent	EFL1	LOC106558624	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	1.1952182675442882	0.853	1.1945983006991445	0.8416666666666667	0.06125417241484747	1.0	22.63375661249333	14.525573679741393	178800	1218670	852591	16826	3932	0.169	0.5053	0.056	0.6163	0.772	0.4237	47.1
NC_051807.1	60928139	60979861	51722	convergent	LOC119871320	HMX1	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	1.2509128539154781	0.8973333333333333	1.2348884246870875	0.873	0.06452106187407244	10.0	17.409879865956498	16.103408784588613	46000	614422	652918	3652	9581	0.1203	0.3413	0.0897	0.4697	0.3328	0.2708	8.5
NC_051807.1	67665045	67732484	67439	convergent	LOC111095269	LOC111095270	True	True	False	False	False	False	False	False	False	False	False		False		False	True	False	0.9816852566538375	0.44266666666666665	1.0068309419184924	0.5476666666666666	0.050813631412420096	1.0	2.3781634520398325	19.18783361261541	26236	6576141	2858148	459160	29449	0.6157	0.5053	0.8843	0.1987	0.2325	0.4873	62.5
NC_051807.1	72901974	72956918	54944	convergent	RBM47	CHRNA9	True	False	True	True	False	False	True	True	False	True	False		False		True	False	False	1.095219035708575	0.7356666666666667	1.014130714061111	0.5756666666666667	0.057883086950241136	57.0	4.715894700728257	14.10207245349884	245554	1345459	27472	13405	31393	0.243	0.0693	0.5143	0.6617	0.8637	0.4704	57.9
NC_051807.1	73210443	73261055	50612	convergent	LOC119871251	TRNAK-CUU-6	True	False	False	False	False	False	True	True	False	False	False		False		False	True	False	0.8993447846868835	0.10533333333333333	0.9356531505852937	0.25433333333333336	0.04927574200959318	5.0	6.392682924257817	13.314209972109113	35749	1039156	192116	3060	0	0.8197	0.4037	0.356	0.7297	0.2784	0.5175	67.7
NC_051807.1	74470819	74522415	51596	convergent	LOC106558641	LOC111095389	True	False	True	False	False	True	True	True	False	True	False		False		True	False	False	1.1038923692089595	0.7493333333333333	1.0867540584295987	0.723	0.057281263348364087	42.0	5.049493939610948	12.542776691286187	96617	221690	53300	27502	27502	0.261	0.143	0.467	0.7923	0.5502	0.4427	51.6
NC_051807.1	76113264	76180116	66852	convergent	LOC111095297	LOC102153709	True	False	False	False	False	False	False	False	False	False	False		False		False	True	False	0.9128024632811426	0.14033333333333334	0.9244809800088406	0.19666666666666666	0.04813325625524007	1.0	2.7321367755096277	16.654701693852743	53310	1871763	1703373	219952	1875	0.9307	0.5053	0.8177	0.4163	0.3666	0.6073	81.3
NC_051807.1	76613649	76664485	50836	convergent	ARAP2	LOC100688576	True	True	False	False	False	False	False	True	False	False	False		False		False	True	False	0.9216051736985946	0.17566666666666667	0.9476801806107163	0.30966666666666665	0.04974705433087797	1.0	3.0642725442281087	13.342273950576782	14067	2364140	2195750	45500	45500	0.7517	0.5053	0.755	0.725	0.1696	0.5813	77.9
NC_051807.1	77813684	77865855	52171	convergent	LOC111095391	LOC111095392	True	False	False	False	False	False	False	False	False	False	False	38.77	False	6.1870400000000005	False	True	False	0.8915577583301015	0.08933333333333333	0.8558027942731976	0.063	0.047210911632840594	1.0	1.5747682392598341	19.179609727859496	214769	3564842	3396452	1103699	329130	0.964	0.5053	0.974	0.2	0.8283	0.6943	94.1
NC_051807.1	81859047	81912809	53762	convergent	LOC119872911	LOC119871343	True	False	False	False	False	False	False	False	False	False	False		False		False	True	False	0.9117970998243364	0.136	0.9363276245847344	0.257	0.04936014982588172	0.0	3.0157605362037816	12.169623250546662	385928	7611001	3966029	216448	44557	0.8097	0.885	0.762	0.818	0.9476	0.8445	99.3
NC_051807.1	85288823	85342443	53620	convergent	LOC111095403	LOC100686918	True	False	False	False	False	False	False	True	False	False	False		False		False	False	False	1.150702003188673	0.8036666666666666	1.0632604892477393	0.6826666666666666	0.060790068518418325	38.0	5.939765045634849	16.695810219757245	159367	4713437	536324	844	33294	0.1783	0.1623	0.388	0.4113	0.734	0.3748	34.7
NC_051808.1	1943254	2003893	60639	convergent	LOC102151881	LOC111095689	True	False	False	False	False	False	False	False	False	False	False		False		False	True	False	0.9429955381913158	0.2816666666666667	0.9004389636233449	0.10833333333333334	0.050762422046818245	1.0	2.498945666719103	16.577078819274902	476427	6753568	1548021	339521	34553	0.6207	0.5053	0.8663	0.4263	0.97	0.6777	92.0
