chrom	start	end	length	orientation	left_gene	right_gene	hard_veto	veto_tad_boundary	veto_atac_peak	veto_risk_gene	veto_low_mappability	veto_mirna_nearby	veto_risk_gene_radius	veto_gene_dense_neighborhood	veto_lncrna_smallrna	veto_tad_risk_gene	veto_high_repeat_content	pct_repeat	veto_ultraconserved_element	max_50bp_rolling_phyloP	veto_external_regulatory_element	veto_low_atac_accessibility	no_rrbs_coverage	atac_mean	atac_mean_percentile	atac_variability	atac_peak_frequency	rrbs_mean	rrbs_variability	tad_boundary_distance	mirna_distance	risk_gene_radius_distance	gene_dense_clearance	score_stability_atac	score_low_peak_frequency	score_low_methylation	score_stability_rrbs	score_tad_distance	final_score	final_score_display
NC_051805.1	48451052	48513492	62440	convergent	LOC111095873	RSPH3	True	False	False	False	False	False	True	True	False	True	False		False		True	False	False	1.1821842045374669	0.785217218569502	0.06041948449263556	27.0	13.218801351912632	1.0124994498664828	42728	733093	84534	12483							
NC_051805.1	54446758	54504939	58181	convergent	LOC119869870	PRR18	True	True	True	False	False	False	True	True	False	True	False		False		True	False	False	1.2360162613032533	0.8380208546556924	0.06475693189057563	43.0	26.452877395261982	3.2075670314578724	25848	5260460	116958	3885							
NC_051805.1	55288363	55358132	69769	convergent	LOC102153253	LOC111090695	True	True	False	False	False	False	True	True	False	True	False		False		True	False	False	1.1048787203604513	0.68622095246062	0.055087149732411	2.0	25.303356306149496	3.087079186157836	23247	6107859	256635	12490							
NC_051805.1	55810634	55864353	53719	convergent	LOC119870159	LOC111090696	True	False	False	False	False	False	True	True	False	True	False		False		True	False	False	1.1581504009334194	0.757402517238288	0.058606503323258945	1.0	32.9351951213543	4.335472496789846	37493	6622105	72862	1595							
NC_051805.1	60400908	60462010	61102	convergent	LOC119869937	LOC111089986	True	False	False	False	False	False	False	False	False	False	False	38.17	False	5.4602200000000005	False	True	False	0.9106322468961396	0.35191882848116623	0.044044929464374556	1.0	5.340901835565487	0.4406021417051017	343541	11216071	698716	70594							
NC_051805.1	65127836	65201393	73557	convergent	TRMT11	LOC100682630	True	False	False	False	False	False	False	True	False	True	False		False		True	False	False	1.0504651811472077	0.6010528971124391	0.052774046125960886	11.0	19.87715167004114	1.3688389304174995	39614	6817352	884788	4557							
NC_051805.1	68528776	68579924	51148	convergent	LOC111090714	TMEM244	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	1.0256483577867144	0.5587636923117681	0.05101948739506649	1.0	26.259881156001946	2.1699366939405493	29350	3427616	1197047	46339							
NC_051805.1	71035668	71094862	59194	convergent	LOC111096339	ERCC6L2	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	1.1046774575401797	0.6859300200892803	0.055429812585983555	3.0	15.482077524135686	1.8873498517103515	140265	916701	477694	35792							
NC_051805.1	75730614	75782632	52018	convergent	LOC100684008	RMI1	True	True	False	False	False	True	True	True	False	True	False		False		False	True	False	0.9535916294745342	0.4293345629962248	0.04669476655193872	1.0	7.856985049702597	0.40212140511655675	6623	54435	44011	2984							
NC_051805.1	76492055	76558248	66193	convergent	FRMD3	LOC111096570	True	False	False	False	False	False	False	True	False	False	False		False		False	True	False	0.9700384652116515	0.4592359711024353	0.047969596392148026	0.0	6.038912255671218	0.6157090176265968	224849	714070	712332	7637							
NC_051805.1	78699957	78766843	66886	convergent	LOC100685388	LOC476315	True	False	False	False	False	False	False	True	False	False	False		False		False	True	False	0.9157039500602671	0.3609106549326482	0.045546067654946905	8.0	5.933631857654928	0.495366442120715	266600	2922319	756588	2947							
NC_051805.1	84616059	84680359	64300	convergent	LOC119869841	LOC100686852	True	False	False	False	False	False	False	True	False	False	False		False		False	True	False	0.9481353286240866	0.41931558141389297	0.04727623963198432	1.0	4.845463004414778	0.3477129842990824	501791	2623158	546039	17725							
NC_051805.1	85740590	85790734	50144	convergent	LOC119869527	LOC102153097	True	False	False	False	False	False	False	False	False	False	False	28.76	False	4.517519999999999	True	False	False	1.1255815578404702	0.7154897941335088	0.05867084974874349	25.0	5.22766136432845	0.14968424735291538	90662	1505705	320906	67378							
NC_051805.1	86132349	86196873	64524	convergent	LOC102153343	C1H9orf85	True	True	False	False	False	False	False	False	False	False	False		False		True	True	False	1.0136623129088809	0.5377808169355537	0.04992312771652069	15.0	10.34179496722425	0.686150056163376	0	1106756	719855	60471							
NC_051805.1	87683331	87744102	60771	convergent	KLF9	SMC5	True	False	True	True	False	False	True	True	False	True	False		False		True	False	False	1.0459810027982641	0.5935635241544638	0.050982011928233664	71.0	10.780233783676708	0.6578374626817871	136284	442327	30385	23373							
NC_051805.1	91186888	91251253	64365	convergent	LOC119869582	LOC111096818	True	False	False	False	False	False	True	True	False	True	False		False		True	False	False	1.0366360007730349	0.5777383176332105	0.05175306262231051	3.0	12.156772211435108	0.9723280022722873	205930	2530495	37266	5083							
NC_051805.1	97204375	97272513	68138	convergent	LOC102156616	LOC111090790	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	1.220760474074899	0.8243467515846103	0.06382992692901228	17.0	36.62922001039654	4.01372416739855	111556	1280871	302059	24923							
NC_051805.1	102569417	102626167	56750	convergent	LOC119870888	LOC119871020	True	False	False	False	False	False	True	True	False	False	False		False		False	True	False	0.8750925836591118	0.291211329726153	0.04074948006308201	1.0	9.225042521585035	1.1710635732856358	97792	1463935	129894	41312							
NC_051805.1	118762948	118834530	71582	convergent	LOC100685960	LOC111098307	True	True	False	False	False	False	False	True	False	False	False		False		False	True	False	0.999550827053155	0.5127014619057004	0.04887964840517533	6.0	10.837489624724011	0.6760723787138158	0	4248827	647951	3974							
NC_051805.1	120003827	120058858	55031	convergent	LOC102152107	DPY19L3	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	1.0727604189779951	0.6373685019423566	0.053283706651027954	2.0	31.344023664637458	3.0245393254702173	31342	3016224	582029	15969							
NC_051806.1	2276949	2331192	54243	convergent	CUL2	LOC111094492	True	True	False	False	False	False	False	True	False	False	False		False		True	True	False	1.012406865401889	0.5355709491724678	0.050246011346769245	9.0	11.733693657726937	0.8520148979933132	4070	40699965	1406095	22196							
NC_051806.1	5490645	5562196	71551	convergent	LOC119870094	GAD2	True	True	False	False	False	False	True	True	False	False	False		False		False	True	False	0.9803547482003756	0.4780591901820833	0.048628786560994314	12.0	9.30859470689086	0.5984065669772328	0	37477615	277071	43261							
NC_051806.1	9925163	9998285	73122	convergent	LOC119869979	LOC106560013	True	True	False	False	False	False	False	True	False	False	False		False		True	True	False	0.4182259650597677	0.03557640943477002	0.013088478537915813	0.0	7.065516792221078	0.46990865662699327	13276	33042311	933384	38794							
NC_051806.1	13354030	13405141	51111	convergent	LOC111091364	LOC106560015	True	False	False	False	False	False	True	True	False	False	False		False		True	False	False	1.2272627090360233	0.8302924817924764	0.06167148057183501	28.0	18.368922191317644	1.6465075981570525	54585	29624450	156901	2688							
NC_051806.1	17055808	17110317	54509	convergent	PTCHD3	ANKRD26	True	False	False	False	False	False	False	False	False	False	False	32.01	False	1.74708	False	True	False	0.9512504216347141	0.42509751418299224	0.046023382130284424	2.0	10.769881034028343	1.2778463715229356	66938	25920973	2101216	56866							
NC_051806.1	23362298	23415104	52806	convergent	BEND7	LOC119869987	True	False	False	False	False	False	True	True	False	False	False		False		True	False	False	1.0711728840150947	0.6348454331164022	0.05253349474802643	1.0	29.129815123729664	2.5655444012781845	36299	19615334	286259	35958							
NC_051806.1	25264511	25315271	50760	convergent	USP6NL	LOC119869990	True	True	False	False	False	False	True	True	False	False	False		False		True	False	False	1.1539714687588274	0.752295028558945	0.05793825292224439	30.0	34.375347289778944	3.3496604546911515	0	17714144	84179	30775							
NC_051806.1	29613097	29682625	69528	convergent	LOC111091644	LOC111091655	True	False	False	False	False	False	False	True	False	False	False		False		False	True	False	1.0156233721620145	0.541237522818238	0.04974410112514159	3.0	9.238473519631762	0.4116555952399398	97861	13356174	561955	6493							
NC_051806.1	31421264	31473494	52230	convergent	LOC111091701	LOC119870074	True	False	False	False	False	False	False	True	False	True	False		False		True	True	False	0.9881867459649764	0.49229058420790966	0.04900579558103769	7.0	13.282307652231673	0.9399720725945662	322379	11556656	375809	28409							
NC_051806.1	37763146	37815322	52176	convergent	LOC102153902	LOC111094200	True	False	False	False	False	False	True	False	False	True	False		False		True	False	False	1.0611579952113994	0.6186407305424179	0.05146095766422681	1.0	10.114498651728436	0.7370547258144203	135766	5214801	119627	52283							
NC_051806.1	38503041	38573083	70042	convergent	ARHGAP26	NR3C1	True	True	False	True	False	False	True	False	False	True	False		False		True	True	False	0.9608827619939391	0.4426137748910646	0.046703784990143646	11.0	13.282660531577287	1.0283057865011898	11938	4465973	35021	132269							
NC_051806.1	39071176	39129828	58652	convergent	LOC119879638	LOC111092064	True	True	False	False	False	False	False	True	False	False	False		False		False	False	False	1.0359214865049442	0.5765146973624847	0.051209089683347246	19.0	8.92226295734588	0.837957465229727	0	3903533	408039	14974							
NC_051806.1	39159547	39230847	71300	convergent	LOC111094604	LOC119870003	True	False	False	False	False	False	False	True	False	False	False		False		True	True	False	1.002487491720912	0.5179585106636524	0.04894585114736989	1.0	6.721983783413032	0.2431911071445467	70197	3808838	502734	14836							
NC_051806.1	55898984	55971473	72489	convergent	PTCD2	ZNF366	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	1.06806607294353	0.629814440260793	0.053192308942139784	1.0	22.599434305760408	1.888533385328489	139772	2006509	594728	31063							
NC_051806.1	61050066	61110203	60137	convergent	LOC119870018	LOC102154386	True	True	False	False	False	False	True	True	False	False	False		False		False	False	False	1.1080597322227184	0.6908535182681237	0.05536493318543742	28.0	20.009384597500368	2.188821877817609	5134	1086768	38918	8850							
NC_051806.1	62723085	62783656	60571	convergent	RPGRIP1L	LOC119870323	True	True	False	False	False	False	True	True	False	False	False		False		True	False	False	1.064117316151685	0.6234507574823195	0.05345788737130896	1.0	23.52186021795173	2.5737327160184544	0	2760004	52350	11086							
NC_051806.1	63630965	63704659	73694	convergent	TOX3	LOC100687235	True	True	False	False	False	False	False	True	False	False	False		False		True	True	False	1.0108589569391113	0.5328318792538351	0.049786820415273256	1.0	10.605338141076016	0.9934735739643036	7188	3674446	810677	44696							
NC_051806.1	77425724	77486897	61173	convergent	LOC102153519	LOC119870436	True	True	False	False	False	False	True	True	False	False	False		False		False	False	False	1.1516186356137212	0.7493821168221816	0.057732529934932504	1.0	29.57815792221884	3.9743614905444726	6310	847142	158053	4814							
NC_051806.1	80612441	80666392	53951	convergent	LOC119870059	KLHDC7A	True	True	False	False	False	False	False	True	False	False	False		False		True	False	False	1.1450271915080066	0.741106320068477	0.056920375567821174	1.0	26.7605571789647	3.423068670896653	0	4030248	871943	13440							
NC_051806.1	84152591	84202660	50069	convergent	LOC119870024	PDPN	True	False	False	False	False	False	True	True	False	True	False		False		True	False	False	1.0899710167032637	0.6641037610464053	0.05438835429350598	8.0	27.208741722824367	3.0571462003063656	47375	959073	26810	1776							
NC_051806.1	84303869	84363723	59854	convergent	LRRC38	C2H1orf158	True	False	False	False	False	False	True	True	False	False	False		False		True	False	False	1.1427276535533213	0.7381699401556294	0.057018067563975997	4.0	41.39879884551625	4.926058766673488	66204	802902	182981	20937							
NC_051807.1	9691905	9747134	55229	convergent	ST8SIA4	LOC106558558	True	False	False	False	False	False	False	True	False	False	False		False		True	True	False	0.9940592456277081	0.502861339116031	0.0490902405261038	37.0	6.654337006127033	0.20490392035210322	169519	10186984	1457004	1328							
NC_051807.1	10779807	10837318	57511	convergent	LOC100685686	LOC119871165	True	False	False	False	False	False	False	False	False	False	False	38.03	False	4.32784	False	True	False	0.9523880289183698	0.4271555793528656	0.04672067443600931	1.0	6.7251473806090685	0.4302419573337714	216438	9097941	367961	59955							
NC_051807.1	21623166	21678171	55005	convergent	LOC119871170	LOC111095350	True	False	False	False	False	False	False	True	False	False	False		False		True	True	False	0.9484658900677816	0.41991324806180247	0.04642502607433044	0.0	6.049090728157113	0.3732461496442044	200668	1744142	565092	9181							
NC_051807.1	22304729	22367018	62289	convergent	LOC111095151	LOC119871362	True	False	False	False	False	False	False	False	False	False	False	32.58	False	4.00506	False	True	False	0.9265119076946398	0.3802236809229231	0.04474103384437719	1.0	3.724814514677668	0.13162193889086796	139127	2429347	1250297	105411							
NC_051807.1	25390804	25445201	54397	convergent	LOC119871164	LOC111095157	True	False	True	False	False	False	True	True	False	True	False		False		True	True	False	1.0136407615996874	0.5377434868901293	0.05079747323745783	39.0	6.790463369363119	0.8968138470687808	268002	5511476	112640	40503							
NC_051807.1	31153307	31211185	57878	convergent	GCNT4	MIR8901	True	False	False	False	False	True	True	True	False	False	False		False		True	True	False	0.6671949545718158	0.07289972731543935	0.031768674555063284	25.0	11.327910709649919	1.1168696079974942	207246	28959	261615	16870							
NC_051807.1	32087727	32156058	68331	convergent	TUBGCP5	LOC100688323	True	False	False	False	False	False	False	True	False	False	False		False		True	True	False	0.9655504753235444	0.45109549706718205	0.04766685859736266	18.0	13.002938653667064	1.1144800283458116	96892	904072	1201261	6828							
NC_051807.1	34846149	34921008	74859	convergent	LOC119871185	LOC106558580	True	False	False	False	False	False	False	True	False	False	False		False		False	True	False	0.9869471736688871	0.4899737119921806	0.048433084456825086	30.0	4.295545241156774	0.6111229469606306	141422	1857590	1919698	449							
NC_051807.1	35803900	35876584	72684	convergent	UBE3A	LOC100685501	True	True	False	False	False	False	False	True	False	False	False		False		False	True	False	0.9402346478896204	0.4049755036570459	0.04635447118855501	1.0	6.104863353942091	0.5168394326734458	0	2416216	963034	29968							
NC_051807.1	44207725	44265967	58242	convergent	LOC119870785	LOC111095367	True	False	False	False	False	False	False	False	False	False	False	27.34	True	7.80566	False	True	False	0.9835085537200481	0.4837669530844563	0.048424671410875676	1.0	5.043392255665144	0.2863463847369635	111846	5980366	311387	102576							
NC_051807.1	50781019	50831091	50072	convergent	AGBL1	LOC102152355	True	False	False	False	False	False	False	False	False	True	False		False		False	True	False	0.9630128390150227	0.44648429251506516	0.04700655362273631	1.0	4.398029731094421	0.26245898392668837	281055	1416138	742330	122480							
NC_051807.1	56269278	56323122	53844	convergent	EFL1	LOC106558624	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	1.1655410512611355	0.7662358448436479	0.0591625328784636	1.0	31.00616462915851	3.1152421737800933	178800	1218670	852591	3932							
NC_051807.1	60928139	60979861	51722	convergent	LOC119871320	HMX1	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	1.2123590625804586	0.8163947635093644	0.062390948175337586	10.0	25.14492494354118	4.163380428134758	46000	614422	652918	9581							
NC_051807.1	67665045	67732484	67439	convergent	LOC111095269	LOC111095270	True	True	False	False	False	False	False	True	False	False	False		False		False	True	False	0.9826163206963224	0.4821511639459141	0.04724680997179645	2.0	4.77521610225176	0.3003948364226136	26236	6576141	2858148	29449							
NC_051807.1	72901974	72956918	54944	convergent	RBM47	CHRNA9	True	False	True	True	False	False	True	True	False	True	False		False		True	False	False	1.0718827291591217	0.6359681819511681	0.05395885301586455	57.0	8.931062405550321	0.5694141295939178	245554	1345459	27472	31393							
NC_051807.1	73210443	73261055	50612	convergent	LOC119871251	TRNAK-CUU-6	True	False	False	False	False	False	True	True	False	False	False		False		False	True	False	0.905613168352927	0.34312174616998065	0.04315422180040102	5.0	9.685407502810529	0.6062696535047787	35749	1039156	192116	0							
NC_051807.1	74470819	74522415	51596	convergent	LOC106558641	LOC111095389	True	False	True	False	False	True	True	True	False	True	False		False		True	False	False	1.0829789319309358	0.6533939076510583	0.05418443495783291	42.0	9.987584683192779	0.49093534528390304	96617	221690	53300	27502							
NC_051807.1	76113264	76180116	66852	convergent	LOC111095297	LOC102153709	True	False	False	False	False	False	False	True	False	False	False		False		False	True	False	0.9252627011930256	0.377994913455364	0.045361820607857366	1.0	5.156040738079105	0.3695637307475484	53310	1871763	1703373	1875							
NC_051807.1	76613649	76664485	50836	convergent	ARAP2	LOC100688576	True	True	False	False	False	False	False	True	False	False	False		False		False	True	False	0.9396749281531805	0.40396345160129365	0.04557899190437093	1.0	5.912205970680839	0.3060579590122063	14067	2364140	2195750	45500							
NC_051807.1	77813684	77865855	52171	convergent	LOC111095391	LOC111095392	True	False	False	False	False	False	False	False	False	False	False	38.77	False	6.1870400000000005	False	True	False	0.903287959039559	0.33909568147489455	0.043841581708071224	1.0	3.7188581730072983	0.2294506935723005	214769	3564842	3396452	329130							
NC_051807.1	81859047	81912809	53762	convergent	LOC119872911	LOC119871343	True	False	False	False	False	False	False	True	False	False	False		False		False	True	False	0.9252648401131472	0.3779987413756409	0.04599497276744207	0.0	4.433914723604472	0.2527344989789137	385928	7611001	3966029	44557							
NC_051807.1	85288823	85342443	53620	convergent	LOC111095403	LOC100686918	True	False	False	False	False	False	False	True	False	False	False		False		False	False	False	1.1280990594405373	0.7188944528167887	0.05756379991063917	38.0	11.80044454449097	0.8586294400618393	159367	4713437	536324	33294							
NC_051808.1	1943254	2003893	60639	convergent	LOC102151881	LOC111095689	True	False	False	False	False	False	False	True	False	False	False		False		False	True	False	0.9566017343079534	0.4347885775484757	0.048154703373149955	1.0	3.814741459316574	0.2492187948000918	476427	6753568	1548021	34553							
NC_051808.1	4984288	5034699	50411	convergent	LOC111095431	LOC111095433	True	False	False	False	False	False	True	True	False	False	False		False		True	False	False	1.201292865314945	0.80543646035654	0.061465252370425966	28.0	15.929266797470474	1.3333018419059595	134493	3717648	235220	16052							
NC_051808.1	5485501	5546210	60709	convergent	LOC102155069	SLC35F3	True	True	False	False	False	False	False	True	False	False	False		False		False	True	False	0.9612335406568904	0.44325412232854583	0.04658496368438765	3.0	7.403605297683784	0.5843254498462551	0	3211286	741582	11030							
NC_051808.1	6820779	6870891	50112	convergent	LOC119871610	LOC111095435	True	False	False	False	False	False	False	True	False	False	False		False		True	True	False	0.9441244694978798	0.4119997790862358	0.0453645523780562	1.0	7.192792493730856	0.734939190782095	120835	1881306	1233130	1863							
NC_051808.1	12066504	12128157	61653	convergent	LOC111095700	SLC16A9	True	True	False	False	False	False	True	False	False	False	False		False		False	True	False	1.0015116883467334	0.5162125930962989	0.04975601416851288	9.0	6.967276645928486	0.5156810575673824	0	3347478	131631	69057							
NC_051808.1	13169783	13237184	67401	convergent	CDK1	RHOBTB1	True	True	False	True	False	False	True	True	False	True	False		False		True	False	False	1.1120683290438147	0.6966306530990013	0.05586039791353174	37.0	11.341206241163341	0.7588018395156764	3483	2241325	33700	12954							
NC_051808.1	14781335	14832377	51042	convergent	LOC111095463	LOC119871460	True	False	True	False	False	False	False	True	False	False	False		False		True	False	False	1.2830763120579498	0.8743930125748224	0.0691851858603975	51.0	7.5165940663925666	0.507173689315934	56856	637952	442444	15939							
NC_051808.1	17362530	17419663	57133	convergent	LOC100856460	LOC100686735	True	True	False	False	False	False	False	True	False	False	False		False		False	True	False	0.8762509428590078	0.2931063484388943	0.04212827490063841	1.0	7.111692619681624	0.5973306740839917	8904	1946263	2063595	3957							
NC_051808.1	28998408	29056566	58158	convergent	LOC102155105	LOC111095511	True	False	False	False	False	False	True	True	False	True	False		False		True	False	False	1.3636768637802485	0.9189835693041055	0.07278027025716718	19.0	40.150402365714704	4.944116300104015	172513	5376944	81259	42941							
NC_051808.1	36047237	36120971	73734	convergent	LOC100684047	LOC111095523	True	False	False	False	False	False	True	True	False	False	False		False		True	True	False	1.0033004342355853	0.519412171211505	0.048478706308988	23.0	8.296811621598769	0.9628235448872355	59104	1234607	125965	20551							
NC_051808.1	37518160	37569466	51306	convergent	THOC3	CPLX2	True	False	False	True	False	True	True	True	False	True	False		False		True	False	False	1.089752380682405	0.6637694281947606	0.054250427921709095	21.0	8.274663262694181	0.6693918185394051	131187	225082	25653	33818							
NC_051808.1	37795829	37851034	55205	convergent	LOC119871736	SFXN1	True	False	False	False	False	False	False	True	False	False	False		False		False	False	False	1.1223563277541095	0.7110326138286072	0.05652854797420693	24.0	18.55868719850443	1.4628520004112175	51569	504700	305271	3625							
NC_051808.1	42728958	42791035	62077	convergent	LOC119871511	LOC100687995	True	False	False	False	False	False	True	False	False	True	False		False		False	True	False	0.9478361467385652	0.418768386990015	0.04671019219510293	0.0	3.909098337517226	0.2658881351413899	59996	672371	168565	51435							
NC_051808.1	55513056	55565959	52903	convergent	LOC106558729	LOC119871746	True	True	False	False	False	False	True	True	False	True	False		False		True	False	False	1.2002593764580738	0.8043856284435963	0.06096883223384341	37.0	16.83913096038327	1.6118027748334973	10493	4219046	169920	2382							
NC_051808.1	56109927	56183571	73644	convergent	LOC111095578	GRIA1	True	True	False	False	False	False	False	True	False	False	False		False		True	False	False	1.0371303370771905	0.5785849346930203	0.051249815175275076	13.0	8.779179583293114	1.0492654638892576	0	3611804	777162	12106							
NC_051808.1	61210674	61263506	52832	convergent	CSPG4B	LOC119871643	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	1.1185741857094356	0.7057896668369066	0.0571399660916973	31.0	10.817713488079427	0.7463389784593155	87090	1219976	1427710	31768							
NC_051808.1	64067111	64119158	52047	convergent	LOC102157144	LOC100687852	True	False	False	False	False	False	False	True	False	False	False		False		False	True	False	0.9446612134786847	0.4129693068069236	0.047368368993393146	0.0	5.341879501218654	0.5664976101703947	368134	4076020	1326175	22185							
NC_051808.1	65949583	66022083	72500	convergent	LOC100687240	MRPS30	True	True	False	False	False	False	False	True	False	False	False		False		True	True	False	0.9986641508694353	0.511121709455323	0.049038728643422846	66.0	8.03369698845409	0.5395291787224701	0	5968719	1244226	9474							
NC_051808.1	76456036	76509373	53337	convergent	DROSHA	CDH6	True	True	False	False	False	True	False	True	False	False	False		False		False	False	False	1.0297871366957239	0.5659784980398597	0.05048462494489508	13.0	9.99905986821919	0.6234010764690736	0	132659	639037	11687							
NC_051808.1	77033647	77089414	55767	convergent	TMEM125	LOC102156164	True	False	False	False	False	False	False	True	False	False	False		False		False	True	False	0.9671401318635564	0.4539865156032341	0.04721167262888802	0.0	3.590128937827034	0.10035651248581957	561530	711485	1217863	2937							
NC_051808.1	81940968	82004288	63320	convergent	LOC100685641	LOC479379	True	False	False	False	False	False	False	False	False	False	False	34.07	False	4.810820000000001	False	True	False	0.9329322309487994	0.39176625821783817	0.04644811605121945	1.0	8.135159830573892	0.5880011967840432	52372	5622583	5024402	64427							
NC_051808.1	83742031	83797839	55808	convergent	CDH12	LOC111095663	True	False	False	False	False	False	False	True	False	False	False		False		False	True	False	0.9489429299036092	0.42079033202931976	0.04691395876571018	0.0	11.95171504039886	1.0483348562189132	244935	7419890	3227095	12344							
NC_051808.1	87580819	87638502	57683	convergent	ZNF622	LOC106558684	True	True	False	False	False	False	True	True	False	False	False		False		True	False	False	1.214988276066633	0.818907099556123	0.06302730380195092	6.0	48.81334480220076	4.912010975969497	0	11259615	45463	16622							
NC_051809.1	2620428	2685222	64794	convergent	OPCML	NTM	True	False	False	True	False	False	True	True	False	True	False		False		False	False	False	1.0598420591734403	0.6164900755951673	0.05143904022903035	1.0	13.535973555085974	1.4841730258876142	347175	1683777	32397	37204							
NC_051809.1	6345291	6400601	55310	convergent	LOC111096091	LOC119871991	True	False	False	False	False	False	True	True	False	False	False		False		False	True	False	0.9639908430338235	0.4482609273173377	0.04784257998726492	1.0	6.989654898561417	0.2273360777923646	47946	5403898	229522	5403							
NC_051809.1	14259045	14318214	59169	convergent	LOC119871999	LOC111095807	True	False	False	False	False	False	True	True	False	False	False		False		True	False	False	1.1964200178846616	0.8004431208856702	0.06164004449436862	7.0	23.885265055086006	2.635800519512449	36371	2076373	158811	17739							
NC_051809.1	18909987	18974471	64484	convergent	C5H11orf71	LOC119881489	True	True	False	False	False	False	True	True	False	False	False		False		True	True	False	0.8024781045584967	0.18477367004151207	0.03788441433504939	0.0	7.8935492486580525	0.6244796046726521	7771	2577202	105143	2303							
NC_051809.1	23237689	23310760	73071	convergent	LOC111095852	C5H11orf87	True	False	False	False	False	False	False	True	False	False	False		False		False	True	False	0.9497707655675933	0.42231932020725216	0.0461415791999275	1.0	5.0197473117996445	0.39567181742886276	75776	1689813	439216	3333							
NC_051809.1	27846016	27902436	56420	convergent	LOC100687870	LOC111095862	True	False	False	False	False	False	False	True	False	False	False		False		False	True	False	0.9524572001920022	0.42728092027375575	0.046123951179795585	1.0	5.491948527387513	0.5042968477411236	174226	3229833	1155416	8319							
