chrom	start	end	length	orientation	left_gene	left_strand	right_gene	right_strand
NC_051819.1	30913325	30967876	54551	convergent	LOC119869342	+	DUSP6	-
NC_051819.1	32255898	32317043	61145	convergent	LOC111090028	+	CCER1	-
NC_051819.1	35221213	35288244	67031	convergent	LOC119869290	+	TMCC3	-
NC_051819.1	50452875	50525877	73002	convergent	LOC119869387	+	LOC111098915	-
NC_051819.1	56330968	56393135	62167	convergent	LOC119867837	+	LOC119869360	-
NC_051820.1	1623305	1690052	66747	convergent	PDIA4	+	LOC119869648	-
NC_051820.1	12347409	12407429	60020	convergent	LUZP6	+	LOC102156014	-
NC_051820.1	22590144	22660334	70190	convergent	DYNC2I1	+	VIPR2	-
NC_051820.1	22976673	23048542	71869	convergent	LOC111090199	+	LOC100682550	-
NC_051820.1	35121001	35190439	69438	convergent	LOC100686540	+	WRN	-
NC_051820.1	37178242	37231175	52933	convergent	LOC119869555	+	LOC102155995	-
NC_051820.1	37416979	37473636	56657	convergent	PPP1R3B	+	ERI1	-
NC_051820.1	38028250	38082724	54474	convergent	LOC111090314	+	LOC111090316	-
NC_051820.1	46125770	46187174	61404	convergent	LOC119869631	+	LOC100682827	-
NC_051820.1	46199665	46254098	54433	convergent	LOC119869583	+	LOC119869626	-
NC_051820.1	49468828	49528532	59704	convergent	LOC119869512	+	LOC102156721	-
NC_051820.1	51445768	51508808	63040	convergent	LOC119874730	+	LOC119874609	-
NC_051820.1	54629014	54692819	63805	convergent	AGA	+	NEIL3	-
NC_051821.1	4818014	4875944	57930	convergent	LOC111090412	+	LOC102151619	-
NC_051821.1	11891971	11964254	72283	convergent	LOC102157135	+	LOC111090504	-
NC_051821.1	12278057	12338750	60693	convergent	LOC102157261	+	CYRIA	-
NC_051821.1	15968485	16030074	61589	convergent	LOC111090394	+	APOB	-
NC_051821.1	17141980	17213143	71163	convergent	LOC111090524	+	LOC119881779	-
NC_051821.1	19088682	19138909	50227	convergent	LOC111090423	+	LOC111090532	-
NC_051821.1	25527391	25580014	52623	convergent	LOC119869680	+	SRD5A2	-
NC_051821.1	34751027	34802687	51660	convergent	LOC102151793	+	KCNG3	-
NC_051821.1	51685511	51738942	53431	convergent	LOC119869763	+	LOC111090442	-
NC_051821.1	52870289	52932765	62476	convergent	LOC111090443	+	LOC119864061	-
NC_051821.1	52940905	52993050	52145	convergent	LOC102154674	+	TRIM33	-
NC_051821.1	53716583	53781749	65166	convergent	LOC100688064	+	NGF	-
NC_051821.1	55900409	55960106	59697	convergent	LOC111090684	+	LOC100688781	-
NC_051821.1	57904516	57954590	50074	convergent	LOC102154106	+	LOC111090694	-
NC_051821.1	62647649	62699011	51362	convergent	LOC119864001	+	LOC119878526	-
NC_051821.1	62708801	62760445	51644	convergent	LOC119878525	+	LOC119877138	-
NC_051822.1	7159763	7220802	61039	convergent	LOC111090865	+	LOC102151924	-
NC_051822.1	11006057	11065538	59481	convergent	VPS41	+	LOC119864320	-
NC_051822.1	12195480	12258671	63191	convergent	LOC100683828	+	EPDR1	-
NC_051822.1	18243340	18307563	64223	convergent	PHTF2	+	MAGI2	-
NC_051822.1	23806419	23872683	66264	convergent	LOC111090917	+	SEMA3A	-
NC_051822.1	30797965	30858164	60199	convergent	LOC111091010	+	LOC100682696	-
NC_051822.1	36175607	36236940	61333	convergent	LOC111090814	+	LOC119864218	-
NC_051822.1	37530345	37599747	69402	convergent	MPPED2	+	ARL14EP	-
NC_051822.1	37625161	37675210	50049	convergent	LOC111090955	+	OR10V5	-
NC_051822.1	55169332	55241058	71726	convergent	AHNAK	+	SCGB1A1	-
NC_051822.1	55656583	55708852	52269	convergent	LOC100856625	+	LOC111091015	-
NC_051823.1	15192889	15259450	66561	convergent	LOC119864516	+	FAT4	-
NC_051823.1	22718008	22788982	70974	convergent	NA	+	LOC111091051	-
NC_051823.1	32708863	32761746	52883	convergent	NA	+	LOC100683928	-
NC_051823.1	40699370	40753962	54592	convergent	LOC119864393	+	LOC119864525	-
NC_051823.1	42150441	42214374	63933	convergent	LOC119864487	+	LOC119864518	-
NC_051823.1	43660794	43734482	73688	convergent	LOC119864395	+	LOC119864396	-
NC_051823.1	46607767	46663039	55272	convergent	KYNU	+	LOC111091185	-
NC_051823.1	50766576	50830568	63992	convergent	LOC111091082	+	LOC111091197	-
NC_051823.1	51746959	51816629	69670	convergent	LOC111091200	+	LOC119864405	-
NC_051823.1	53515801	53574039	58238	convergent	LOC119864407	+	LOC119864408	-
NC_051823.1	53669125	53730654	61529	convergent	LOC100687327	+	LOC119864410	-
NC_051824.1	4223236	4289981	66745	convergent	LOC100683648	+	CHCHD4	-
NC_051824.1	11749774	11807289	57515	convergent	LOC100685632	+	LOC111091252	-
NC_051824.1	12427622	12487484	59862	convergent	LOC111091257	+	EDEM1	-
NC_051824.1	13377340	13441692	64352	convergent	LOC476550	+	LOC100686411	-
NC_051824.1	17040502	17103820	63318	convergent	LOC102154165	+	LOC119864650	-
NC_051824.1	19442546	19500025	57479	convergent	SHQ1	+	LOC102154862	-
NC_051824.1	21700981	21759122	58141	convergent	MDFIC2	+	LOC119864576	-
NC_051824.1	24572625	24634330	61705	convergent	LOC102157163	+	LOC111091281	-
NC_051824.1	32811725	32865996	54271	convergent	LOC111091305	+	SLMAP	-
NC_051825.1	1063011	1131564	68553	convergent	LOC111091473	+	LOC606831	-
NC_051825.1	11676400	11742674	66274	convergent	GRM5	+	LOC119864956	-
NC_051825.1	15952393	16002786	50393	convergent	DLG2	+	LOC100686619	-
NC_051825.1	38848629	38901890	53261	convergent	LOC102152988	+	CRSP-2	-
NC_051825.1	48906661	48959809	53148	convergent	BBOX1	+	LOC111091586	-
NC_051825.1	51990876	52054339	63463	convergent	LOC119864909	+	LOC119864867	-
NC_051826.1	1416239	1480570	64331	convergent	LOC111091743	+	LOC111091793	-
NC_051826.1	5334971	5405776	70805	convergent	ZC3H13	+	LOC111091811	-
NC_051826.1	10143251	10217071	73820	convergent	LOC111091828	+	LOC100685259	-
NC_051826.1	14184578	14251277	66699	convergent	PCDH17	+	LOC119865129	-
NC_051826.1	16687132	16738584	51452	convergent	TDRD3	+	LOC100686550	-
NC_051826.1	19596764	19663367	66603	convergent	LOC100687588	+	LOC100687653	-
NC_051826.1	27517646	27576124	58478	convergent	KLF5	+	LOC100682890	-
NC_051826.1	29235878	29299159	63281	convergent	LOC100684181	+	LOC111091654	-
NC_051826.1	33638670	33695479	56809	convergent	LOC106557558	+	SPRY2	-
NC_051826.1	36431283	36491812	60529	convergent	LOC100684683	+	LOC111091757	-
NC_051826.1	45865441	45937672	72231	convergent	GPR180	+	SOX21	-
NC_051826.1	55453706	55512794	59088	convergent	LOC100683697	+	LOC111091706	-
NC_051826.1	55859005	55918918	59913	convergent	LOC119865267	+	LOC119865154	-
NC_051826.1	59581650	59643922	62272	convergent	ING1	+	LOC119865109	-
NC_051827.1	1109045	1172665	63620	convergent	SYNDIG1	+	LOC100688361	-
NC_051827.1	2619236	2673562	54326	convergent	LOC100687334	+	LOC111091893	-
NC_051827.1	3227875	3294390	66515	convergent	LOC111091943	+	LOC119865296	-
NC_051827.1	6808405	6874087	65682	convergent	STAC	+	LOC100685633	-
NC_051827.1	10487084	10553541	66457	convergent	LOC111091857	+	LOC106557623	-
NC_051827.1	23551824	23607775	55951	convergent	LOC111091912	+	LOC119865327	-
NC_051827.1	29008575	29073911	65336	convergent	NUDT16	+	MRPL3	-
NC_051827.1	34198197	34269938	71741	convergent	LOC111091952	+	LOC119865310	-
NC_051827.1	34370653	34427811	57158	convergent	LOC111091954	+	LOC119865330	-
NC_051827.1	39231375	39301877	70502	convergent	CHST2	+	LOC100688497	-
NC_051827.1	45474517	45526737	52220	convergent	LOC100855515	+	LOC119865420	-
NC_051828.1	11487994	11545704	57710	convergent	LOC119865622	+	LOC111092144	-
NC_051828.1	16606256	16661497	55241	convergent	GPCPD1	+	LOC119865589	-
NC_051828.1	19302591	19370767	68176	convergent	LOC111092201	+	STK35	-
NC_051828.1	26717079	26778334	61255	convergent	SRC	+	LOC111092200	-
NC_051828.1	36042329	36111036	68707	convergent	LOC119865683	+	PREX1	-
NC_051828.1	36665388	36721820	56432	convergent	LOC111092109	+	KCNB1	-
NC_051828.1	37513357	37574621	61264	convergent	LOC119865562	+	LOC102152659	-
NC_051828.1	40064815	40121938	57123	convergent	TSHZ2	+	ZNF217	-
NC_051828.1	42475068	42526723	51655	convergent	LOC611771	+	LOC119865771	-
NC_051828.1	42745535	42819449	73914	convergent	LOC119865786	+	LOC119865699	-
NC_051829.1	326595	381037	54442	convergent	THSD1	+	LOC100684545	-
NC_051829.1	804447	863659	59212	convergent	FOXO1	+	LOC102153908	-
NC_051829.1	9416764	9476935	60171	convergent	LOC119865997	+	LOC119865829	-
NC_051829.1	12228903	12283288	54385	convergent	LOC106557742	+	LOC102153058	-
NC_051829.1	16583402	16638128	54726	convergent	LOC119865834	+	LOC106557750	-
NC_051829.1	20424770	20475505	50735	convergent	LOC111092453	+	NEK1	-
NC_051829.1	34024080	34083975	59895	convergent	NKX3-1	+	LOC111092402	-
