chrom	start	end	length	masked_bp	pct_repeat
NC_051814.1	25211889	25276787	64898	23969	36.93
NC_051814.1	29447517	29507386	59869	10969	18.32
NC_051814.1	33387381	33437530	50149	11282	22.5
NC_051814.1	34678177	34747422	69245	19066	27.53
NC_051814.1	35158873	35212398	53525	26041	48.65
NC_051814.1	46275184	46345564	70380	18770	26.67
NC_051814.1	46556671	46612324	55653	14095	25.33
NC_051814.1	55173498	55233905	60407	19292	31.94
NC_051814.1	57054512	57104779	50267	18670	37.14
NC_051814.1	57815583	57880350	64767	18791	29.01
NC_051814.1	61932847	61989787	56940	18644	32.74
NC_051814.1	63844443	63896703	52260	23656	45.27
NC_051814.1	66943912	67008116	64204	17050	26.56
NC_051814.1	68117840	68179368	61528	14371	23.36
NC_051815.1	5132068	5205139	73071	21582	29.54
NC_051815.1	7585907	7653876	67969	26474	38.95
NC_051815.1	15804115	15863613	59498	17616	29.61
NC_051815.1	33774377	33832861	58484	27393	46.84
NC_051815.1	54176384	54240721	64337	18333	28.5
NC_051815.1	56181459	56247618	66159	27534	41.62
NC_051815.1	67619694	67676552	56858	16808	29.56
NC_051815.1	72532281	72586362	54081	10223	18.9
NC_051815.1	74432972	74494463	61491	11720	19.06
NC_051816.1	729204	780179	50975	21634	42.44
NC_051816.1	888522	959052	70530	30732	43.57
NC_051816.1	2021125	2084815	63690	31123	48.87
NC_051816.1	5010995	5063926	52931	31698	59.89
NC_051816.1	10056117	10121857	65740	14964	22.76
NC_051816.1	13571280	13642018	70738	21476	30.36
NC_051816.1	16360664	16416333	55669	13428	24.12
NC_051816.1	25815845	25884245	68400	25352	37.06
NC_051816.1	40263604	40321877	58273	27714	47.56
NC_051816.1	41991512	42044662	53150	16897	31.79
NC_051816.1	47327902	47386565	58663	17143	29.22
NC_051816.1	48272208	48342011	69803	18573	26.61
NC_051816.1	48393708	48452461	58753	19141	32.58
NC_051816.1	53806181	53865232	59051	20113	34.06
NC_051816.1	64340623	64411071	70448	15454	21.94
NC_051816.1	67608124	67672326	64202	20962	32.65
NC_051816.1	70866191	70918704	52513	15570	29.65
NC_051816.1	72343871	72396378	52507	11464	21.83
NC_051816.1	73372682	73425689	53007	13229	24.96
NC_051817.1	670319	729017	58698	19552	33.31
NC_051817.1	2762900	2833447	70547	23725	33.63
NC_051817.1	8064988	8132108	67120	22947	34.19
NC_051817.1	8580007	8642797	62790	24908	39.67
NC_051817.1	10033333	10096852	63519	22370	35.22
NC_051817.1	12626538	12686868	60330	30520	50.59
NC_051817.1	16507341	16565029	57688	24818	43.02
NC_051817.1	24350676	24411685	61009	19043	31.21
NC_051817.1	28001742	28068918	67176	15490	23.06
NC_051817.1	29429036	29482883	53847	11899	22.1
NC_051817.1	42409351	42467972	58621	27116	46.26
NC_051817.1	50196685	50266401	69716	24108	34.58
NC_051818.1	5712360	5767938	55578	19378	34.87
NC_051818.1	9869905	9920386	50481	16346	32.38
NC_051818.1	14495427	14554191	58764	24605	41.87
NC_051818.1	19245636	19304857	59221	17103	28.88
NC_051818.1	43701564	43775013	73449	18247	24.84
NC_051818.1	47079968	47131672	51704	10657	20.61
NC_051818.1	60626704	60697896	71192	19997	28.09
NC_051819.1	3753627	3825487	71860	21172	29.46
NC_051819.1	4205082	4273748	68666	13635	19.86
NC_051819.1	20314140	20377667	63527	21633	34.05
NC_051819.1	23412529	23465999	53470	14369	26.87
NC_051819.1	27740518	27794146	53628	19512	36.38
NC_051819.1	27864256	27917940	53684	20121	37.48
NC_051819.1	29615719	29672503	56784	16582	29.2
NC_051819.1	30913325	30967876	54551	13635	24.99
NC_051819.1	32255898	32317043	61145	14812	24.22
NC_051819.1	35221213	35288244	67031	21749	32.45
NC_051819.1	50452875	50525877	73002	18142	24.85
NC_051819.1	56330968	56393135	62167	22852	36.76
NC_051820.1	1623305	1690052	66747	25167	37.71
NC_051820.1	12347409	12407429	60020	17223	28.7
NC_051820.1	22590144	22660334	70190	27147	38.68
NC_051820.1	22976673	23048542	71869	38531	53.61
NC_051820.1	35121001	35190439	69438	24188	34.83
NC_051820.1	37178242	37231175	52933	15893	30.02
NC_051820.1	37416979	37473636	56657	14674	25.9
NC_051820.1	38028250	38082724	54474	12658	23.24
NC_051820.1	46125770	46187174	61404	18829	30.66
NC_051820.1	46199665	46254098	54433	18022	33.11
NC_051820.1	49468828	49528532	59704	18434	30.88
NC_051820.1	51445768	51508808	63040	19977	31.69
NC_051820.1	54629014	54692819	63805	17087	26.78
NC_051821.1	4818014	4875944	57930	13519	23.34
NC_051821.1	11891971	11964254	72283	16692	23.09
NC_051821.1	12278057	12338750	60693	12301	20.27
NC_051821.1	15968485	16030074	61589	10383	16.86
NC_051821.1	17141980	17213143	71163	22946	32.24
NC_051821.1	19088682	19138909	50227	16787	33.42
NC_051821.1	25527391	25580014	52623	18845	35.81
NC_051821.1	34751027	34802687	51660	19595	37.93
NC_051821.1	51685511	51738942	53431	9670	18.1
NC_051821.1	52870289	52932765	62476	18595	29.76
NC_051821.1	52940905	52993050	52145	19701	37.78
NC_051821.1	53716583	53781749	65166	15044	23.09
NC_051821.1	55900409	55960106	59697	16474	27.6
NC_051821.1	57904516	57954590	50074	13024	26.01
NC_051821.1	62647649	62699011	51362	21457	41.78
NC_051821.1	62708801	62760445	51644	23593	45.68
NC_051822.1	7159763	7220802	61039	21275	34.85
NC_051822.1	11006057	11065538	59481	18712	31.46
NC_051822.1	12195480	12258671	63191	20554	32.53
NC_051822.1	18243340	18307563	64223	22818	35.53
NC_051822.1	23806419	23872683	66264	24474	36.93
NC_051822.1	30797965	30858164	60199	19328	32.11
NC_051822.1	36175607	36236940	61333	16061	26.19
NC_051822.1	37530345	37599747	69402	16663	24.01
NC_051822.1	37625161	37675210	50049	21419	42.8
NC_051822.1	55169332	55241058	71726	20914	29.16
NC_051822.1	55656583	55708852	52269	25628	49.03
NC_051823.1	15192889	15259450	66561	26343	39.58
NC_051823.1	22718008	22788982	70974	50432	71.06
NC_051823.1	32708863	32761746	52883	13491	25.51
NC_051823.1	40699370	40753962	54592	17129	31.38
NC_051823.1	42150441	42214374	63933	16885	26.41
NC_051823.1	43660794	43734482	73688	20804	28.23
NC_051823.1	46607767	46663039	55272	15834	28.65
NC_051823.1	50766576	50830568	63992	12296	19.21
NC_051823.1	51746959	51816629	69670	19124	27.45
NC_051823.1	53515801	53574039	58238	13911	23.89
NC_051823.1	53669125	53730654	61529	14098	22.91
NC_051824.1	4223236	4289981	66745	37257	55.82
NC_051824.1	11749774	11807289	57515	14297	24.86
NC_051824.1	12427622	12487484	59862	18058	30.17
NC_051824.1	13377340	13441692	64352	18504	28.75
NC_051824.1	17040502	17103820	63318	19589	30.94
NC_051824.1	19442546	19500025	57479	12543	21.82
NC_051824.1	21700981	21759122	58141	14271	24.55
NC_051824.1	24572625	24634330	61705	22072	35.77
NC_051824.1	32811725	32865996	54271	16818	30.99
NC_051825.1	1063011	1131564	68553	36092	52.65
NC_051825.1	11676400	11742674	66274	24287	36.65
NC_051825.1	15952393	16002786	50393	22643	44.93
NC_051825.1	38848629	38901890	53261	18422	34.59
NC_051825.1	48906661	48959809	53148	14450	27.19
NC_051825.1	51990876	52054339	63463	26125	41.17
NC_051826.1	1416239	1480570	64331	22368	34.77
NC_051826.1	5334971	5405776	70805	24828	35.07
NC_051826.1	10143251	10217071	73820	18557	25.14
NC_051826.1	14184578	14251277	66699	20906	31.34
NC_051826.1	16687132	16738584	51452	16548	32.16
NC_051826.1	19596764	19663367	66603	24608	36.95
NC_051826.1	27517646	27576124	58478	19092	32.65
NC_051826.1	29235878	29299159	63281	20290	32.06
NC_051826.1	33638670	33695479	56809	21651	38.11
NC_051826.1	36431283	36491812	60529	17940	29.64
NC_051826.1	45865441	45937672	72231	21598	29.9
NC_051826.1	55453706	55512794	59088	15620	26.44
NC_051826.1	55859005	55918918	59913	14099	23.53
NC_051826.1	59581650	59643922	62272	26619	42.75
NC_051827.1	1109045	1172665	63620	18089	28.43
NC_051827.1	2619236	2673562	54326	26772	49.28
NC_051827.1	3227875	3294390	66515	23430	35.23
NC_051827.1	6808405	6874087	65682	26164	39.83
NC_051827.1	10487084	10553541	66457	17009	25.59
NC_051827.1	23551824	23607775	55951	20413	36.48
NC_051827.1	29008575	29073911	65336	17444	26.7
NC_051827.1	34198197	34269938	71741	20428	28.47
NC_051827.1	34370653	34427811	57158	20502	35.87
NC_051827.1	39231375	39301877	70502	13935	19.77
NC_051827.1	45474517	45526737	52220	14129	27.06
NC_051828.1	11487994	11545704	57710	13327	23.09
NC_051828.1	16606256	16661497	55241	14302	25.89
NC_051828.1	19302591	19370767	68176	17269	25.33
NC_051828.1	26717079	26778334	61255	16453	26.86
NC_051828.1	36042329	36111036	68707	12526	18.23
NC_051828.1	36665388	36721820	56432	18905	33.5
NC_051828.1	37513357	37574621	61264	12997	21.21
NC_051828.1	40064815	40121938	57123	18944	33.16
NC_051828.1	42475068	42526723	51655	16196	31.35
NC_051828.1	42745535	42819449	73914	16015	21.67
NC_051829.1	326595	381037	54442	28232	51.86
NC_051829.1	804447	863659	59212	19494	32.92
NC_051829.1	9416764	9476935	60171	11962	19.88
NC_051829.1	12228903	12283288	54385	15265	28.07
NC_051829.1	16583402	16638128	54726	11508	21.03
NC_051829.1	20424770	20475505	50735	24301	47.9
NC_051829.1	34024080	34083975	59895	23006	38.41
NC_051829.1	40554664	40610407	55743	14940	26.8
NC_051829.1	45854728	45924770	70042	17341	24.76
NC_051829.1	46659216	46733469	74253	16024	21.58
NC_051830.1	3084750	3142913	58163	13505	23.22
NC_051830.1	4496506	4546999	50493	12865	25.48
NC_051830.1	12974593	13028567	53974	13701	25.38
NC_051830.1	17193803	17254161	60358	16014	26.53
NC_051830.1	20964282	21018696	54414	11345	20.85
NC_051830.1	37136455	37205993	69538	20149	28.98
NC_051831.1	11296029	11362267	66238	19715	29.76
NC_051831.1	12006551	12065044	58493	17878	30.56
NC_051831.1	13274723	13345552	70829	27370	38.64
NC_051831.1	17823426	17886691	63265	38953	61.57
NC_051831.1	32573520	32640058	66538	24301	36.52
NC_051831.1	39677324	39739751	62427	13767	22.05
NC_051831.1	40299441	40358999	59558	18827	31.61
NC_051832.1	2510899	2563279	52380	31232	59.63
NC_051832.1	6155210	6215233	60023	20360	33.92
NC_051832.1	24424569	24481957	57388	17715	30.87
NC_051832.1	25443005	25493730	50725	13357	26.33
NC_051832.1	34214445	34267922	53477	13013	24.33
NC_051833.1	357464	431756	74292	40957	55.13
NC_051833.1	1669770	1738756	68986	33523	48.59
NC_051833.1	20829395	20898312	68917	20904	30.33
NC_051833.1	21906082	21964104	58022	21055	36.29
NC_051833.1	23112498	23172320	59822	22849	38.19
NC_051833.1	23509733	23568950	59217	19399	32.76
NC_051833.1	28263136	28333785	70649	28535	40.39
NC_051833.1	28623707	28681799	58092	18738	32.26
NC_051833.1	38580004	38634159	54155	13871	25.61
NC_051834.1	2536913	2592033	55120	15234	27.64
NC_051834.1	4478505	4544211	65706	19898	30.28
NC_051834.1	11061036	11119847	58811	27877	47.4
NC_051834.1	24994850	25055410	60560	19555	32.29
NC_051834.1	32644888	32717232	72344	19193	26.53
NC_051834.1	34669412	34723012	53600	13451	25.1
NC_051834.1	38942658	39000282	57624	11402	19.79
NC_051835.1	955347	1016678	61331	20536	33.48
NC_051835.1	13106261	13156978	50717	16160	31.86
NC_051835.1	18249632	18323889	74257	36057	48.56
NC_051835.1	23436373	23508916	72543	24583	33.89
NC_051835.1	33017236	33069006	51770	9805	18.94
NC_051835.1	33785714	33837005	51291	14100	27.49
NC_051835.1	36406001	36461046	55045	9822	17.84
NC_051836.1	3698661	3752870	54209	24337	44.89
NC_051836.1	11276866	11345764	68898	27092	39.32
NC_051836.1	27013911	27071204	57293	17535	30.61
NC_051837.1	574972	634483	59511	19725	33.15
NC_051837.1	7790832	7842018	51186	16443	32.12
NC_051837.1	8568536	8621477	52941	14595	27.57
NC_051837.1	11353405	11418044	64639	16605	25.69
NC_051837.1	20017414	20079909	62495	17734	28.38
NC_051837.1	31269207	31329671	60464	16240	26.86
NC_051838.1	7080793	7147581	66788	13421	20.09
NC_051838.1	10054548	10126362	71814	20365	28.36
NC_051838.1	19004008	19067846	63838	13863	21.72
NC_051838.1	19321861	19376696	54835	18061	32.94
NC_051838.1	33370196	33420674	50478	13269	26.29
NC_051838.1	33641835	33705242	63407	22738	35.86
NC_051838.1	34380069	34430694	50625	13366	26.4
NC_051838.1	36725342	36775647	50305	17338	34.47
NC_051838.1	40621835	40683716	61881	15929	25.74
NC_051839.1	1643004	1708560	65556	17641	26.91
NC_051839.1	1805405	1856208	50803	18613	36.64
NC_051839.1	11518999	11569382	50383	13896	27.58
NC_051839.1	18052245	18123443	71198	19985	28.07
NC_051839.1	18480986	18533175	52189	12013	23.02
NC_051840.1	1166863	1219794	52931	18032	34.07
NC_051840.1	7616013	7676372	60359	18734	31.04
NC_051840.1	8466112	8532234	66122	28469	43.06
NC_051840.1	14845639	14901149	55510	17613	31.73
NC_051840.1	16124607	16177018	52411	21121	40.3
NC_051840.1	16788107	16853124	65017	18518	28.48
NC_051840.1	24054229	24128740	74511	18310	24.57
NC_051840.1	24296513	24361259	64746	18029	27.85
NC_051840.1	26520111	26586822	66711	18908	28.34
NC_051841.1	2245776	2303016	57240	13121	22.92
NC_051841.1	7533022	7602083	69061	17184	24.88
NC_051841.1	12473128	12532864	59736	19683	32.95
NC_051841.1	27629161	27690392	61231	16365	26.73
NC_051841.1	28495545	28545686	50141	17364	34.63
NC_051841.1	29390284	29459285	69001	19857	28.78
NC_051841.1	29837431	29901354	63923	15448	24.17
NC_051842.1	3541738	3613722	71984	29078	40.4
NC_051842.1	6148634	6217613	68979	21618	31.34
NC_051842.1	8585823	8643867	58044	23009	39.64
NC_051842.1	16412131	16486695	74564	21838	29.29
NC_051842.1	19592201	19658874	66673	19654	29.48
NC_051842.1	22834825	22886249	51424	14117	27.45
NC_051843.1	6868917	6934242	65325	13379	20.48
NC_051843.1	8354252	8409529	55277	10445	18.9
NC_051843.1	10578732	10643009	64277	19150	29.79
NC_051843.1	15197385	15269910	72525	30231	41.68
NC_051843.1	26196588	26269373	72785	21393	29.39
NC_051843.1	32334636	32387595	52959	18654	35.22
NC_051843.1	34617972	34669640	51668	10340	20.01
NC_051843.1	35941631	35992808	51177	25775	50.36
NC_051843.1	50115742	50188659	72917	45190	61.97
NC_051843.1	51534278	51599514	65236	44970	68.93
NC_051843.1	56733328	56786162	52834	32269	61.08
NC_051843.1	59813343	59874197	60854	47971	78.83
NC_051843.1	69851587	69907041	55454	40908	73.77
NC_051843.1	74667098	74718660	51562	32418	62.87
NC_051843.1	77845859	77904191	58332	33117	56.77
NC_051843.1	79168554	79226339	57785	28924	50.05
NC_051843.1	82817447	82882230	64783	25800	39.83
NC_051843.1	90957857	91025361	67504	27650	40.96
NC_051843.1	97127995	97179954	51959	25264	48.62
NC_051843.1	99485997	99542726	56729	28852	50.86
NC_051843.1	104147730	104215864	68134	17348	25.46
NC_051843.1	105250253	105306545	56292	24284	43.14
NC_051843.1	105886803	105957615	70812	24988	35.29
NC_051843.1	116212579	116266672	54093	22313	41.25
NC_051843.1	122201824	122251894	50070	28108	56.14
NC_051843.1	122735338	122788464	53126	20434	38.46
NC_051843.1	122883327	122939331	56004	27546	49.19
